,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,3,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,-18.60,-43.36 to 6.156,No,ns,0.1308,A-B,,
  Vehicle vs. 3uM AZA,30.75,5.994 to 55.51,Yes,*,0.0207,A-C,,
  1uM AZA vs. 3uM AZA,49.36,24.60 to 74.12,Yes,**,0.0021,B-C,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,100.0,118.6,-18.60,8.069,3,3,3.260,6
  Vehicle vs. 3uM AZA,100.0,69.25,30.75,8.069,3,3,5.390,6
  1uM AZA vs. 3uM AZA,118.6,69.25,49.36,8.069,3,3,8.650,6
,,,,,,,,
Compact letter display,,,,,,,,
  1uM AZA,A,,,,,,,
  Vehicle,A,,,,,,,
  3uM AZA,B,,,,,,,
