,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,3,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,0.02326,-0.01802 to 0.06455,No,ns,0.2704,A-B,,
  Vehicle vs. 3uM AZA,0.4727,0.4314 to 0.5139,Yes,****,<0.0001,A-C,,
  1uM AZA vs. 3uM AZA,0.4494,0.4081 to 0.4907,Yes,****,<0.0001,B-C,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,0.6823,0.6590,0.02326,0.01346,3,3,2.445,6
  Vehicle vs. 3uM AZA,0.6823,0.2096,0.4727,0.01346,3,3,49.68,6
  1uM AZA vs. 3uM AZA,0.6590,0.2096,0.4494,0.01346,3,3,47.23,6
,,,,,,,,
Compact letter display,,,,,,,,
  Vehicle,A,,,,,,,
  1uM AZA,A,,,,,,,
  3uM AZA,B,,,,,,,
