,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,3,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,0.1600,0.03927 to 0.2807,Yes,*,0.0155,A-B,,
  Vehicle vs. 3uM AZA,0.3367,0.2159 to 0.4574,Yes,***,0.0003,A-C,,
  1uM AZA vs. 3uM AZA,0.1767,0.05594 to 0.2974,Yes,**,0.0099,B-C,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,0.7967,0.6367,0.1600,0.03935,3,3,5.751,6
  Vehicle vs. 3uM AZA,0.7967,0.4600,0.3367,0.03935,3,3,12.10,6
  1uM AZA vs. 3uM AZA,0.6367,0.4600,0.1767,0.03935,3,3,6.350,6
,,,,,,,,
Compact letter display,,,,,,,,
  Vehicle,A,,,,,,,
  1uM AZA,B,,,,,,,
  3uM AZA,C,,,,,,,
