,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,3,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,2.933,-3.253 to 9.120,No,ns,0.3745,A-B,,
  Vehicle vs. 3uM AZA,3.900,-2.286 to 10.09,No,ns,0.2096,A-C,,
  1uM AZA vs. 3uM AZA,0.9667,-5.220 to 7.153,No,ns,0.8833,B-C,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,22.00,19.07,2.933,2.016,3,3,2.057,6
  Vehicle vs. 3uM AZA,22.00,18.10,3.900,2.016,3,3,2.736,6
  1uM AZA vs. 3uM AZA,19.07,18.10,0.9667,2.016,3,3,0.6780,6
,,,,,,,,
Compact letter display,,,,,,,,
  Vehicle,A,,,,,,,
  1uM AZA,A,,,,,,,
  3uM AZA,A,,,,,,,
