,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,3,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,-1.187,-15.74 to 13.37,No,ns,0.9663,A-B,,
  Vehicle vs. 3uM AZA,35.66,21.10 to 50.22,Yes,***,0.0007,A-C,,
  1uM AZA vs. 3uM AZA,36.85,22.29 to 51.40,Yes,***,0.0006,B-C,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,100.0,101.2,-1.187,4.744,3,3,0.3537,6
  Vehicle vs. 3uM AZA,100.0,64.34,35.66,4.744,3,3,10.63,6
  1uM AZA vs. 3uM AZA,101.2,64.34,36.85,4.744,3,3,10.98,6
,,,,,,,,
Compact letter display,,,,,,,,
  1uM AZA,A,,,,,,,
  Vehicle,A,,,,,,,
  3uM AZA,B,,,,,,,
