,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,15,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,59.67,52.48 to 66.86,Yes,****,<0.0001,A-B,,
  Vehicle vs. 3uM AZA,91.58,84.39 to 98.77,Yes,****,<0.0001,A-C,,
  Vehicle vs. 10nM Rapa,16.86,9.670 to 24.05,Yes,****,<0.0001,A-D,,
  Vehicle vs. 1uM AZA + 10nM Rapa,70.09,62.90 to 77.28,Yes,****,<0.0001,A-E,,
  Vehicle vs. 3uM AZA + 10nM Rapa,87.49,80.30 to 94.68,Yes,****,<0.0001,A-F,,
  1uM AZA vs. 3uM AZA,31.91,24.72 to 39.10,Yes,****,<0.0001,B-C,,
  1uM AZA vs. 10nM Rapa,-42.81,-50.00 to -35.62,Yes,****,<0.0001,B-D,,
  1uM AZA vs. 1uM AZA + 10nM Rapa,10.42,3.230 to 17.61,Yes,**,0.0040,B-E,,
  1uM AZA vs. 3uM AZA + 10nM Rapa,27.82,20.63 to 35.01,Yes,****,<0.0001,B-F,,
  3uM AZA vs. 10nM Rapa,-74.72,-81.91 to -67.53,Yes,****,<0.0001,C-D,,
  3uM AZA vs. 1uM AZA + 10nM Rapa,-21.49,-28.68 to -14.30,Yes,****,<0.0001,C-E,,
  3uM AZA vs. 3uM AZA + 10nM Rapa,-4.093,-11.28 to 3.096,No,ns,0.4399,C-F,,
  10nM Rapa vs. 1uM AZA + 10nM Rapa,53.23,46.04 to 60.42,Yes,****,<0.0001,D-E,,
  10nM Rapa vs. 3uM AZA + 10nM Rapa,70.63,63.44 to 77.82,Yes,****,<0.0001,D-F,,
  1uM AZA + 10nM Rapa vs. 3uM AZA + 10nM Rapa,17.40,10.21 to 24.59,Yes,****,<0.0001,E-F,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,100.0,40.33,59.67,2.141,3,3,39.43,12
  Vehicle vs. 3uM AZA,100.0,8.417,91.58,2.141,3,3,60.51,12
  Vehicle vs. 10nM Rapa,100.0,83.14,16.86,2.141,3,3,11.14,12
  Vehicle vs. 1uM AZA + 10nM Rapa,100.0,29.91,70.09,2.141,3,3,46.31,12
  Vehicle vs. 3uM AZA + 10nM Rapa,100.0,12.51,87.49,2.141,3,3,57.80,12
  1uM AZA vs. 3uM AZA,40.33,8.417,31.91,2.141,3,3,21.08,12
  1uM AZA vs. 10nM Rapa,40.33,83.14,-42.81,2.141,3,3,28.29,12
  1uM AZA vs. 1uM AZA + 10nM Rapa,40.33,29.91,10.42,2.141,3,3,6.884,12
  1uM AZA vs. 3uM AZA + 10nM Rapa,40.33,12.51,27.82,2.141,3,3,18.38,12
  3uM AZA vs. 10nM Rapa,8.417,83.14,-74.72,2.141,3,3,49.37,12
  3uM AZA vs. 1uM AZA + 10nM Rapa,8.417,29.91,-21.49,2.141,3,3,14.20,12
  3uM AZA vs. 3uM AZA + 10nM Rapa,8.417,12.51,-4.093,2.141,3,3,2.704,12
  10nM Rapa vs. 1uM AZA + 10nM Rapa,83.14,29.91,53.23,2.141,3,3,35.17,12
  10nM Rapa vs. 3uM AZA + 10nM Rapa,83.14,12.51,70.63,2.141,3,3,46.66,12
  1uM AZA + 10nM Rapa vs. 3uM AZA + 10nM Rapa,29.91,12.51,17.40,2.141,3,3,11.49,12
,,,,,,,,
Compact letter display,,,,,,,,
  Vehicle,A,,,,,,,
  10nM Rapa,B,,,,,,,
  1uM AZA,C,,,,,,,
  1uM AZA + 10nM Rapa,D,,,,,,,
  3uM AZA + 10nM Rapa,E,,,,,,,
  3uM AZA,E,,,,,,,
