,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,15,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,0.09000,0.07707 to 0.1029,Yes,****,<0.0001,A-B,,
  Vehicle vs. 3uM AZA,0.1267,0.1137 to 0.1396,Yes,****,<0.0001,A-C,,
  Vehicle vs. 10nM Rapa,0.02333,0.01040 to 0.03626,Yes,***,0.0006,A-D,,
  Vehicle vs. 1uM AZA + 10nM Rapa,0.1033,0.09040 to 0.1163,Yes,****,<0.0001,A-E,,
  Vehicle vs. 3uM AZA + 10nM Rapa,0.1367,0.1237 to 0.1496,Yes,****,<0.0001,A-F,,
  1uM AZA vs. 3uM AZA,0.03667,0.02374 to 0.04960,Yes,****,<0.0001,B-C,,
  1uM AZA vs. 10nM Rapa,-0.06667,-0.07960 to -0.05374,Yes,****,<0.0001,B-D,,
  1uM AZA vs. 1uM AZA + 10nM Rapa,0.01333,0.0004048 to 0.02626,Yes,*,0.0419,B-E,,
  1uM AZA vs. 3uM AZA + 10nM Rapa,0.04667,0.03374 to 0.05960,Yes,****,<0.0001,B-F,,
  3uM AZA vs. 10nM Rapa,-0.1033,-0.1163 to -0.09040,Yes,****,<0.0001,C-D,,
  3uM AZA vs. 1uM AZA + 10nM Rapa,-0.02333,-0.03626 to -0.01040,Yes,***,0.0006,C-E,,
  3uM AZA vs. 3uM AZA + 10nM Rapa,0.01000,-0.002928 to 0.02293,No,ns,0.1711,C-F,,
  10nM Rapa vs. 1uM AZA + 10nM Rapa,0.08000,0.06707 to 0.09293,Yes,****,<0.0001,D-E,,
  10nM Rapa vs. 3uM AZA + 10nM Rapa,0.1133,0.1004 to 0.1263,Yes,****,<0.0001,D-F,,
  1uM AZA + 10nM Rapa vs. 3uM AZA + 10nM Rapa,0.03333,0.02040 to 0.04626,Yes,****,<0.0001,E-F,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,0.1467,0.05667,0.09000,0.003849,3,3,33.07,12
  Vehicle vs. 3uM AZA,0.1467,0.02000,0.1267,0.003849,3,3,46.54,12
  Vehicle vs. 10nM Rapa,0.1467,0.1233,0.02333,0.003849,3,3,8.573,12
  Vehicle vs. 1uM AZA + 10nM Rapa,0.1467,0.04333,0.1033,0.003849,3,3,37.97,12
  Vehicle vs. 3uM AZA + 10nM Rapa,0.1467,0.01000,0.1367,0.003849,3,3,50.21,12
  1uM AZA vs. 3uM AZA,0.05667,0.02000,0.03667,0.003849,3,3,13.47,12
  1uM AZA vs. 10nM Rapa,0.05667,0.1233,-0.06667,0.003849,3,3,24.49,12
  1uM AZA vs. 1uM AZA + 10nM Rapa,0.05667,0.04333,0.01333,0.003849,3,3,4.899,12
  1uM AZA vs. 3uM AZA + 10nM Rapa,0.05667,0.01000,0.04667,0.003849,3,3,17.15,12
  3uM AZA vs. 10nM Rapa,0.02000,0.1233,-0.1033,0.003849,3,3,37.97,12
  3uM AZA vs. 1uM AZA + 10nM Rapa,0.02000,0.04333,-0.02333,0.003849,3,3,8.573,12
  3uM AZA vs. 3uM AZA + 10nM Rapa,0.02000,0.01000,0.01000,0.003849,3,3,3.674,12
  10nM Rapa vs. 1uM AZA + 10nM Rapa,0.1233,0.04333,0.08000,0.003849,3,3,29.39,12
  10nM Rapa vs. 3uM AZA + 10nM Rapa,0.1233,0.01000,0.1133,0.003849,3,3,41.64,12
  1uM AZA + 10nM Rapa vs. 3uM AZA + 10nM Rapa,0.04333,0.01000,0.03333,0.003849,3,3,12.25,12
,,,,,,,,
Compact letter display,,,,,,,,
  Vehicle,A,,,,,,,
  10nM Rapa,B,,,,,,,
  1uM AZA,C,,,,,,,
  1uM AZA + 10nM Rapa,D,,,,,,,
  3uM AZA,E,,,,,,,
  3uM AZA + 10nM Rapa,E,,,,,,,
