,,,,,,,,
Number of families,1,,,,,,,
Number of comparisons per family,15,,,,,,,
Alpha,0.05,,,,,,,
,,,,,,,,
Tukey's multiple comparisons test,Mean diff.,95.00% CI of diff.,Below threshold?,Summary,Adjusted P Value,,,
  Vehicle vs. 1uM AZA,0.3300,0.04550 to 0.6145,Yes,*,0.0202,A-B,,
  Vehicle vs. 3uM AZA,1.020,0.7355 to 1.305,Yes,****,<0.0001,A-C,,
  Vehicle vs. 10nM Rapa,0.3767,0.09217 to 0.6612,Yes,**,0.0080,A-D,,
  Vehicle vs. 1uM AZA + 10nM Rapa,0.8267,0.5422 to 1.111,Yes,****,<0.0001,A-E,,
  Vehicle vs. 3uM AZA + 10nM Rapa,1.273,0.9888 to 1.558,Yes,****,<0.0001,A-F,,
  1uM AZA vs. 3uM AZA,0.6900,0.4055 to 0.9745,Yes,****,<0.0001,B-C,,
  1uM AZA vs. 10nM Rapa,0.04667,-0.2378 to 0.3312,No,ns,0.9925,B-D,,
  1uM AZA vs. 1uM AZA + 10nM Rapa,0.4967,0.2122 to 0.7812,Yes,***,0.0008,B-E,,
  1uM AZA vs. 3uM AZA + 10nM Rapa,0.9433,0.6588 to 1.228,Yes,****,<0.0001,B-F,,
  3uM AZA vs. 10nM Rapa,-0.6433,-0.9278 to -0.3588,Yes,****,<0.0001,C-D,,
  3uM AZA vs. 1uM AZA + 10nM Rapa,-0.1933,-0.4778 to 0.09117,No,ns,0.2720,C-E,,
  3uM AZA vs. 3uM AZA + 10nM Rapa,0.2533,-0.03117 to 0.5378,No,ns,0.0919,C-F,,
  10nM Rapa vs. 1uM AZA + 10nM Rapa,0.4500,0.1655 to 0.7345,Yes,**,0.0020,D-E,,
  10nM Rapa vs. 3uM AZA + 10nM Rapa,0.8967,0.6122 to 1.181,Yes,****,<0.0001,D-F,,
  1uM AZA + 10nM Rapa vs. 3uM AZA + 10nM Rapa,0.4467,0.1622 to 0.7312,Yes,**,0.0021,E-F,,
,,,,,,,,
Test details,Mean 1,Mean 2,Mean diff.,SE of diff.,n1,n2,q,DF
  Vehicle vs. 1uM AZA,1.923,1.593,0.3300,0.08470,3,3,5.510,12
  Vehicle vs. 3uM AZA,1.923,0.9033,1.020,0.08470,3,3,17.03,12
  Vehicle vs. 10nM Rapa,1.923,1.547,0.3767,0.08470,3,3,6.289,12
  Vehicle vs. 1uM AZA + 10nM Rapa,1.923,1.097,0.8267,0.08470,3,3,13.80,12
  Vehicle vs. 3uM AZA + 10nM Rapa,1.923,0.6500,1.273,0.08470,3,3,21.26,12
  1uM AZA vs. 3uM AZA,1.593,0.9033,0.6900,0.08470,3,3,11.52,12
  1uM AZA vs. 10nM Rapa,1.593,1.547,0.04667,0.08470,3,3,0.7792,12
  1uM AZA vs. 1uM AZA + 10nM Rapa,1.593,1.097,0.4967,0.08470,3,3,8.293,12
  1uM AZA vs. 3uM AZA + 10nM Rapa,1.593,0.6500,0.9433,0.08470,3,3,15.75,12
  3uM AZA vs. 10nM Rapa,0.9033,1.547,-0.6433,0.08470,3,3,10.74,12
  3uM AZA vs. 1uM AZA + 10nM Rapa,0.9033,1.097,-0.1933,0.08470,3,3,3.228,12
  3uM AZA vs. 3uM AZA + 10nM Rapa,0.9033,0.6500,0.2533,0.08470,3,3,4.230,12
  10nM Rapa vs. 1uM AZA + 10nM Rapa,1.547,1.097,0.4500,0.08470,3,3,7.514,12
  10nM Rapa vs. 3uM AZA + 10nM Rapa,1.547,0.6500,0.8967,0.08470,3,3,14.97,12
  1uM AZA + 10nM Rapa vs. 3uM AZA + 10nM Rapa,1.097,0.6500,0.4467,0.08470,3,3,7.458,12
,,,,,,,,
Compact letter display,,,,,,,,
  Vehicle,A,,,,,,,
  1uM AZA,B,,,,,,,
  10nM Rapa,B,,,,,,,
  1uM AZA + 10nM Rapa,C,,,,,,,
  3uM AZA,C D,,,,,,,
  3uM AZA + 10nM Rapa,D,,,,,,,
