,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,25/200,0.36531468840473236,0.7941623660972442,1.1175812764597812,1.1254000279920513,CD151;ALDOA;SOD1;PIM3;LTC4S;ACADM;DECR1;ATP5PO;RAB34;ALDH2;GHITM;CAVIN1;ANGPT1;CMPK1;DRAM2;CCNG2;MCCC1;NDUFA5;UBC;CMBL;CAVIN2;STOM;DHRS7;JAGN1;MGST3
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,36/200,0.0038372641803947603,0.021318134335526446,1.7517321351856816,9.744878194259952,CSK;ABCE1;IFNAR2;HLA-E;HLA-DRA;PRKCB;IL18;IRF7;PTPN6;CCND3;HLA-DMA;WAS;IL16;CD74;HCLS1;BCL3;EIF3D;IL15;NCF4;PTPRC;CAPG;F2R;B2M;TGFB1;CTSS;GBP2;TIMP1;NPM1;HLA-DQA1;CD47;PSMB10;IL1B;IL27RA;LCP2;TAP1;ITGB2
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,22/101,0.002126001720775977,0.021260017207759767,2.2194637537239323,13.657497263063561,UBE2I;FADS1;SELENOP;XRCC5;TMEM50A;CCND3;CDK6;PIAS1;GNAI3;ARID5B;MYL12A;GUCY1A1;IQGAP2;INSIG1;B2M;ELOVL5;ZMIZ1;TSC22D1;VAPA;KRT8;MAP7;RAB4A
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,2/36,0.9318812923786157,0.9999909837909153,0.5522040763562718,0.03895790984231411,S100A4;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,33/200,0.019941253419534132,0.07669712853666974,1.5676874340021119,6.137440897135374,ACTG1;EVL;CD34;PECAM1;ITGA9;MDK;VASP;GTF2F1;ACTB;MYL12B;RHOF;MMP2;MYH10;CD99;NECTIN2;CTNNA1;CAP1;SORBS3;CLDN15;RAC2;RSU1;PTPRC;INSIG1;RRAS;CNN2;MSN;MAP4K2;GNAI1;JUP;ICAM2;ZYX;FSCN1;ICAM4
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,2/44,0.970009529863789,0.9999909837909153,0.44732699819273597,0.01362083106340143,MAL;GATA3
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,33/161,0.0005878325478443393,0.009797209130738989,2.0649563027212703,15.361351247514406,CASP8;CDKN1B;BTG2;DNAJA1;SOD1;CD44;IL18;CASP1;MMP2;DPYD;IRF1;SQSTM1;CASP4;ISG20;GNA15;BNIP3L;RHOB;SOD2;LMNA;TXNIP;CD69;F2R;KRT18;PMAIP1;GSN;TIMP1;IFITM3;VDAC2;GSTM1;IL1B;EMP1;TAP1;RELA
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,7/112,0.9802732404163437,0.9999909837909153,0.5370536413190442,0.010700218848860412,ISOC1;FADS1;SOD1;PAOX;HSD17B11;OPTN;GSTK1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,10/74,0.34773677407314657,0.7903108501662423,1.2506850277524064,1.3211104535116915,ACTG1;TP53INP1;ETHE1;GNAI1;PNRC1;GSTM2;PLSCR1;ANXA5;FDFT1;CD9
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,14/138,0.7383459359033893,0.9999909837909153,0.8878600697205064,0.2693259740941831,GSN;ISCU;TIMP1;CTSB;LTA4H;WDR1;SERPING1;PECAM1;PEF1;MMP2;USP11;CSRP1;CD9;CPQ
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,31/200,0.05058777809343052,0.18067063604796613,1.4497920214399376,4.326245026264748,LTA4H;USP15;CD46;IRF7;PLSCR1;CPQ;HSPA1A;GNAI3;CASP1;PSMB9;WAS;IRF1;ANXA5;CSRP1;APOBEC3G;PRCP;CASP4;CD55;CTSB;IRF2;CEBPB;GATA3;KIF2A;SPOCK2;CTSS;TIMP1;SERPING1;PIM1;LCP2;LIPA;GMFB
