,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,53/200,0.024307198358002925,0.0868114227071533,1.4199647680563712,5.2779845396386875,CHCHD10;ARL4A;ABCA1;ALDOA;PLIN2;UQCR10;TST;REEP5;YWHAG;PIM3;NDUFAB1;G3BP2;NDUFB7;GPX4;GPHN;AK2;COX7B;RREB1;GRPEL1;DNAJC15;MAP4K3;ATL2;PRDX3;SDHB;CD302;UBQLN1;IDH3A;APLP2;ATP1B3;CYC1;FAH;BCL6;PEMT;COX8A;SLC1A5;UQCRC1;ECHS1;PFKFB3;PPP1R15B;SLC25A1;HADH;UQCR11;MDH2;UBC;SLC19A1;UQCRQ;TOB1;MGST3;GADD45A;COX6A1;SOD1;PFKL;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,30/200,0.9847962336201106,0.9999999999683142,0.6771879700004527,0.010374877683425154,EIF3J;PSMB10;IRF8;STAT4;EIF5A;TLR2;UBE2N;AKT1;SPI1;NLRP3;BCL3;FYB1;STAT1;STAB1;IRF7;TAP1;HLA-DMA;NME1;SRGN;HDAC9;DEGS1;ITGB2;TAPBP;BRCA1;RIPK2;HLA-A;TAP2;B2M;EREG;ELANE
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,18/101,0.7939996700046414,0.9999999999683142,0.8491139548314538,0.19586701232654063,SRF;UBE2J1;SAT1;SPCS3;VAPA;DBI;NGLY1;XRCC6;ACTN1;UAP1;PA2G4;IDI1;RRP12;ADRM1;B4GALT1;CENPN;B2M;AKT1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.9873025058877399,0.9999999999683142,0.39954139452487974,0.005105658072502598,LRPAP1;APP;FGFR1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,18/200,0.9999982275563262,0.9999999999683142,0.377178221264168,6.68527744650524e-07,MDK;HADH;EPB41L2;PFN1;MMP2;ACTN1;YWHAH;GAMT;ACTB;ADAM9;B4GALT1;AKT2;FYB1;NRXN2;TUBG1;HRAS;SIRPA;NEXN
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,7/44,0.8320051956781322,0.9999999999683142,0.7673537604456825,0.14112908953465023,CROCC;BRCA1;CRYBG1;PLAUR;B4GALT1;APP;HSPB1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,41/161,0.07609513505430149,0.21137537515083749,1.3403018209688928,3.452310487292253,CLU;HMGB2;CD69;EBP;BTG3;PMAIP1;SAT1;GPX4;EGR3;TSPO;CTNNB1;RARA;IFITM3;GCH1;TAP1;JUN;RHOB;SOD2;CDC25B;IGFBP6;TOP2A;GNA15;BID;ETF1;TNFSF10;BTG2;HSPB1;BRCA1;ATF3;BAX;MMP2;SATB1;GADD45A;CDKN1A;DNAJA1;APP;MCL1;SOD1;GADD45B;BCAP31;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,15/112,0.9829990841510453,0.9999999999683142,0.6047102232599703,0.010369020938451984,IDH2;SLC29A1;ABCA1;ABCA2;PXMP2;SLC27A2;PRDX5;SLC35B2;ACSL1;PNPLA8;SOD1;AR;SLC27A5;CAT;IDI1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,14/74,0.6874326826662566,0.9999999999683142,0.9205943359891602,0.3450308127285605,NFIL3;PLSCR1;CLU;FASN;GUSB;ATF3;CHKA;ABCA2;TRIB3;FABP5;EBP;PLAUR;CTNNB1;IDI1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,11/138,0.9999890492313984,0.9999999999683142,0.33852551653005913,3.70713489527656e-06,CLU;CTSB;SPARC;MSRB2;MMP2;CFD;SERPING1;PLEK;ADAM9;MAFF;RAC1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,31/200,0.9756763617585609,0.9999999999683142,0.704535208271069,0.017348717411848718,CA2;PLSCR1;CLU;CTSD;DOCK10;PLEK;ADAM9;CEBPB;PSMB9;RNF4;GNB4;SH2B3;FDX1;CALM3;USP16;CALM1;CD59;USP14;IRF7;ATOX1;CTSB;PIM1;PLAUR;MAFF;PRKCD;LAP3;PFN1;PPP4C;HSPA5;SERPING1;GRB2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,45/150,0.003648401226576623,0.015201671777402595,1.6937572544381307,9.507849145308164,RFC3;POLR2E;COX17;ELL;POLA2;RFC5;LIG1;RAD51;POLR2J;ALYREF;POLD1;RFC2;ERCC1;POLR2K;GPX4;ADA;TAF10;HPRT1;ELOA;POLE4;GUK1;RALA;POLR2I;FEN1;RBX1;PDE4B;SSRP1;POM121;VPS37B;NME4;NME1;POLR2F;PCNA;PNP;RNMT;DUT;POLD3;GTF2H5;ZWINT;RFC4;ADRM1;TYMS;CMPK2;SAC3D1;BCAP31
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,122/200,2.2184508990250223e-37,1.1092254495125111e-35,6.785474451069372,572.6861676458751,NCAPD2;CHEK2;RRM2;HELLS;NOP56;HMGB3;PTTG1;HMMR;POLD1;TMPO;RFC2;LBR;DCTPP1;NOLC1;TK1;CDCA3;AURKB;BRCA2;CENPM;RAD51AP1;SPC24;UBE2S;RACGAP1;CKS2;KIF4A;NASP;POLD3;STAG1;KIF2C;SMC1A;POLE;PA2G4;SPAG5;UBE2T;CIT;LIG1;MCM6;KIF22;CDC25A;PRKDC;MYBL2;USP1;SPC25;RAD51C;CENPE;ORC6;NME1;TOP2A;CDK1;PRPS1;TRA2B;MCM3;POLD2;DUT;ASF1B;SRSF1;CTPS1;LMNB1;POLA2;BUB1B;MELK;MCM2;MCM4;NAA38;RNASEH2A;BIRC5;AK2;EZH2;DEK;POLE4;CDK4;HNRNPD;LYAR;MCM7;SSRP1;NUP153;PRIM2;MAD2L1;CDC25B;MXD3;CKS1B;ILF3;TIMELESS;DIAPH3;XRCC6;CCNB2;CDKN1A;CHEK1;MKI67;E2F8;ATAD2;RFC3;HMGB2;PHF5A;DLGAP5;PLK4;STMN1;CDCA8;EXOSC8;GSPT1;CBX5;TCF19;CDKN3;CDC20;RANBP1;MCM5;SNRPB;IPO7;DNMT1;RBBP7;RAN;JPT1;SRSF2;SYNCRIP;PCNA;POP7;BRCA1;SLBP;TFRC;DDX39A;TUBG1;KPNA2
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,19/200,0.9999949921982129,0.9999999999683142,0.40032945854002266,2.0047755976843134e-06,COLGALT1;TPM4;SAT1;CD59;QSOX1;CXCL8;MCM7;GLIPR1;JUN;RHOB;ID2;AREG;PPIB;PLAUR;IGFBP2;SPARC;MMP2;GADD45A;GADD45B
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,33/200,0.9440971090563475,0.9999999999683142,0.7604130808950086,0.043743711751019425,RBBP8;ELF1;KLF4;FOS;TIPARP;ITPK1;NXT1;GAB2;GLA;PMAIP1;BCL2;EGR3;SIAH2;KLF10;SLC27A2;B4GALT1;BLVRB;RARA;SLC7A5;SLC2A1;SYNGR1;BHLHE40;FKBP4;AREG;NCOR2;BAG1;XBP1;RRP12;FASN;TOB1;SLC16A1;PPIF;AR
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,42/200,0.47517315902090734,0.989944081293557,1.0329172952955699,0.7685689653558273,RBBP8;CA2;PLK4;BTG3;FOS;TST;KLF4;ITPK1;NXT1;RNASEH2A;GLA;STIL;BCL2;EGR3;DNAJC1;HPRT1;SIAH2;SLC27A2;CDC20;BLVRB;SLC7A5;MDK;FKBP4;CDC6;ID2;AREG;NCOR2;BAG1;XBP1;TOP2A;GINS2;IDH2;SLC29A1;TOB1;SLC16A1;DCXR;FABP5;DUSP2;PPIF;IMPA2;ZFP36;COX6C
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,25/158,0.950813919658232,0.9999999999683142,0.7270154773843668,0.03666840959202707,CA2;NCAPH2;ACAA1;KMT5A;ALDOA;MIF;IDI1;ADSL;PTS;GLUL;ACSL1;LDHA;ECI1;UBE2L6;MDH1;PSME1;ECHS1;FASN;HADH;MDH2;YWHAH;BLVRA;HSP90AA1;PRDX6;UROS
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,107/200,5.895975940769571e-26,9.826626567949286e-25,4.883660503243759,283.70620804050316,TLE3;WRN;KMT5A;HSPA8;HMGB3;PTTG1;HMMR;KIF15;TMPO;LBR;STIL;KIF5B;NOLC1;E2F1;KIF20B;AURKB;BRCA2;UBE2S;RACGAP1;CKS2;KIF4A;NASP;STAG1;KIF2C;SMC1A;POLE;TFDP1;UCK2;DBF4;NSD2;MCM6;BCL3;SLC7A1;KIF22;CDC25A;TPX2;E2F4;MYBL2;HNRNPU;CENPE;ORC6;TOP2A;CDK1;TRA2B;MCM3;CENPF;SRSF1;LMNB1;NCL;POLA2;TENT4A;MCM2;CHAF1A;DTYMK;BIRC5;NUP50;TOP1;EZH2;INCENP;NDC80;RAD23B;CDK4;HNRNPD;SMC2;TROAP;PRIM2;MAD2L1;RBL1;CDC25B;GINS2;CKS1B;CUL3;ILF3;CCNA2;DKC1;CCNB2;EWSR1;SRSF10;CHEK1;NUSAP1;MKI67;POLQ;PLK4;STMN1;SNRPD1;SAP30;SFPQ;GSPT1;CDC45;KNL1;CDKN3;CDC20;HMGN2;SLC7A5;MCM5;CCNT1;CUL1;CDC6;JPT1;SRSF2;SYNCRIP;PRC1;UBE2C;DDX39A;G3BP1;KPNA2;CENPA
