,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,13/200,0.6002501013694264,0.994524987915463,0.9908571428571429,0.5057422795735201,TKT;NMT1;PDCD4;GPHN;UQCRQ;MGLL;RREB1;SULT1A1;REEP5;VEGFB;PEMT;CAT;PFKFB3
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,9/200,0.9326880255060527,0.994524987915463,0.6725167442388467,0.046864001038975166,EIF3A;BRCA1;EIF3D;TPD52;ST8SIA4;SRGN;EIF5A;NPM1;ELANE
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,13/101,0.017339330004725335,0.2167416250590667,2.152542372881356,8.72808134373337,TNFAIP8;INSIG1;NDRG1;TPD52;NCOA4;ACTN1;ZBTB10;MAP7;ACSL3;SRP19;SLC26A2;FADS1;CDK6
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,2/36,0.7100557635853177,0.994524987915463,0.9976378533992766,0.34160294496715593,TNFRSF21;FGFR1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,15/200,0.3737502614385329,0.9835533195750866,1.1586801549266779,1.1403352989741065,MDK;INSIG1;SORBS3;NECTIN1;EPB41L2;CERCAM;SKAP2;ACTN1;GAMT;NECTIN2;TSPAN4;EXOC4;AKT3;MAP3K20;CTNNA1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,4/44,0.3457871416068743,0.9835533195750866,1.5378917378917378,1.6331362812252244,GSTM3;BRCA1;HSPB1;DCBLD2
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,12/161,0.40419931082745414,0.994524987915463,1.1577842956310138,1.0487756381372177,CLU;JUN;BRCA1;PDCD4;ATF3;SATB1;MGMT;CD38;TOP2A;GNA15;ETF1;HSPB1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,6/112,0.778353497525885,0.994524987915463,0.8367069889214807,0.20965742786290134,IDH2;HSD17B4;BCAR3;FADS1;SLC27A5;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,5/74,0.5664423119203592,0.994524987915463,1.0912175919641645,0.6202262943610738,CLU;ATF3;LGMN;GSTM2;TMEM97
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,4/138,0.9866445296190453,0.994524987915463,0.4523305690591936,0.006081791116897221,LGMN;CLU;USP11;CFD
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,7/200,0.9853722560594451,0.994524987915463,0.5215487809776278,0.007685430323936829,FDX1;CLU;L3MBTL4;LGMN;ZEB1;HSPA5;ATOX1
