,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,33/200,0.027844671299598046,0.09281557099866015,1.5204522096608428,5.444912187515894,ALDOA;UQCR10;LPCAT3;SLC66A3;G3BP2;GPX4;ANGPT1;DNAJC15;CD36;CD302;UBQLN1;ATP1B3;CYC1;GBE1;COX8A;SLC1A5;TANK;ESYT1;SLC25A1;RAB34;UQCR11;MDH2;SQOR;RTN3;TOB1;UBC;STOM;MGST3;GADD45A;COX6A1;TALDO1;SOD1;PFKL
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,46/200,4.050303709430457e-06,0.00010125759273576142,2.3591412841779356,29.29279367483512,LY86;HLA-DQA1;LYN;HCLS1;ITGAL;FLNA;FGR;IFNGR2;HLA-DRA;CD74;JAK2;HLA-DMB;IL7;AKT1;PTPN6;SPI1;CTSS;ABI1;BCL3;ELF4;WAS;FYB1;STAB1;TIMP1;CSK;HLA-DMA;IL18;PTPRC;PRKCB;HDAC9;CCND3;IL2RG;CD4;HIF1A;IL27RA;ITGB2;TAPBP;IGSF6;LCP2;CFP;CD86;TGFB1;HLA-A;NCF4;CAPG;B2M
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,21/101,0.006414344039436133,0.03464571401983743,2.0281527813253426,10.240586626075016,PTK2B;DBI;INPP4B;BMPR1B;AKT1;UBE2I;SAT1;TMEM50A;B4GALT1;SLC38A2;IQGAP2;VAPA;GUCY1A1;SELENOP;CCND3;TSC22D1;HOMER2;MYL12A;ADRM1;SMS;B2M
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,5/36,0.42535863016642944,0.7333769485628094,1.301294213830657,1.1123757425322938,VCAN;APP;S100A4;JAG1;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,32/200,0.04388978213574725,0.11549942667301907,1.4629080118694362,4.57315831871807,ADAM15;ZYX;VCL;MYH9;ARPC2;EVL;ACTN4;GNAI1;FSCN1;VCAN;VASP;ACTB;PECAM1;B4GALT1;FYB1;PTPRC;SYK;RAC2;NEGR1;CD99;JUP;SIRPA;WASL;MYL12B;PFN1;ITGB1;CAP1;CD86;MSN;YWHAH;CD34;GNAI2
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,7/44,0.26021503619082453,0.5204300723816491,1.4940487804878049,2.0113585802993192,FLOT2;CRYBG1;LYN;PLAUR;B4GALT1;APP;IL2RG
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,30/161,0.006929142803967487,0.03464571401983743,1.769513393429316,8.798054508291463,DPYD;CASP1;ROCK1;EBP;DAP;SAT1;GPX4;PLCB2;TSPO;PPT1;CTNNB1;CASP8;LMNA;IFITM3;SQSTM1;TIMP1;TIMP2;TXNIP;TNFSF10;EMP1;BAX;PAK1;ANXA1;GSN;GADD45A;APP;IL18;SOD1;GADD45B;BCAP31
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,7/112,0.9842217852370078,0.9999989654968037,0.5216275575078025,0.008295972929729377,SOD1;HSD17B11;PRDX5;ACSL1;ATXN1;ALDH1A1;GSTK1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,10/74,0.3784154353847699,0.6758438473977864,1.214619896387247,1.1803222510176625,PLSCR1;ANXA5;ETHE1;PMVK;EBP;PLAUR;CTNNB1;S100A11;JAG1;GNAI1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,15/138,0.6797203816346786,0.9999060743071434,0.9310336525922568,0.35944767118967336,ARF4;CTSB;MSRB2;ANXA1;GSN;ISCU;GNB2;CSRP1;CTSH;LTA4H;PECAM1;MMP7;RAC1;WDR1;TIMP1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,37/200,0.0032426000768279034,0.02316142912019931,1.7599942957646053,10.087195716413415,PLSCR1;LYN;ANXA5;CTSD;CASP1;JAK2;RHOG;PRCP;SH2B3;GCA;GNB2;CALM1;CTSS;LTA4H;WAS;ITGAM;CD36;GNG2;TIMP1;S100A12;CTSC;CTSB;TIMP2;CTSH;PLAUR;FCER1G;PRKCD;USP15;PFN1;LCP2;LIPA;CSRP1;PPP4C;GNAI2;S100A9;GRB2;CD46
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,22/150,0.16707044654257902,0.35468429072380103,1.315429286510373,2.3537498711104714,GTF2A2;HCLS1;NME3;POLR2E;EIF1B;POLR2J;GPX4;SDCBP;POLE4;GUK1;RALA;MPG;DDB1;RBX1;VPS37B;MPC2;APRT;PNP;DDB2;ARL6IP1;ADRM1;BCAP31
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,16/200,0.9717317905689046,0.9999989654968037,0.6539023582887269,0.01875094322103833,MCM3;DNMT1;MCM6;SLBP;RAN;SNRPB;JPT1;SRSF2;SYNCRIP;DEK;POLE4;SMC1A;KIF22;RANBP1;MCM5;ANP32E
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,19/200,0.8791995589110979,0.9999989654968037,0.7909198239776752,0.10182568953886756,FLNA;MEST;TPM4;SAT1;VCAN;WIPF1;GADD45B;QSOX1;TIMP1;GLIPR1;LGALS1;EMP3;ID2;PLAUR;ITGA5;ITGB1;GADD45A;TGFB1;CAPG
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,13/200,0.9963575726975166,0.9999989654968037,0.5229062191510365,0.0019081251062521923,BHLHE40;CHPT1;ALDH3B1;TOB1;KLF10;BAG1;NRIP1;NCOR2;B4GALT1;JAK2;BLVRB;DHRS3;MYOF
