,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,25/200,0.1286709317404837,0.40209666168901154,1.339626185780032,2.7468995427047487,JAGN1;VEGFB;EPHX2;ALDH2;CAVIN2;CAVIN1;ANGPT1;CD151;PHYH;DNAJB9;TALDO1;DHRS7;CMBL;ARL4A;NDUFA5;PIM3;SOD1;GADD45A;MGLL;UBC;GPHN;LTC4S;STAT5A;TKT;STOM
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,19/200,0.6132450387952013,0.9999999994733555,0.9746994062714444,0.47661893121540716,CD74;ST8SIA4;EIF3D;HLA-DQA1;HLA-DOA;STAT4;IL18;F2R;HLA-E;LCP2;HLA-DRA;APBB1;PTPRC;NPM1;IL16;ETS1;IL1B;LTB;GBP2
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,15/101,0.07028359399043484,0.2703215153478263,1.6507333944208284,4.383055171269831,IQGAP2;ZBTB10;INSIG1;HSD17B14;BMPR1B;SELENOP;MAP7;KRT8;INPP4B;GUCY1A1;DNAJB9;ELL2;CDK6;PMEPA1;TSC22D1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,1/36,0.9769187513543107,0.9999999994733555,0.3816462790584336,0.008912124432394938,PTK2
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,29/200,0.021424293675215568,0.1339018354700973,1.6032504951954358,6.161660051717802,TRO;RHOF;NECTIN2;CTNNA1;RAC2;EVL;PTK2;INSIG1;AKT3;MAP4K2;MAPK11;ITGA9;LIMA1;MDK;ICAM4;ARHGEF6;TSPAN4;PTPRC;MYL9;RRAS;MYH10;ICAM2;MMP2;GNAI1;CD34;CLDN15;SORBS3;JUP;JAM3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,4/44,0.6465088552440144,0.9999999994733555,1.0092915214866434,0.44022105156606034,GSTM3;GATA3;HSPB1;CROCC
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,31/161,0.00017806924082153092,0.004451731020538273,2.285476220997308,19.731288912367877,BTG2;HSPB1;SOD2;VDAC2;GNA15;IL18;PTK2;SQSTM1;CD69;F2R;SC5D;TIMP3;CASP4;RELA;ISG20;DDIT3;MCL1;LMNA;CLU;IL1B;SOD1;MMP2;GADD45A;JUN;BCL2L1;IFITM3;KRT18;EGR3;MGMT;ENO2;BNIP3L
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,7/112,0.9373545574580426,0.9999999994733555,0.6394778415232394,0.041370169656750964,OPTN;ALDH1A1;PFKM;HSD17B11;PHYH;EPHX2;SOD1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,7/74,0.6090057350926597,0.9999999994733555,1.0093567251461988,0.5005678522775457,CD9;GNAI1;GSTM2;TM7SF2;SC5D;CLU;PNRC1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,13/138,0.6191653597812885,0.9999999994733555,0.9762941118089918,0.46801870430697595,MMP2;DUSP6;SERPING1;PEF1;USP11;ISCU;CSRP1;LTA4H;CLU;TIMP3;MAFF;CFH;CD9
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,23/200,0.2509926136869219,0.6605068781234786,1.2140708161484093,1.6782486575517728,ZEB1;CSRP1;APOBEC3G;GATA3;LCP2;L3MBTL4;MAFF;CFH;CASP4;DUSP6;PIM1;USP15;LTA4H;CLU;CD55;LIPA;TNFAIP3;PRCP;SERPING1;HSPA1A;CD59;CEBPB;SPOCK2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,14/150,0.6348692487162874,0.9999999994733555,0.9636225843122395,0.43780863169429984,MPG;NT5C3A;DCTN4;POLR3GL;VPS37B;POLR1D;EIF1B;USP11;GMPR2;PDE6G;IMPDH2;SUPT4H1;POLL;PDE4B
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,1/200,0.9999999994733555,0.9999999994733555,0.06506751307334079,3.426744827404684e-11,MYC
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,20/200,0.5171268467444201,0.9999999994733555,1.0331207041156953,0.6813090971619844,ELN;COL5A1;TPM2;GLIPR1;TIMP3;PMEPA1;MEST;MYL9;DST;PRSS2;TNFAIP3;SERPINE2;MMP2;GADD45A;JUN;PLOD2;CD59;LOXL1;TPM1;ENO2
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,19/200,0.6132450387952013,0.9999999994733555,0.9746994062714444,0.47661893121540716,MYC;NRIP1;NBL1;MPPED2;FOS;TPBG;MAST4;SLC37A1;DEPTOR;FHL2;MYB;CISH;ABLIM1;KRT18;EGR3;KRT8;XBP1;SVIL;DYNLT3
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,16/200,0.8522350443988207,0.9999999994733555,0.8048780487804879,0.12869429863945125,MEST;CISH;ISG20;ZFP36;CD9;XBP1;NRIP1;TPBG;EGR3;DYNLT3;NBL1;MDK;TSPAN13;MYB;FOS;CKB
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,17/158,0.3956310298064214,0.9890775745160535,1.1284780262795964,1.0464074813202695,MGLL;ACSS1;LTC4S;ALDH1A1;ECI2;BMPR1B;HSD17B11;ACSM3;SERINC1;NTHL1;ACADVL;PCBD1;ENO2;UROD;BLVRA;HADHB;UBE2L6
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,7/200,0.9998656181698392,0.9999999994733555,0.34067727458180336,4.578391198433858e-05,PML;SMAD3;MYC;MEIS1;AMD1;PURA;CCNT1
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,15/200,0.9045326555173261,0.9999999994733555,0.7500297170614485,0.07525563527245925,G6PD;RBCK1;ISG20;TALDO1;CHST12;PLOD2;AKR1A1;EGLN3;TPBG;COL5A1;FUT8;MPI;ENO2;CITED2;SOD1
