,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,89/200,0.001122883139614542,0.00561441569807271,1.5873913022670387,10.781332616074321,ADIPOR2;CDKN2C;HADH;UBQLN1;GHITM;GPAT4;QDPR;RETN;UQCR10;TST;REEP5;SLC1A5;PLIN2;SDHC;CD36;ATL2;G3BP2;RREB1;TANK;GPX4;ATP1B3;CAT;ACO2;PRDX3;PGM1;SLC25A1;SCARB1;SLC5A6;SLC25A10;YWHAG;UQCRQ;BCL6;SAMM50;ETFB;PFKL;MGST3;MDH2;DDT;APLP2;CYC1;NDUFS3;DHRS7B;NDUFAB1;DLAT;ESYT1;UQCRC1;ARAF;SQOR;COX6A1;ACAA2;NDUFB7;PREB;ABCB8;BCL2L13;COX7B;SLC66A3;IDH3G;DNAJC15;ACLY;NMT1;SDHB;CHCHD10;PEX14;AK2;GRPEL1;POR;ITGA7;PPM1B;CD302;AIFM1;ECH1;AGPAT3;RIOK3;ECHS1;TOB1;ALDOA;CHUK;COX8A;GBE1;UCP2;SLC19A1;MAP4K3;UQCR11;IMMT;GPD2;ESRRA;IDH1;CS;IDH3A
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,65/200,0.70993935767837,1.0,0.9317904616611749,0.3192087923135439,IL2RG;CD86;EIF5A;HIF1A;IGSF6;HLA-A;MAP4K1;JAK2;CCND3;PRKCB;SRGN;GLMN;FYB1;CD2;CD4;LY75;HLA-DMB;IFNGR2;LY86;IRF8;TLR2;SPI1;PSMB10;CD96;ELF4;FLNA;CTSS;TAP1;ITGB2;ABCE1;NLRP3;TIMP1;FAS;BRCA1;IFNAR2;MAP3K7;MRPL3;UBE2D1;PTPN6;CFP;GCNT1;CAPG;CCR1;AKT1;STAT1;HDAC9;TGFB1;EIF3J;TAP2;B2M;ITGAL;GPR65;FGR;TAPBP;STAB1;EIF3A;CCR2;CD1D;HCLS1;WAS;EIF4G3;GALNT1;NME1;CSK;UBE2N
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,40/101,0.14057620388006908,0.5020578710002467,1.2810789056670215,2.5134839368327695,SAT1;CCND3;NDRG1;ABCC4;XRCC5;PDLIM5;DBI;GSR;PTK2B;UBE2J1;NCOA4;GPD1L;SORD;FKBP5;CENPN;ELOVL5;GNAI3;MYL12A;CAMKK2;XRCC6;PIAS1;SMS;STK39;SLC38A2;TNFAIP8;SEC24D;TMEM50A;ACTN1;B4GALT1;RRP12;PA2G4;AKT1;VAPA;B2M;HOMER2;SPCS3;ADRM1;SRF;UBE2I;NGLY1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,5/36,0.9984119574250925,1.0,0.3351982395285517,0.0005327321881494643,TIMP1;VCAN;APP;S100A4;LRPAP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,46/200,0.999817983766671,1.0,0.5685928865146737,0.00010350255535949317,CD86;VCAN;PIK3CB;SKAP2;ZYX;ADAM9;HADH;ARPC2;MSN;FYB1;MAP3K20;HRAS;TUBG1;AKT2;MYL12B;MYH9;PTEN;ADAM15;NF2;YWHAH;NEGR1;CD99;GNAI2;MPZL1;PFN1;CDK8;SIRPA;NEXN;ACTB;RSU1;TAOK2;SYK;MAPK14;ACTN1;VCL;ACTN4;B4GALT1;PKD1;ACTG1;EXOC4;ITGB1;CAP1;NF1;EPB41L2;DLG1;INPPL1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,11/44,0.9277981224841527,1.0,0.6612287400208261,0.04955321593139472,ADIPOR2;AKAP7;IL2RG;CRYBG1;NCOA6;BRCA1;APP;ADAM10;GHRL;PLAUR;B4GALT1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,52/161,0.713781495710872,1.0,0.9245032169226751,0.3117225079836955,CD38;GPX4;EBP;SAT1;EMP1;APP;CASP8;TOP2A;BAX;CTNNB1;ROCK1;CD2;PMAIP1;PSEN1;BTG3;HGF;ETF1;TSPO;PPT1;GSR;GADD45B;TNFSF10;DNAJA1;CREBBP;NEDD9;PLCB2;TAP1;WEE1;GSN;DNAJC3;TIMP1;FAS;RHOT2;BRCA1;CASP2;DNM1L;TIMP2;PAK1;SPTAN1;MADD;DPYD;DAP;CASP3;FDXR;CASP1;PPP3R1;ANXA1;BID;CDC25B;CDK2;HMGB2;SLC20A1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,18/112,0.999995394718124,1.0,0.3707842620812482,1.7075699739767327e-06,FDXR;CAT;SULT1B1;IDH2;SLC29A1;PRDX5;ABCD3;PXMP2;ACSL5;LONP2;ACSL1;CYP7B1;ATXN1;PEX26;SLC27A5;PNPLA8;SLC23A2;IDH1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,23/74,0.7469374984787301,1.0,0.8805261126451115,0.25691442117324453,CHKA;EBP;NIBAN1;FDPS;FABP5;ECH1;CTNNB1;PLAUR;ACAT2;STX5;ETHE1;FASN;CPEB2;ACTG1;GUSB;ALCAM;ANTXR2;ANXA5;PMVK;ATXN2;SREBF2;TMEM97;S100A11
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,18/138,0.9999999970933645,1.0,0.2880775299891945,8.37336373136761e-10,GSN;CTSH;CFD;TIMP1;PREP;S100A13;RAC1;ANXA1;MSRB2;CAPN2;FYN;RABIF;ADAM9;GNB2;PLEK;SPARC;WDR1;CTSB
