,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,28/200,0.12468444906975444,0.3117111226743861,1.3233397294893996,2.75515247960586,SSPN;ALDH2;ANGPT1;SQOR;NABP1;COX6A1;ALDOA;CD151;RTN3;UQCR10;LPCAT3;DHRS7;DECR1;ETFB;SLC66A3;GBE1;MGST3;UCP2;UQCR11;MRPL15;DDT;GPD2;DRAM2;RAB34;UBC;TANK;IDH1;TKT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,31/200,0.036534282851646706,0.13047958161302395,1.4994103490925128,4.962304852357306,IL2RG;CD74;HLA-A;CCND3;LY75;LY86;IFNGR2;IL18;TLR2;BCAT1;FLNA;CTSS;ABI1;ITGB2;PTPRC;TIMP1;NCF4;PTPN6;CFP;IL1B;CAPG;GCNT1;ELANE;HDAC9;TGFB1;ITGAL;FGR;STAB1;EIF3A;IRF7;GBP2
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,22/101,0.00147548928800999,0.017751905310083808,2.2939265734966816,14.953569690172579,SAT1;MAP7;CCND3;NDRG1;DBI;CDK6;PTK2B;UBE2J1;NCOA4;SORD;FKBP5;ARID5B;MYL12A;SLC38A2;ACTN1;ABHD2;TSC22D1;VAPA;KRT8;GUCY1A1;SELENOP;NGLY1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.7861307021890982,0.9999967745418363,0.8237616818867867,0.19822359617148538,APP;S100A4;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,30/200,0.05695242975001651,0.18172809220240319,1.4397875881746849,4.125767378194526,SKAP2;ZYX;CTNNA1;MSN;ARPC2;CTNND1;RAC2;MYL12B;MYH9;AKT3;ADAM15;CD99;GNAI2;PTPRC;PFN1;PECAM1;SYK;MAPK14;ACTN1;ACTN4;ACTG1;EXOC4;ICAM2;MMP2;ITGB1;CD34;CAP1;CLDN15;JUP;EPB41L2
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,6/44,0.3721116245750667,0.6804978200063663,1.3376356428771639,1.322334968705353,IL2RG;CRYBG1;APP;HSPB1;ADAM10;PLAUR
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,33/161,0.00035134073013605156,0.017567036506802577,2.1358141779891016,16.98774069863054,SAT1;EBP;EMP1;APP;HSPB1;RHOB;CASP8;ROCK1;PSEN1;HGF;TSPO;CDKN1B;IL18;ADD1;TNFSF10;DNAJA1;GSN;CASP4;TIMP1;LMNA;PAK1;IL1B;DPYD;MMP2;CASP1;JUN;TXNIP;ANXA1;SATB1;IFITM3;KRT18;CD44;SLC20A1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,9/112,0.8960865580085726,0.9999967745418363,0.7193971094425211,0.07893100323566783,SULT1B1;GNPAT;OPTN;SLC29A1;SLC22A18;PRDX5;HSD17B11;IDH1;AR
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,10/74,0.31528181300711394,0.6063111788598344,1.29169779491505,1.4909917753510769,EBP;NIBAN1;ANTXR2;FABP5;FDFT1;PLAUR;ACTG1;S100A11;CD9;ETHE1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,19/138,0.20135844604482211,0.4194967625933794,1.30044226869259,2.084178049294544,RAC1;MSRB2;CAPN2;KLF7;SPARC;CTSB;CFD;GNB2;GSN;DUSP6;TIMP1;MMP2;LAMP2;SERPING1;ANXA1;ISCU;PECAM1;CD9;CRIP2
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,32/200,0.02263947674316708,0.10290671246894127,1.5599899477087542,5.909335736541896,CD46;DGKG;CTSD;PLAUR;PSEN1;CTSB;PPP4C;CP;FCER1G;CTSS;GNB2;L3MBTL4;CASP4;GNAI2;DUSP6;PFN1;CA2;TIMP1;MSRB1;GRB2;IRF2;LIPA;PRCP;LAMP2;CASP1;CBLB;PRKCD;SERPING1;IRF7;CD59;GPD2;CTSC
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,18/150,0.4183913801621626,0.6973189669369377,1.1065351810247133,0.9641661165424521,MPG;POLD4;ARL6IP1;POLR2G;NME3;POLR2A;PNP;AGO4;DAD1;POLR1D;AK3;GTF2A2;NT5C;STX3;TSG101;GMPR2;PDE6G;COX17
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,8/200,0.9999445371033684,0.9999967745418363,0.3372522214627478,1.8705503833276648e-05,NAP1L1;SMC4;NBN;LUC7L3;RAD21;TACC3;DEK;CDKN1B
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,27/200,0.1750983149645281,0.3806485107924524,1.266479290032409,2.206723219998145,SAT1;QSOX1;ELN;ITGA5;RHOB;ID2;PLAUR;SPARC;IGFBP2;FLNA;PLOD3;GLIPR1;EMP3;TIMP1;TPM4;ECM1;DST;CAPG;DPYSL3;MMP2;TGFB1;JUN;ITGB1;CD59;VIM;CD44;LGALS1
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,15/200,0.9712190822844625,0.9999967745418363,0.6487771835000917,0.018946376799243096,BLVRB;FKBP5;ABLIM1;FDFT1;MED13L;KRT18;ABHD2;CHPT1;TPBG;KRT8;SVIL;SYNGR1;CD44;AR;ADD3
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,21/200,0.6642030484320869,0.9600348067159732,0.94335626534175,0.38599061189292616,FABP5;ID2;SNX10;SORD;SLC29A1;FKBP5;DNAJC12;TPBG;CHPT1;ADD3;DNAJC1;CA2;ETFB;PTPN6;ABHD2;MOCS2;TSPAN13;BLVRB;FDFT1;CD44;CD9
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,22/158,0.16589071234097788,0.37702434622949516,1.3160537655755509,2.3641932898310185,RAP1GDS1;PTS;PCBD1;ACAA1;HSDL2;CRYZ;ALDOA;NBN;GRHPR;NTHL1;BLVRA;S100A10;CA2;DECR1;HSD17B11;ECI2;GPD2;SERINC1;ACSL4;LDHA;LGALS1;IDH1
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,14/200,0.984620631915599,0.9999967745418363,0.602242261759688,0.00933406685148632,SAP30;TGFB1;HSPA8;MEIS1;SMC4;SLC38A1;NSD2;RAD21;TACC3;KIF20B;MAPK14;NUP50;ARID4A;CDKN1B
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,18/200,0.873646602582396,0.9999967745418363,0.7926931016065938,0.10707645303482444,SAP30;G6PD;EXT2;GLRX;QSOX1;ALDOA;ME2;PPIA;TPBG;RRAGD;AK3;TXN;PFKP;CD44;CHST12;LDHA;IDH1;ENO1
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,3/36,0.7861307021890982,0.9999967745418363,0.8237616818867867,0.19822359617148538,CDK6;MYH9;ADGRG1
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,29/200,0.08574874014209408,0.2381909448391502,1.381103342862804,3.3924509401259755,NFE2;MKRN1;SLC10A3;SLC25A37;CLIC2;CCND3;HDGF;TRIM58;GDE1;CTSB;NCOA4;CDR2;ADD1;HEBP1;CAST;TNRC6B;BLVRA;CA2;MGST3;PSMD9;UCP2;NEK7;LAMP2;NR3C1;OPTN;BLVRB;LMO2;RAD23A;HTATIP2
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,31/200,0.036534282851646706,0.13047958161302395,1.4994103490925128,4.962304852357306,GLRX;GPI;S100A4;HK1;PFKP;NDRG1;PLAUR;KLF7;TPST2;ENO1;CDKN1B;MYH9;CP;ALDOA;TPBG;ANXA2;KLF6;GRHPR;SLC2A3;WSB1;PLAC8;HEXA;RRAGD;GBE1;GAPDH;SAP30;NR3C1;JUN;PRDX5;MAP3K1;LDHA
22,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,35/199,0.004036487964109357,0.028832056886495403,1.7587556264221769,9.694929834007514,GLIPR2;EMP1;GSTO1;RHOB;CCND3;NCOA3;NDRG1;TNFSF10;SNX14;KLF6;IL3RA;SLC2A3;CD79B;AHNAK;CA2;CYFIP1;SYNGR2;PRKCH;RNH1;RRAGD;CDCP1;CTSZ;ECM1;CAPG;HOPX;PNP;IFITM3;PLEC;GBP4;CST7;TWSG1;SELL;PRNP;CD44;SCN9A
