,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,8/200,0.8271832922994036,0.9994420643412846,0.7939040551285449,0.15062660130142108,CAT;GPX4;CHCHD10;PDCD4;ACAA2;PIM3;LTC4S;ABCA1
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,16/200,0.05469064329462345,0.18751077701013752,1.6718316594930656,4.858447524565275,EREG;EIF5A;CD7;CCND2;HIF1A;NPM1;MRPL3;LYN;HLA-DQA1;PRKCB;LCP2;HLA-E;EIF3D;SRGN;NME1;HLA-DRA
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,6/101,0.42986232421954423,0.834502227793217,1.242414259662333,1.0489583052756877,IQGAP2;HPGD;HOMER2;SMS;INPP4B;PA2G4
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.28759032810683544,0.6001885108316566,1.9104808551477646,2.380876171715384,PTK2;VEGFA;CCND2
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,11/200,0.46940750313368457,0.834502227793217,1.1069966336093167,0.8372038544210312,PTK2;PIK3R3;GAMT;PIK3CB;PTEN;SORBS3;ITGA9;VASP;FSCN1;MDK;NECTIN1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,2/44,0.67589364653542,0.9994420643412846,1.0685625243474874,0.41857682362608956,GSTM3;LYN
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,17/161,0.0038075869045925896,0.030460695236740717,2.2976023951508013,12.799390712063076,PTK2;CD38;GPX4;GADD45B;EREG;BTG2;CCND2;PPP3R1;PDCD4;BID;CD69;XIAP;MCL1;BAX;GNA15;CLU;PMAIP1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,3/112,0.9370979180074842,0.9994420643412846,0.573712399639563,0.03727266066481965,CAT;BMP6;ABCA1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,4/74,0.5424022960363734,0.9298325074909257,1.1618727195185519,0.710772509867495,NFIL3;GSTM2;CLU;PNRC1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,1/138,0.9994420643412846,0.9994420643412846,0.19274325674325674,0.00010756834681343433,CLU
