,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,27/200,0.3330643011414085,0.7240528285682793,1.1332775858730697,1.2459477160812458,CD302;HADH;PRDX3;NABP1;PGM1;QDPR;UQCR10;YWHAG;UQCRQ;FAH;DHRS7;COX7B;CS;COX8A;ARL4A;PLIN2;GBE1;MGST3;UQCR11;MRPL15;AK2;APLP2;GPD2;RREB1;RAB34;TANK;TKT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,21/200,0.8177657876834998,0.9999995793826594,0.845126420572599,0.17002194719814795,IL2RG;HLA-A;LY86;IL18;IRF8;TLR2;BCAT1;ITGB2;IFNAR2;NCF4;GCNT1;ELANE;HDAC9;ITGAL;STAB1;EIF3A;IRF7;EIF4G3;NME1;GBP2;UBE2N
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,17/101,0.10969111856554768,0.3427847455173365,1.4876824740170564,3.2879075116212326,VAPA;SORD;UBE2J1;CAMKK2;SELENOP;SLC38A2;ACSL3;MAP7;SEC24D;KRT8;NDRG1;ACTN1;RRP12;UAP1;PA2G4;CDK6;NGLY1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.838269751428261,0.9999995793826594,0.7408677542519958,0.13070043025612152,APP;S100A4;FGFR1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,19/200,0.9155897661689384,0.9999995793826594,0.7547443404673423,0.0665585396410429,CTNNA1;HADH;CDH4;CTNND1;AKT2;MYH9;CD99;SIRPA;PKD1;SYK;MAPK14;ACTN1;ACTN4;EPB41L2;EXOC4;MMP2;ITGB1;CLDN15;PECAM1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,6/44,0.4622296991108263,0.9244593982216526,1.202349568111963,0.9278451387134268,IL2RG;CRYBG1;APP;HSPB1;SRPX;PLAUR
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,24/161,0.18333940284816327,0.5092761190226758,1.279010824606178,2.1697346617684015,EBP;APP;HSPB1;HGF;PSEN1;ETF1;TSPO;PPT1;IL18;CREBBP;MCL1;PAK1;ATF3;DPYD;MMP2;CASP1;JUN;ANXA1;SATB1;IFITM3;KRT18;CD44;HMGB2;SLC20A1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,8/112,0.973956947425479,0.9999995793826594,0.5713637486802794,0.015077248382011453,GNPAT;IDH2;SLC29A1;PRDX5;PXMP2;SLC27A5;PNPLA8;AR
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,12/74,0.19377558388510255,0.5099357470660594,1.4314096499526963,2.349021352760602,ALCAM;EBP;NIBAN1;ANTXR2;FABP5;FDFT1;PLSCR1;TMEM97;PLAUR;ATF3;S100A11;ETHE1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,13/138,0.8848944201227325,0.9999995793826594,0.758493986140745,0.09275390886730528,MMP2;DUSP6;SERPING1;CFD;RAC1;ANXA1;MSRB2;CPQ;ISCU;PLEK;PECAM1;SPARC;CTSB
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,25/200,0.5017753066131815,0.9292135307651508,1.0342875144039063,0.7132476237336054,DGKG;CTSD;PLAUR;PSEN1;LAP3;CTSB;PPP4C;DOCK10;L3MBTL4;PIK3CG;FCN1;DUSP6;HSPA5;CA2;CPQ;GRB2;CASP1;CBLB;PRKCD;SERPING1;IRF7;PLSCR1;GPD2;CTSC;PLEK
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,23/150,0.1544297658261449,0.4542051936063085,1.3240314483281235,2.473311765964111,HPRT1;AGO4;IMPDH2;TP53;POLR2G;RFC3;AK3;LIG1;SSRP1;COX17;POLR2H;PCNA;GTF2B;DDB1;DUT;ARL6IP1;NME3;POLR2A;PNP;TSG101;NME1;TYMS;ERCC1
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,43/200,0.00012711217279943337,0.001588902159992917,2.0471404642258912,18.363751956616163,CCP110;POP7;NUP153;POLE;SYNCRIP;POLD2;TP53;RAN;RFC3;ATAD2;NOP56;RNASEH2A;ING3;TACC3;LIG1;IPO7;SSRP1;BRCA2;USP1;PAICS;NAP1L1;PCNA;NASP;PRKDC;HNRNPD;SMC4;CKS1B;CTPS1;DUT;DEK;DNMT1;PA2G4;CSE1L;NOLC1;SRSF1;UBE2S;AK2;SMC1A;RAD21;TFRC;NME1;MCM2;HMGB2
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,17/200,0.9685086155198362,0.9999995793826594,0.6670284112645706,0.02134350869372724,MMP2;SNTB1;QSOX1;AREG;ITGB1;TPM4;JUN;IGFBP2;ITGA5;GPX7;ID2;PLAUR;PPIB;CD44;LGALS1;COLGALT1;SPARC
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,19/200,0.9155897661689384,0.9999995793826594,0.7547443404673423,0.0665585396410429,PPIF;SYNGR1;KDM4B;MYBBP1A;AR;ADD3;AREG;SIAH2;MED13L;GAB2;RRP12;BLVRB;NCOR2;FDFT1;KRT18;KRT8;XBP1;CD44;KLF4
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,22/200,0.7508205917338746,0.9999995793826594,0.8913478602627165,0.25545008926336504,HPRT1;IDH2;FABP5;IMPA2;PPIF;ID2;SORD;SLC29A1;DNAJC12;RNASEH2A;ADD3;DNAJC1;CA2;AREG;SIAH2;TSPAN13;BLVRB;NCOR2;FDFT1;XBP1;CD44;KLF4
