,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,10/200,0.3113053578334726,0.6933619333563708,1.2898923348867106,1.5052798346363454,TALDO1;ESYT1;ACAA2;PIM3;STAT5A;LTC4S;UCP2;SOD1;ANGPT1;ABCA1
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,17/200,0.0033155764354492715,0.03249264906740286,2.3308597599860863,13.307166891617413,EREG;TGFB1;CD7;B2M;CCND2;HIF1A;CD74;LYN;PTPN6;PRKCB;HLA-E;LCP2;EIF3D;HLA-DQA1;HLA-DMA;HLA-DRA;CD47
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,6/101,0.23737708460273865,0.5538798640730569,1.593368237347295,2.2914313515815823,IQGAP2;HPGD;B2M;HOMER2;SMS;INPP4B
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,2/36,0.4416558076356963,0.8382075742622044,1.6832182794396673,1.3755670754448825,VEGFA;CCND2
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,17/200,0.0033155764354492715,0.03249264906740286,2.3308597599860863,13.307166891617413,EVL;CNN2;MYL12B;PFN1;PIK3R3;PIK3CB;CD34;ACTB;MAP4K2;SORBS3;ITGA9;VASP;FSCN1;MDK;ARHGEF6;TSPAN4;NECTIN1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,2/44,0.5483536261585028,0.9732999473052336,1.36375553006718,0.8193919133644,GSTM3;LYN
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,12/161,0.032902251826497725,0.16122103394983886,2.000029597182348,6.8285294090769,ISG20;GADD45B;EREG;BTG2;CCND2;SQSTM1;TXNIP;CD69;XIAP;CAV1;CLU;SOD1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,4/112,0.687111662100224,0.9910217544205335,0.9569546310118777,0.3591053251034696,SOD1;BMP6;ABCA1;ALDH1A1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,3/74,0.5958979269215716,0.9732999473052336,1.1332784862196628,0.5866822819134091,GSTM2;CLU;PNRC1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,2/138,0.9806919084679592,0.9910217544205335,0.41502137602416156,0.00809164163357435,CSRP1;CLU
