,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,36/200,0.09866935077909061,0.44849704899586645,1.3167843103678392,3.0496473252072716,CHCHD10;ARL4A;QDPR;YWHAG;PIM3;NDUFAB1;CS;IMMT;GPX4;GPHN;AK2;COX7B;RREB1;GRPEL1;ATL2;PRDX3;SDHB;CD302;IDH3A;APLP2;ADIPOR2;BCKDHA;CYC1;FAH;BCL6;PEMT;COX8A;UQCRC1;SLC1A5;SLC5A6;HADH;MDH2;SLC19A1;UQCRQ;SCARB1;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,22/200,0.9460241652676722,0.9999999992953803,0.72823461368353,0.04040767458770816,LY86;IRF8;STAT4;EIF5A;TLR2;UBE2N;NLRP3;CD96;BCL3;FYB1;STAT1;STAB1;MRPL3;NME1;SRGN;NPM1;ABCE1;EIF3A;EIF4G3;RIPK2;EREG;ELANE
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,13/101,0.730345255939532,0.9999999992953803,0.8905406684973014,0.2798416324764746,SRF;UBE2I;UBE2J1;XRCC6;ACTN1;UAP1;PA2G4;RRP12;LMAN1;ADRM1;GSR;CAMKK2;HOMER2
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,1/36,0.9966409668955585,0.9999999992953803,0.2455468913717229,0.0008261885122302189,FGFR1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,12/200,0.999969133750662,0.9999999992953803,0.37594978177475774,1.1604338794959885e-05,HADH;EPB41L2;PKD1;MAP3K20;ACTN1;GAMT;NF2;PTEN;AKT2;FYB1;SIRPA;SYMPK
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,5/44,0.7896065218207855,0.9999999992953803,0.8133883951282281,0.19213903880613523,CRYBG1;ADIPOR2;PLAUR;SRPX;HSPB1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,19/161,0.8726488569217367,0.9999999992953803,0.794698672547606,0.10825546625801725,HMGB2;WEE1;RHOT2;BTG3;GSR;PPP3R1;PMAIP1;GPX4;CD38;JUN;GNA15;BID;ETF1;HSPB1;ATF3;BAX;SATB1;MCL1;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,6/112,0.9994996781651188,0.9999999992953803,0.35063789736577844,0.00017547569701166846,IDH2;PXMP2;PNPLA8;SLC23A2;SLC27A5;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,8/74,0.8648885081381846,0.9999999992953803,0.7447538085117783,0.10810449530423194,NFIL3;PLSCR1;FASN;ALCAM;ATF3;FABP5;PLAUR;TMEM97
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,3/138,0.9999999202441991,0.9999999992953803,0.14652026331732287,1.168584140800057e-08,DUSP6;PLEK;MSRB2
