,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,94/200,0.0020192998092552314,0.010096499046276157,1.5389751116959844,9.549347426886044,HIBCH;UQCR10;COQ9;LPCAT3;SCP2;CS;ESRRA;G3BP2;GPHN;NDUFS3;SLC25A10;MAP4K3;UBQLN1;DHRS7B;COX8A;ACO2;UQCRC1;SLC1A5;AIFM1;SLC19A1;UQCRQ;ETFB;SDHC;DECR1;UCK1;PGM1;NMT1;GPX4;AGPAT3;DDT;SULT1A1;GRPEL1;ACAA2;ACADS;PTCD3;IDH3A;DHCR7;SLC25A1;SLC5A6;MDH2;DLAT;ACADM;PFKL;CHCHD10;MRPL15;ELOVL6;QDPR;TST;YWHAG;NDUFAB1;AK2;PREB;CHUK;DNAJC15;SDHB;SAMM50;APLP2;COQ3;ADIPOR2;CYC1;GBE1;PEMT;PEX14;TANK;PFKFB3;ARAF;HADH;RTN3;COX6A1;PLIN2;DLD;ABCB8;REEP5;VEGFB;IMMT;NDUFB7;ECH1;COX7B;RREB1;ATL2;PRDX3;IDH1;CD302;CDKN2C;ATP1B3;PPM1B;ESYT1;ACLY;UQCR11;NDUFA5;SCARB1;SOD1;GHITM;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,46/200,0.9999952836759762,1.0,0.4969785128440113,2.343917226763603e-06,EIF3J;ITGAL;PSMB10;FLNA;IFNGR2;IRF8;JAK2;EIF5A;IKBKB;TLR2;UBE2N;AKT1;GCNT1;MAP4K1;ELF4;MAP3K7;FYB1;STAT1;GALNT1;MRPL3;GLMN;TIMP1;TAP1;NME1;SRGN;IFNAR2;HDAC9;DEGS1;IL2RG;HIF1A;ABCE1;IL27RA;ITGB2;TAPBP;TPD52;EIF4G3;EIF3A;BRCA1;LY75;CD7;TRAF2;CD47;CCND2;NCK1;TAP2;CAPG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,47/101,0.03030215797891281,0.10100719326304271,1.4953256081071258,5.228460341704126,SRF;SORD;PTK2B;DBI;PA2G4;SRP19;HMGCS1;GSR;PDLIM5;CENPN;IDI1;AKT1;TNFAIP8;UBE2I;TMEM50A;ACTN1;XRCC5;GNAI3;B4GALT1;FADS1;SLC38A2;CAMKK2;ELK4;ZMIZ1;UBE2J1;SPCS3;VAPA;NGLY1;NCOA4;RRP12;STK39;MAP7;CDK6;HOMER2;INSIG1;TPD52;XRCC6;HMGCR;FKBP5;ADRM1;DHCR24;ABCC4;ACSL3;ABHD2;SMS;SEC24D;SCD
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,4/36,0.9999062104153424,1.0,0.23313317352194243,2.1866488955009047e-05,CCND2;LRPAP1;FGFR1;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,49/200,0.99996016335932,1.0,0.541167191933411,2.1558712389029626e-05,ADAM15;RSU1;NF1;PIK3CB;PKD1;TIAL1;SKAP2;GAMT;MYH9;VCL;ARPC2;ADAM9;CTNND1;NRXN2;ACTN4;BMP1;MAP3K20;MPZL1;ACTN1;ACTB;PECAM1;B4GALT1;EXOC4;FYB1;EPB41L2;JAM3;SYK;CDH4;NEGR1;PTEN;CD99;TSPAN4;MYH10;SIRPA;WASL;DLG1;INSIG1;NECTIN1;HADH;CDK8;ITGB1;PFN1;MAPK14;CAP1;YWHAH;GNAI2;TUBG1;HRAS;AKT3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,10/44,0.9861931466173172,1.0,0.5139698654853434,0.007145751050708513,BRCA1;CRYBG1;ADAM10;AKAP7;ADIPOR2;PLAUR;B4GALT1;IL2RG;HSPB1;NCOA6
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,52/161,0.9130724585955527,1.0,0.808436962345101,0.07351928835346791,HMGB2;CD69;WEE1;ENO2;MGMT;CASP1;ROCK1;EBP;BTG3;DAP;GSR;MADD;CDK2;PPP3R1;CASP7;PMAIP1;CASP3;GPX4;DNAJC3;PEA15;PPT1;HGF;GADD45B;CD38;CTNNB1;CASP8;GSTM1;TIMP1;TAP1;DFFA;TIMP2;SOD2;CDC25B;TOP2A;BID;DNM1L;ETF1;SLC20A1;HSPB1;BRCA1;ATF3;BAX;PAK1;SATB1;PSEN1;CASP2;CASP6;DNAJA1;CCND2;CREBBP;SOD1;SPTAN1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,29/112,0.9957983874853987,1.0,0.5928819265261392,0.002496308061896419,NEDD4;HSD17B4;ABCD3;FADS2;ABCA3;SCP2;SLC23A2;IDI1;ISOC1;HACL1;ABCA2;SLC27A2;FADS1;IDH1;CYP7B1;PEX26;PXMP2;ALDH9A1;IDH2;SLC29A1;ACSL5;PEX1;DHCR24;PRDX5;SLC35B2;GNPAT;PNPLA8;SOD1;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,33/74,0.10919695182724203,0.3211675053742412,1.3793647729466405,3.0547441638433694,FDPS;EBP;HMGCS1;TMEM97;ATXN2;SREBF2;FADS2;IDI1;SCD;SQLE;MVK;CYP51A1;ABCA2;ECH1;CTNNB1;FDFT1;PDK3;ACAT2;CHKA;DHCR7;PMVK;PLAUR;ANTXR2;FASN;GUSB;ALCAM;ATF3;LDLR;PCYT2;HMGCR;FABP5;STX5;NIBAN1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,13/138,0.9999999999999893,1.0,0.17592305305615885,1.8750127110268953e-15,FYN;MSRB2;SPARC;DUSP14;GNB2;RABIF;PREP;PECAM1;ADAM9;PLEK;WDR1;BMP1;TIMP1
