,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,40/200,0.07162781386194253,0.17054241395700603,1.344077818043105,3.5433544738310956,CHCHD10;TKT;RIOK3;ABCA1;ALDOA;REEP5;PIM3;ITSN1;ESRRA;NDUFB7;GPX4;AGPAT3;COX7B;POR;SULT1A1;GRPEL1;DNAJC15;MAP4K3;CD36;SDHB;CD302;RNF11;ATP1B3;CYC1;BCL6;IFNGR1;COX8A;UQCRC1;TANK;RETN;PFKFB3;UQCR11;SQOR;UBC;TOB1;COX6A1;GPAT4;UCP2;DGAT1;ALDH2
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,59/200,6.337018946070266e-07,7.921273682587832e-06,2.3184474295692348,33.08815648328302,LY86;LYN;HCLS1;ITGAL;FLNA;ACVR2A;FGR;IFNGR2;IRF8;ICAM1;JAK2;CDKN2A;GPR65;TLR2;HLA-DMB;LTB;CCR1;HLA-E;PTPN6;FCGR2B;SPI1;NLRP3;ST8SIA4;TNF;CTSS;BCL3;ELF4;WAS;FYB1;STAB1;TIMP1;CSK;PTPRC;CD1D;CD40;PRKCB;SRGN;CCL5;HDAC9;IFNGR1;IL2RG;CD4;CCND3;IL4R;HIF1A;IL27RA;ITGB2;TAPBP;IGSF6;LCP2;CFP;CD86;TGFB1;RIPK2;UBE2D1;CD2;NCF4;CAPG;B2M
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,17/101,0.4499909296537317,0.8333165363957994,1.0890556316751743,0.8696412550824651,PTK2B;INSIG1;ZMIZ1;SAT1;MYL12A;VAPA;DBI;ELOVL5;ADRM1;RRP12;SGK1;B4GALT1;ACSL3;CCND3;CAMKK2;PDLIM5;B2M
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,8/36,0.20727856811572554,0.4318303502410949,1.5720790801806246,2.4739677227571124,THBD;VCAN;VEGFA;PTK2;S100A4;TNFRSF21;VAV2;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,40/200,0.07162781386194253,0.17054241395700603,1.344077818043105,3.5433544738310956,ADAM15;ZYX;MVD;SKAP2;ICAM1;VCL;MYH9;ARPC2;ACTN4;VAV2;VCAN;VASP;TRAF1;TGFBI;ACTB;PECAM1;B4GALT1;FYB1;PTPRC;SYK;NECTIN2;RHOF;BAIAP2;SIRPA;SYMPK;CTNNA1;MYL12B;INSIG1;IKBKG;RRAS;TMEM8B;ITGB1;PFN1;INPPL1;CAP1;CD86;MSN;SRC;GNAI2;PTK2
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,9/44,0.26293326765437475,0.5056408993353361,1.4099049168658158,1.8834285526770616,FLOT2;CRYBG1;LYN;SULF2;TMEM8B;ADAM10;PLAUR;B4GALT1;IL2RG
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,45/161,6.297304640072401e-05,0.00039358154000452503,2.1223388433263928,20.528967139539198,DPYD;CASP1;SAT1;GPX4;DNAJC3;CD44;PEA15;TSPO;TNF;PPT1;SMAD7;CD14;CTNNB1;RARA;SQSTM1;CYLD;GCH1;NEDD9;TIMP1;RHOB;IGF2R;TIMP2;TXNIP;SOD2;BID;IFNGR1;ETF1;LGALS3;SLC20A1;BNIP3L;BIRC3;EMP1;IER3;PAK1;GSN;PSEN1;CDKN1A;BMF;HMOX1;BCL2L11;CREBBP;PTK2;CD2;LMNA;GADD45B
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,7/112,0.9995350709683182,0.9999999999965459,0.36630055377560317,0.00017034336362811174,ABCA1;ABCD1;RXRA;ACSL1;PNPLA8;ATXN1;AQP9
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,16/74,0.12229738472426514,0.2748866710496734,1.4917241766257083,3.134559446413501,NFIL3;GUSB;SQLE;ANXA5;MVD;CHKA;ATF5;LDLR;PLAUR;CTNNB1;S100A11;CPEB2;FBXO6;LGALS3;SREBF2;CXCL16
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,21/138,0.6358659317915472,0.9935405184242924,0.9589913549173793,0.43420015370613196,SH2B2;SIRT2;PLEK;FYN;SERPINA1;GNB2;LTA4H;PECAM1;TIMP1;CTSB;RABIF;CTSH;MAFF;RAC1;C1QA;THBD;LRP1;GSN;CAPN2;CPQ;WDR1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,61/200,1.0827608054345734e-07,1.8046013423909557e-06,2.4397018458361663,39.129357061592806,KYNU;LYN;ANXA5;TNFAIP3;CTSD;GNGT2;CASP1;DOCK10;EHD1;JAK2;CEBPB;PLEK;PRCP;RHOG;F5;SH2B3;FYN;PIK3R5;DOCK4;SERPINA1;CALM3;GNB2;CALM1;CTSS;LTA4H;WAS;FCN1;ITGAM;CD36;TIMP1;S100A12;CTSB;CDA;TIMP2;RABIF;MSRB1;CTSH;PLAUR;CCL5;MAFF;LGALS3;FCER1G;CD55;C1QA;PRKCD;CR1;LAP3;USP15;RAF1;LRP1;PFN1;LCP2;CTSL;PSEN1;PPP4C;SRC;DUSP5;GNAI2;CPQ;S100A9;GRB2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,11/150,0.9995775548229118,0.9999999999965459,0.42317005753972886,0.00017880391998229927,HCLS1;SURF1;POLR2E;GPX4;CDA;ELL;TAF10;ADRM1;SDCBP;GUK1;POLD4
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,4/200,0.9999999999965459,0.9999999999965459,0.11450381679389313,3.955105962847045e-13,JPT1;DDX39A;CDKN2A;CDKN1A
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,24/200,0.9570830314965333,0.9999999999965459,0.7186372996874445,0.0315231178682831,COLGALT1;TNFAIP3;FLNA;VIM;SAT1;VCAN;CD44;TGFBI;GADD45B;QSOX1;TIMP1;LGALS1;RHOB;EMP3;BASP1;ID2;NOTCH2;PLAUR;LRP1;ITGB1;TGFB1;VEGFA;CAPG;ANPEP
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,31/200,0.607704958511792,0.9801692879222451,0.9741046504721744,0.4851681929296998,UNC119;ELOVL5;ADD3;NRIP1;JAK2;KLF4;DHRS3;ITPK1;NXT1;MYOF;GAB2;KDM4B;CD44;KLF10;MED13L;B4GALT1;IL6ST;OLFM1;BLVRB;RARA;UGCG;SLC7A5;BHLHE40;RAB31;SVIL;NCOR2;RRP12;SH3BP5;PAPSS2;TOB1;PPIF
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,30/200,0.6822252579042061,0.9999999999965459,0.935986094946535,0.3579167635906868,ELOVL5;ADD3;NRIP1;SGK1;JAK2;KLF4;ITPK1;NXT1;MYOF;PTPN6;SERPINA1;CD44;PRKAR2B;SNX10;IL6ST;OLFM1;PRLR;BLVRB;SLC7A5;RAB31;ID2;NCOR2;JAK1;PAPSS2;ST14;TOB1;DUSP2;PPIF;S100A9;ZFP36
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,17/158,0.9781118705311158,0.9999999999965459,0.6400560621742934,0.01416522692823483,HSD17B10;IL4I1;LGALS1;S100A10;ACAA1;GABARAPL1;CD1D;ELOVL5;TP53INP2;BLVRA;PTS;ACSL4;ALDOA;ACSL1;SUCLG2;CD36;G0S2
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,17/200,0.9994849593016344,0.9999999999965459,0.4877065739426738,0.00025125344287080806,TLE3;SQLE;CUL1;SMAD3;ATF5;FOXN3;JPT1;TENT4A;TGFB1;BCL3;NOTCH2;MARCKS;DDX39A;PAFAH1B1;SLC7A5;CUL3;HIF1A
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,21/200,0.9911198840156556,0.9999999999965459,0.6168391666786056,0.005502069167558588,PKM;SLC25A13;ALDOA;G6PD;PGAM1;LHPP;SLC16A3;VCAN;CD44;TGFBI;EXT1;GLRX;B4GALT1;QSOX1;IL13RA1;GUSB;IER3;DDIT4;PGLS;CHST2;VEGFA
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,5/36,0.7042515613456513,0.9999999999965459,0.9156325846921683,0.3210387811299686,TLE3;RTN1;MYH9;DPYSL2;VEGFA
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,31/200,0.607704958511792,0.9801692879222451,0.9741046504721744,0.4851681929296998,KDM7A;RIOK3;KAT2B;RBM38;SYNJ1;MAP2K3;FOXO3;SEC14L1;MKRN1;CAST;SDCBP;LRP10;PICALM;SIDT2;BLVRB;SLC25A37;PSMD9;CTSB;FBXO9;TMEM9B;UBAC1;CCND3;KLF3;BNIP3L;SLC66A2;USP15;NR3C1;BLVRA;PGLS;BACH1;UCP2
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,41/200,0.04944572431694097,0.13012032714984464,1.3883919990317966,4.174727702849441,FBP1;NFIL3;TNFAIP3;MAP3K1;ALDOA;MYH9;HK1;NAGK;GAA;RBPJ;FOXO3;ANXA2;DTNA;SLC6A6;NDST2;AMPD3;TGFBI;GLRX;EXT1;BTG1;PRKCA;BHLHE40;ADM;TES;PLAUR;MAFF;S100A4;CDKN1C;BNIP3L;PFKFB3;SLC2A3;FOSL2;IER3;DDIT4;NR3C1;JMJD6;CDKN1A;HMOX1;CHST2;VEGFA;ZFP36
22,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,52/199,0.00012117155166905912,0.0006731752870503284,1.9380357771949739,17.477794317246207,SMPDL3A;NFIL3;TNFRSF1B;FGL2;IRF8;PHLDA1;GPR65;LTB;DHRS3;SYNGR2;RNH1;MAPKAPK2;PRNP;P2RX4;GPX4;CTSZ;CD44;MAP3K8;TRAF1;AHNAK;SWAP70;CD83;AHR;GLIPR2;CD48;BHLHE40;HIPK2;RHOB;GABARAPL1;IL1R2;CKAP4;IGF2R;PLEC;MAFF;IFNGR1;CCND3;NCOA3;CDKN1C;IL4R;DENND5A;EMP1;CAPG;SLC2A3;PHTF2;SPRED2;CDC42SE2;CD86;SNX9;TNFRSF21;GADD45B;CYFIP1;IL10RA
23,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL6_JAK_STAT3_SIGNALING,31/87,5.035094360261604e-06,5.035094360261604e-05,3.016273682960147,36.795758805824725,IL17RA;TNFRSF1B;PTPN2;IFNGR2;TLR2;LTB;CCR1;IL10RB;PIK3R5;CD44;CSF2RA;MAP3K8;TNF;TYK2;CD14;IL6ST;CD36;IL13RA1;CSF2RB;LTBR;IL1R2;MYD88;PTPN1;IFNGR1;IL2RG;IL4R;TGFB1;HMOX1;TNFRSF21;CBL;GRB2
