,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,60/200,0.3055079958621964,0.8039684101636747,1.101126297465339,1.3056928006969957,MRPL15;HIBCH;PDCD4;ELOVL6;CPT2;QDPR;PLIN2;DHRS7;DLD;VEGFB;YWHAG;COQ9;SCP2;PGM1;IMMT;G3BP2;DBT;GPHN;DDT;AK2;NDUFS3;ECH1;SUCLG1;CMBL;MCCC1;JAGN1;STAT5A;ANGPT1;PRDX3;IDH1;ACADS;PTCD3;IDH3A;SAMM50;CAVIN1;COQ5;ADIPOR2;BCKDHA;DHRS7B;FAH;SSPN;PEMT;CAVIN2;CMPK1;HADH;PHYH;MDH2;RTN3;RAB34;AIFM1;NDUFA5;STOM;GADD45A;TALDO1;SCARB1;CAT;ACADM;LTC4S;SOD1;SDHC
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,30/200,0.9999977313030305,0.9999999999649811,0.4416169502195464,1.0018961731469916e-06,EIF3J;IL1B;HLA-DOA;CD74;BCAT1;IKBKB;IL7;GCNT1;EIF3D;GBP2;GALNT1;STAT1;IL16;MRPL3;GLMN;IL12A;NME1;NPM1;F2R;ABCE1;EIF3A;BRCA1;TPD52;EIF4G3;LY75;CCND2;NCK1;IL18;EREG;ELANE
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,29/101,0.49158037689048123,0.9999999999649811,1.0367016491754122,0.7361927543911783,SORD;PA2G4;SLC26A2;INPP4B;BMPR1B;TNFAIP8;RAB4A;ACTN1;XRCC5;LMAN1;MERTK;FADS1;APPBP2;ELK4;IQGAP2;NGLY1;NCOA4;KRT8;STK39;MAP7;GUCY1A1;CDK6;SELENOP;TSC22D1;TPD52;XRCC6;ZBTB10;FKBP5;ABCC4
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.9992821354040512,0.9999999999649811,0.26388325901905146,0.00018950047509521344,CCND2;APP;FSTL1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,38/200,0.9991755999905275,0.9999999999649811,0.5903802830461153,0.00048691024292818333,NF1;PKD1;ACTG1;TIAL1;GAMT;ITGA2;NRXN2;BMP1;GNAI1;GTF2F1;ACTN1;ICAM2;EXOC4;MDK;ITGA9;ICAM4;ARHGEF6;ICAM5;JAM3;RAC2;NEGR1;PTEN;CD99;LIMA1;RASA1;MYH10;CLDN15;WASL;MAP4K2;DLG1;HADH;CDK8;MAPK14;CERCAM;MMP2;CD34;PIK3R3;AKT3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,8/44,0.9560737594410292,0.9999999999649811,0.5900112064495626,0.026503430057291846,CROCC;BRCA1;GSTM3;AKAP7;ADIPOR2;APP;DCBLD2;HSPB1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,49/161,0.2867424947660575,0.7965069299057154,1.1251031578947368,1.4054458956689182,CLU;HMGB2;CD69;PDCD4;IL1B;ENO2;WEE1;MGMT;SC5D;CDK2;PPP3R1;CASP7;PMAIP1;SOD1;CASP3;HGF;CD38;CASP8;GSTM1;IFITM3;DFFA;JUN;IGFBP6;NEFH;GNA15;DNM1L;TIMP3;HSPB1;F2R;BRCA1;ATF3;KRT18;MMP2;CASP4;SATB1;RNASEL;GADD45A;CASP2;CASP6;DNAJA1;CCND2;APP;CDKN1B;MCL1;IL18;DAP3;SPTAN1;BCAP31;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,30/112,0.6662512449431329,0.9999999999649811,0.9396400808750581,0.3815769698318433,NEDD4;PEX19;HSD17B4;EFHC1;AMACR;SCP2;ISOC1;HACL1;MLYCD;ABCA2;SLC27A2;ABCA5;FADS1;SLC27A5;IDH1;CYP7B1;LONP2;OPTN;PXMP2;IDH2;SLC29A1;PEX6;GCLM;PHYH;HSD17B11;PEX1;GNPAT;SOD1;AR;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,17/74,0.8735829177488766,0.9999999999649811,0.7715385849510669,0.10427515877617086,FDFT1;CLU;ALCAM;ATF3;ABCA2;ACTG1;ECH1;TM7SF2;PMVK;FABP5;GSTM2;ANTXR2;TMEM97;ATXN2;SC5D;GNAI1;NIBAN1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,14/138,0.9999999599655999,0.9999999999649811,0.28813988058573764,1.1535507503210516e-08,PLAU;CLU;MSRB2;SPARC;MMP2;ISCU;USP11;CTSO;ITGA2;SERPING1;LAMP2;PEF1;TIMP3;BMP1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,24/200,0.9999999947814074,0.9999999999649811,0.34029964078151925,1.7758851775359977e-09,CLU;PLA2G4A;DGKG;KIF2A;FDX1;CASP7;CASP3;AKAP10;CD59;USP14;GNG2;IRF2;CTSC;CTSO;ZEB1;PIM1;CBLB;HSPA1A;ERAP2;L3MBTL4;CASP4;HSPA5;SERPING1;LAMP2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,86/150,2.7467062561996914e-14,4.577843760332819e-13,3.595460686118944,112.2710961424713,SRSF6;POLD1;GTF2B;RFC2;ERCC5;GTF2F1;HPRT1;TAF12;NCBP2;POLR2I;REV3L;PDE4B;AAAS;VPS37B;MPC2;POLR2D;POLR2G;MRPL40;POLD3;POLL;SF3A3;LIG1;POLR2A;BRF2;ERCC1;FEN1;DDB1;POLR1C;NT5C;UMPS;NME4;NME1;DAD1;POLR3C;ERCC3;DUT;GTF2H5;NUDT21;ERCC8;POLA1;RFC4;TYMS;PDE6G;TP53;BCAP31;GTF3C5;GTF2A2;TAF9;CSTF3;POLA2;SMAD5;PRIM1;MPG;POLB;SSRP1;GMPR2;APRT;NELFCD;XPC;NFX1;ARL6IP1;POLR3GL;GTF2H1;UPF3B;RFC3;NME3;RFC5;AK3;EIF1B;USP11;ERCC4;POLR1D;SNAPC5;ADA;POLH;POLR2H;IMPDH2;POM121;NT5C3A;POLR2F;DCTN4;PCNA;GTF2H3;ZWINT;CMPK2;SAC3D1
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,128/200,3.718915146979618e-27,9.297287867449045e-26,4.9191078344454295,299.35902436714264,TACC3;RAD1;CHEK2;HELLS;RRM2;NOP56;POLD1;TMPO;RFC2;LBR;NUP107;DCTPP1;GINS1;NOLC1;ORC2;SMC6;BRCA2;NAP1L1;CENPM;RAD51AP1;UBE2S;MYC;CKS2;NASP;POLD3;PSIP1;SMC1A;HMGA1;PDS5B;BARD1;POLE;NUP205;PA2G4;PAN2;UBE2T;CIT;XPO1;LIG1;DCK;MCM6;KIF22;PRKDC;RAD50;MYBL2;USP1;PAICS;RAD51C;ORC6;NME1;PRPS1;ANP32E;MCM3;POLD2;DUT;NUDT21;SRSF1;TP53;CTPS1;PMS2;LMNB1;POLA2;PPM1D;MCM2;MCM4;UNG;NAA38;RNASEH2A;BIRC5;AK2;DEK;TIPIN;CDK4;PNN;HNRNPD;MCM7;SSRP1;PRIM2;MAD2L1;CKS1B;ILF3;MSH2;SUV39H1;CSE1L;TIMELESS;DIAPH3;XRCC6;TUBB;ASF1A;CHEK1;ATAD2;RFC3;HMGB2;PHF5A;MRE11;WEE1;PLK4;PRDX4;STMN1;CCP110;MLH1;EXOSC8;GSPT1;CBX5;MMS22L;RFC1;NBN;LUC7L3;RANBP1;SMC3;MCM5;SNRPB;IPO7;DNMT1;RBBP7;RAN;DSCC1;SRSF2;SYNCRIP;SMC4;EIF2S1;PCNA;UBR7;BRCA1;SLBP;TFRC;CDKN1B;RAD21;KPNA2
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,26/200,0.9999999527990083,0.9999999999649811,0.37316389897849406,1.761370650320836e-08,ENO2;ITGA2;SNTB1;MEST;SERPINH1;BMP1;P3H1;FBLN5;CD59;LAMC1;PLOD2;MCM7;GLIPR1;JUN;AREG;FSTL1;PPIB;ACTA2;TIMP3;DST;IGFBP2;SPARC;MMP2;GADD45A;DPYSL3;GPX7
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,44/200,0.9827337836598552,0.9999999999649811,0.7135451202604135,0.012427826632443876,ELF1;CHPT1;MYB;MPPED2;SLC24A3;FLNB;NBL1;SLC26A2;TGIF2;ASB13;GLA;PMAIP1;BCL2;ZNF185;SIAH2;SLC27A2;TPBG;DEPTOR;AKAP1;ISG20L2;SYNGR1;FDFT1;AFF1;FKBP4;IGF1R;SLC22A5;AREG;XBP1;CISH;KRT8;MYBBP1A;CBFA2T3;MYC;SLC37A1;ABLIM1;KRT18;RHOBTB3;SLC16A1;FKBP5;MAST4;SCARB1;RETREG1;AR;OPN3
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,44/200,0.9827337836598552,0.9999999999649811,0.7135451202604135,0.012427826632443876,SORD;CHPT1;PDCD4;MYB;SLC24A3;PLK4;FLNB;ATP2B4;NBL1;SLC26A2;MEST;TSPAN13;RABEP1;RNASEH2A;GLA;TPSAB1;BCL2;MOCS2;DNAJC1;HPRT1;SIAH2;SLC27A2;TPBG;XRCC3;METTL3;MDK;FDFT1;AFF1;FKBP4;SLC22A5;AREG;XBP1;CISH;GINS2;IDH2;SLC29A1;BATF;SLC16A1;DCXR;FABP5;FKBP5;DNAJC12;SCARB1;OPN3
