,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,106/200,6.627128758538222e-07,5.5226072987818515e-06,2.0415940197599585,29.04560297565024,ADIPOR2;JAGN1;BCKDHA;HADH;VEGFB;CAVIN2;UBQLN1;GHITM;DGAT1;QDPR;CD151;UQCR10;FAH;DHRS7;DECR1;ARL4A;SDHC;SCP2;G3BP2;SOD1;SUCLG1;GADD45A;COQ5;DRAM2;GPHN;LTC4S;BAZ2A;TANK;GPX4;EPHX2;ANGPT1;CAT;ACO2;PRDX3;PGM1;PTCD3;SLC25A1;PHYH;YWHAG;UQCRQ;SAMM50;HIBCH;ETFB;PFKL;ACADS;MGST3;MDH2;MGLL;DDT;APLP2;CYC1;NDUFS3;PEMT;NDUFAB1;ESYT1;UQCRC1;ALDH2;CAVIN1;ARAF;CRAT;SQOR;DHCR7;COX6A1;ACAA2;SULT1A1;RTN3;MCCC1;NDUFB7;ATP5PO;BCL2L13;TALDO1;COX7B;CMBL;IDH3G;NDUFA5;DNAJC15;SDHB;MRPL15;CHCHD10;AK2;RAB34;STOM;STAT5A;TKT;PPM1B;CD302;ECH1;ACADM;RIOK3;ECHS1;TOB1;ALDOA;CMPK1;COX8A;PDCD4;GBE1;PIM3;UCP2;UQCR11;RNF11;IMMT;DLD;ELOVL6;UBC;CS;IDH3A
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,71/200,0.6286284515625988,1.0,0.9645400945039935,0.44775387758493373,IL2RG;EIF5A;CCND2;HIF1A;CD74;LYN;HLA-A;MAP4K1;JAK2;CCND3;SRGN;ST8SIA4;EIF3D;HLA-DOA;HLA-DMA;IL27RA;STAT4;CD4;IFNGR2;LY75;HLA-DMB;HLA-DQA1;IL18;SPI1;PSMB10;BCAT1;FLNA;F2R;CTSS;HLA-E;LCP2;ABI1;TAP1;HLA-DRA;CD47;ITGB2;APBB1;ABCE1;PTPRC;TIMP1;IFNAR2;NPM1;NCF4;MRPL3;UBE2D1;NCK1;IL16;DEGS1;CD40;PTPN6;IL1B;CAPG;AKT1;STAT1;HDAC9;TGFB1;EIF3J;TAP2;B2M;WAS;EIF3A;TAPBP;HCLS1;TPD52;RIPK2;GALNT1;NME1;GBP2;CSK;UBE2N;BCL10
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,46/101,0.03442102718282496,0.11473675727608322,1.4800809850858285,4.986522561974419,IQGAP2;ZBTB10;SAT1;FADS1;CCND3;MAP7;INPP4B;LMAN1;XRCC5;DBI;HERC3;INSIG1;UBE2J1;NCOA4;ZMIZ1;ARID5B;ELOVL5;GNAI3;MYL12A;ELL2;XRCC6;RAB4A;PIAS1;SMS;SLC38A2;TNFAIP8;SRP19;TMEM50A;ABHD2;RRP12;AKT1;PA2G4;IDI1;TSC22D1;VAPA;B2M;SPCS3;CDC14B;ADRM1;TPD52;KRT8;GUCY1A1;APPBP2;UBE2I;SELENOP;NGLY1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,6/36,0.9974371146064005,1.0,0.3703514502288477,0.0009503867092738855,PTK2;TIMP1;CCND2;APP;S100A4;LRPAP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,63/200,0.9391037249787654,1.0,0.8001531475380643,0.0502730962697963,GAMT;RHOF;SKAP2;ZYX;NECTIN2;CTNNA1;HADH;ARPC2;MSN;CTNND1;MAP3K20;RAC2;EVL;CRAT;PTK2;CNN2;INSIG1;MYH9;SYMPK;AKT3;RASA1;MYL12B;ADAM15;MAP4K2;ITGA9;LIMA1;FSCN1;MDK;ICAM4;YWHAH;NEGR1;ARHGEF6;TSPAN4;PBX2;CD99;GNAI2;PTPRC;MYL9;PFN1;TIAL1;GTF2F1;SHC1;ACTB;RSU1;RRAS;PKD1;SYK;ACTN4;MYH10;STX4;ACTG1;ICAM2;GNAI1;ITGB1;CD34;CAP1;CLDN15;SORBS3;NF1;VASP;JUP;PECAM1;DLG1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,9/44,0.9930504199494374,1.0,0.4650818820206004,0.003243407026924744,ADIPOR2;AKAP7;IL2RG;FLOT2;APP;LYN;HSPB1;GSTM3;CROCC
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,75/161,0.004260623043869253,0.02130311521934626,1.5535209901340379,8.479645567044647,SAT1;GPX4;EBP;DFFA;BTG2;CCND2;EMP1;APP;HSPB1;RHOB;CASP8;CASP6;SOD2;VDAC2;RARA;CTNNB1;GNA15;BAX;PMAIP1;ROCK1;PSEN1;ETF1;TSPO;CDKN1B;PPT1;IRF1;IL18;PTK2;GADD45B;CYLD;SQSTM1;ADD1;TNFSF10;CD69;BCAP31;F2R;DNAJA1;PLCB2;TAP1;TIMP3;PEA15;GSN;CASP4;RELA;TIMP1;RHOT2;DDIT3;PDCD4;DNM1L;MCL1;LMNA;SPTAN1;TIMP2;ATF3;CLU;IL1B;DAP3;SOD1;DAP;GSTM1;CASP1;BNIP3L;GADD45A;JUN;BCL2L1;TXNIP;ANXA1;IFITM3;BID;KRT18;MGMT;ENO2;CD44;HMGB2;BCL10
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,28/112,0.9965209217036728,1.0,0.582727861644604,0.002030890722090294,IDH2;PEX13;LONP2;FADS1;EPHX2;PEX6;CAT;SLC29A1;ALDH1A1;PHYH;SLC35B2;NEDD4;PXMP2;HSD17B11;GSTK1;SCP2;PNPLA8;SOD1;HSD17B4;IDI1;PEX16;HACL1;OPTN;GNPAT;FADS2;PFKM;PRDX5;ALDH9A1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,28/74,0.4383519554429066,0.8940253757161571,1.0738033215613192,0.885601185177325,EBP;FDPS;FABP5;ECH1;CTNNB1;NFIL3;DHCR7;GSTM2;STX5;ETHE1;CYP51A1;TM7SF2;ATF3;CLU;ACTG1;GUSB;IDI1;PNRC1;GNAI1;FADS2;ANXA5;PMVK;ATXN2;FDFT1;PLSCR1;SREBF2;CD9;S100A11
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,27/138,0.9999958451230587,1.0,0.42160333569349384,1.7517136169176392e-06,RAC1;MSRB2;CSRP1;ARF4;CTSB;GNB2;TIMP3;MAFF;CFH;GSN;DUSP6;TIMP1;CPQ;LTA4H;CLU;ACOX2;WDR1;SIRT2;LAMP2;SERPING1;ANXA1;PEF1;USP11;FYN;ISCU;PECAM1;CD9
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,63/200,0.9391037249787654,1.0,0.8001531475380643,0.0502730962697963,CALM3;USP16;CD46;ZEB1;LYN;CTSD;JAK2;CSRP1;CALM1;CASP10;PSEN1;LAP3;APOBEC3G;CTSB;PPP4C;IRF1;RHOG;CTSS;GNB2;GNB4;LCP2;USP8;GNAI3;L3MBTL4;MAFF;PIK3CG;CFH;CASP4;GNAI2;DUSP6;HSPA5;PFN1;TIMP1;PIM1;GMFB;USP15;CPQ;FDX1;TIMP2;PSMB9;LTA4H;CLU;IRF2;CD55;STX4;LIPA;TNFAIP3;GCA;PRCP;ATOX1;LAMP2;CASP1;CBLB;SERPING1;ANXA5;HSPA1A;WAS;FYN;CD59;PLSCR1;CTSC;CEBPB;KIF2A
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,92/150,2.297108846796744e-10,3.82851474466124e-09,2.875620404738541,63.82209329656666,MPG;NT5C3A;SF3A3;SUPT5H;APRT;AK3;POLR2K;POLR2F;ADA;GTF2F1;EIF1B;EDF1;POLD4;SDCBP;GTF2H3;POLR2A;DAD1;USP11;ADRM1;TSG101;CSTF3;ALYREF;POLR2I;GPX4;HPRT1;NFX1;AAAS;POLR2J;TP53;NME4;POLR2G;VPS37B;ERCC3;GTF2H5;SSRP1;VPS28;DGUOK;COX17;DDB1;POLR2D;PNP;REV3L;GTF2A2;NT5C;NELFCD;POLB;GTF3C5;RALA;POLR2E;GUK1;NELFE;MRPL40;POLE4;SURF1;POLR3GL;UPF3B;BCAP31;GTF2B;GTF2H1;ITPA;NME3;RBX1;HCLS1;NME1;POLR1C;POM121;MPC2;TAF12;SMAD5;ERCC1;TMED2;SEC61A1;RNMT;IMPDH2;SUPT4H1;ERCC5;POLR1D;GMPR2;TAF10;POLR2H;DCTN4;NCBP2;TAF9;SRSF6;NUDT21;POLR3C;PDE6G;DUT;ARL6IP1;RRM2B;XPC;POLR2C
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,77/200,0.28332381888702013,0.6254473280075181,1.1030887953631385,1.3911767590250201,MCM7;TMPO;TBRG4;CNOT9;ILF3;LYAR;NOP56;CDK4;XRCC6;PAICS;HNRNPD;CBX5;LUC7L3;RFC1;DCK;DEK;RBBP7;RAD50;RAD21;HMGB2;TRA2B;TP53;CDKN1B;ANP32E;KIF22;PSIP1;NBN;ING3;SSRP1;SRSF2;DDX39A;SMC3;NUP107;PNN;PA2G4;NAA38;CTCF;SLBP;CKS2;RAN;GSPT1;MRE11;HMGA1;POLD2;PHF5A;STMN1;EIF2S1;POLE4;MLH1;LBR;ASF1A;EXOSC8;USP1;SMC4;UBE2S;AK2;SMC1A;MCM5;NME1;TUBB;PMS2;JPT1;KPNA2;DCTPP1;TACC3;PRPS1;RAD51C;NAP1L1;NASP;NUDT21;RANBP1;DUT;DNMT1;NOLC1;SRSF1;SNRPB;PRDX4
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,35/200,0.9999999993634346,1.0,0.3611245373594643,2.2987936975142938e-10,SAT1;CALU;MCM7;RHOB;GADD45B;WIPF1;FLNA;GLIPR1;EMP3;PPIB;TIMP3;MEST;SNTB1;ABI3BP;MYL9;TIMP1;AREG;TPM4;GPX7;DST;CAPG;DPYSL3;TNFAIP3;SERPINE2;COPA;TGFB1;GADD45A;JUN;ITGB1;PLOD2;CD59;VIM;TPM1;ENO2;CD44
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,49/200,0.9999102828112095,1.0,0.5580141644057645,5.0065708046623864e-05,NXT1;FKBP4;NRIP1;IL6ST;JAK2;BAG1;RARA;NBL1;SYNGR1;MPPED2;PMAIP1;FOS;GLA;NADSYN1;TOB1;DHCR7;RHOBTB3;CHPT1;ELOVL5;MAST4;CBFA2T3;AMFR;KLF10;SVIL;ADD3;SLC37A1;TGIF2;AREG;DEPTOR;SIAH2;FHL2;ITPK1;ABHD2;RRP12;MYB;AFF1;UNC119;FLNB;BLVRB;NCOR2;ABLIM1;FDFT1;KRT18;KRT8;ELF1;TIPARP;XBP1;CD44;DYNLT3
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,52/200,0.9994556211599179,1.0,0.6056513268830935,0.0003297935412822187,DCXR;NXT1;FKBP4;HPRT1;ZFP36;IDH2;NRIP1;FABP5;IL6ST;IMPA2;JAK2;BAG1;NBL1;SNX10;METTL3;FOS;GLA;TOB1;SLC29A1;DHCR7;CHPT1;COX6C;ELOVL5;MDK;AMFR;DYNLT3;ADD3;MEST;RABEP1;PRKAR2B;DNAJC1;AREG;ETFB;PDCD4;SIAH2;PTPN6;ITPK1;ABHD2;ACOX2;MYB;ATP2B4;AFF1;TSPAN13;CD9;JAK1;FLNB;BLVRB;NCOR2;FDFT1;XBP1;CD44;CKB
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,79/158,0.00024447311444049895,0.0015279569652531183,1.7891784889475422,14.879533318704473,ADIPOR2;HSD17B10;HADH;PCBD1;UROD;MIF;ELOVL5;GRHPR;BLVRA;DECR1;BCKDHB;SDHC;HSD17B11;SUCLG2;SUCLG1;SDHD;SERINC1;LTC4S;FH;ACAA1;HSDL2;ACO2;MDH1;GSTZ1;NBN;IDH3B;HIBCH;ACADS;PDHB;MDH2;MGLL;ACSM3;ALDH9A1;OSTC;CBR1;GLUL;PTS;CRAT;ODC1;UROS;ACAA2;NTHL1;SDHA;ADSL;AUH;UBE2L6;ECI1;DLST;RDH11;IDH3G;ACADVL;GCDH;IDI1;APEX1;LDHA;HADHB;ACSS1;ETFDH;RAP1GDS1;ECH1;ACADM;CPT1A;ERP29;ECHS1;ALDH1A1;ALDOA;HSP90AA1;YWHAH;S100A10;PRDX6;SMS;ACOT2;PSME1;HSD17B4;PDHA1;ECI2;SUCLA2;DLD;ENO2
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,78/200,0.23505955737451797,0.5876488934362949,1.127608550838733,1.6326828699137204,SLC7A1;TMPO;DR1;HMGN2;ILF3;CDK4;HNRNPU;CCNT1;CUL3;PML;HNRNPD;SAP30;RAD21;CUL5;TRA2B;NUP98;CDKN1B;CUL1;KIF22;DKC1;CHMP1A;SRSF2;DDX39A;SMAD3;YTHDC1;CBX1;ODF2;CTCF;CKS2;GSPT1;CDC27;HMGA1;HIF1A;NUMA1;MAP3K20;SMARCC1;STMN1;ARID4A;G3BP1;ODC1;SFPQ;TFDP1;DBF4;LBR;SMC4;FOXN3;RAD23B;RBM14;CUL4A;UBE2S;SRSF10;E2F4;SMC1A;MCM5;PRMT5;TOP1;MNAT1;KPNB1;JPT1;NCL;KPNA2;PAFAH1B1;AMD1;TACC3;BUB3;PURA;ATRX;KIF5B;NASP;HSPA8;SNRPD1;SS18;NOLC1;SRSF1;TGFB1;MEIS1;EWSR1;PRPF4B
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,62/200,0.9555594410479195,1.0,0.7810613600626616,0.03550572777271821,G6PD;FKBP4;ZNF292;PKM;GLRX;SLC25A13;B4GALT7;AKR1A1;TPST1;CASP6;PFKP;HAX1;STMN1;PGLS;MIF;ENO1;RBCK1;MDH1;ME2;ALDOA;PPIA;AK3;TXN;GOT2;P4HA1;TPI1;PRPS1;CITED2;B3GALT6;ECD;UGP2;MXI1;PGAM1;GALK1;COPB2;ARPP19;TALDO1;HSPA5;NASP;PAM;SDHC;MPI;GUSB;PYGL;CHST12;SOD1;FAM162A;SAP30;CYB5A;PSMC4;MDH2;CHPF2;B3GAT3;HDLBP;PLOD2;PGK1;DLD;ALDH9A1;ENO2;CD44;LDHA;KIF2A
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,7/36,0.9917381749831687,1.0,0.4422527692513012,0.003668992235109219,PML;MYH9;RASA1;DPYSL2;NF1;ADGRG1;ETS2
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,80/200,0.1538252753628353,0.4272924315634314,1.1779643254898362,2.2050760613180764,GAPVD1;MPP1;CCND3;PGLS;UROD;ADD1;TNRC6B;BLVRA;MXI1;PSMD9;GYPC;TAL1;SDCBP;BLVRB;RBM5;GLRX5;DCAF10;YPEL5;NFE2;CLIC2;ADIPOR1;HDGF;TRIM58;CTSB;CAT;SNCA;CAST;TMEM9B;ATP6V0A1;ISCA1;GMPS;RCL1;MGST3;DCAF11;PDZK1IP1;LMO2;LRP10;HTRA2;HTATIP2;CDC27;MKRN1;BTG2;VEZF1;CCDC28A;CIR1;PICALM;GDE1;HEBP1;NARF;UROS;BSG;TFDP2;RNF19A;ELL2;TCEA1;FBXO7;SLC66A2;NUDT4;FOXO3;OPTN;TOP1;BNIP3L;EIF2AK1;XPO7;ARL2BP;RIOK3;SLC25A38;NCOA4;ALDH6A1;ICAM4;NNT;USP15;UCP2;NEK7;AGPAT4;KLF3;LAMP2;UBAC1;RAD23A;PRDX2
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,70/200,0.6841836229060978,1.0,0.9427888548346358,0.35781565740236193,ZNF292;ZFP36;KLHL24;GLRX;GPI;S100A4;HK1;CASP6;PFKP;GCNT2;TES;TPST2;CAVIN1;MIF;ENO1;CDKN1B;FOS;NFIL3;SLC2A5;MYH9;PGM1;ALDOA;SLC25A1;KLF6;GRHPR;P4HA1;TPI1;MAFF;B3GALT6;UGP2;CITED2;MXI1;LXN;GALK1;WSB1;RORA;HSPA5;KDM3A;DDIT3;PLAC8;PFKL;ILVBL;RBPJ;HEXA;PIM1;PAM;PPP1R15A;GBE1;SIAH2;ATF3;GAPDH;TNFAIP3;PNRC1;FAM162A;SAP30;FOXO3;BTG1;DUSP1;JUN;PRDX5;CDKN1C;HDLBP;FOSL2;PGK1;IDS;TPD52;TIPARP;ENO2;BNIP3L;LDHA
