,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,1/200,0.867045182853547,0.867045182853547,0.7328615656789031,0.1045531013137332,ATP1B3
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,3/200,0.312540507976658,0.745288903636646,1.8135021097046413,2.10914138655827,PRKCB;ELANE;EIF4G3
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,1/101,0.6347330568411831,0.867045182853547,1.48955223880597,0.6770770894023664,ABCC4
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,4/200,0.1307136989529804,0.5065155834427991,2.403420620349792,4.890350137041967,PIK3CB;PTEN;EXOC4;MAPK14
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,1/44,0.3532862888673245,0.7822767824919328,3.48762677484787,3.628793819011071,ADAM10
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,4/161,0.07138890232142237,0.5065155834427991,3.026763110307414,7.989482804077583,DNAJC3;CFLAR;SATB1;DPYD
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,1/112,0.673149373139906,0.867045182853547,1.339118965972039,0.5300072478242941,ATXN1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1/74,0.5207708789716168,0.867045182853547,2.049699879951981,1.3373166546322879,ALCAM
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,2/200,0.5909922066441079,0.867045182853547,1.2574732178082608,0.6613711176915873,GRB2;DOCK10
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,4/200,0.1307136989529804,0.5065155834427991,2.403420620349792,4.890350137041967,SYNCRIP;STAG1;PRKDC;IPO7
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,4/200,0.1307136989529804,0.5065155834427991,2.403420620349792,4.890350137041967,SYNCRIP;MAPK14;WRN;STAG1
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,2/200,0.5909922066441079,0.867045182853547,1.2574732178082608,0.6613711176915873,EPB41;NR3C1
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,1/200,0.867045182853547,0.867045182853547,0.7328615656789031,0.1045531013137332,NR3C1
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,2/199,0.5882076896574335,0.867045182853547,1.2641451883483301,0.6708504750513699,ALCAM;HUWE1
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL6_JAK_STAT3_SIGNALING,1/87,0.5794150893060458,0.867045182853547,1.7363481808908534,0.9475879730353532,GRB2
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INTERFERON_GAMMA_RESPONSE,3/200,0.312540507976658,0.745288903636646,1.8135021097046413,2.10914138655827,LATS2;RNF213;AUTS2
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_KRAS_SIGNALING_DN,1/200,0.867045182853547,0.867045182853547,0.7328615656789031,0.1045531013137332,CDKAL1
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_KRAS_SIGNALING_UP,3/200,0.312540507976658,0.745288903636646,1.8135021097046413,2.10914138655827,DOCK2;SATB1;LCP1
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MITOTIC_SPINDLE,4/199,0.12898535727010163,0.5065155834427991,2.416297063679627,4.948712642850444,TUBGCP3;EPB41;SSH2;DOCK2
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MTORC1_SIGNALING,1/200,0.867045182853547,0.867045182853547,0.7328615656789031,0.1045531013137332,TXNRD1
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MYC_TARGETS_V1,1/200,0.867045182853547,0.867045182853547,0.7328615656789031,0.1045531013137332,SYNCRIP
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MYOGENESIS,1/200,0.867045182853547,0.867045182853547,0.7328615656789031,0.1045531013137332,IGFBP7
22,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_PEROXISOME,1/104,0.6456269956888909,0.867045182853547,1.4453537936913896,0.6323904844228021,ATXN1
23,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_PI3K_AKT_MTOR_SIGNALING,4/105,0.018734206818472373,0.2903802056863218,4.7595560266882835,18.930678056993237,GRB2;PTEN;PRKCB;PLCB1
24,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_PROTEIN_SECRETION,2/96,0.24236677128346934,0.745288903636646,2.707656020909033,3.837569316431448,AP3B1;ADAM10
25,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,2/49,0.08272563970316515,0.5065155834427991,5.446417247939125,13.573700996388494,MPO;TXNRD1
