,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,96/200,2.8929148072057074e-05,0.00012053811696690448,1.8222866224175003,19.044099530378848,HIBCH;PDCD4;BCL2L13;UQCR10;COQ9;LPCAT3;CS;ESRRA;G3BP2;NDUFS3;SLC25A10;MAP4K3;UBQLN1;DHRS7B;COX8A;ACO2;SLC1A5;UQCRC1;ECHS1;PHYH;AIFM1;MIGA2;UQCRQ;SDHC;DECR1;SORBS1;SLC66A3;NMT1;GPX4;AGPAT3;DDT;MGLL;RMDN3;SULT1A1;GRPEL1;ACAA2;PTCD3;IDH3A;COQ5;IFNGR1;SLC5A6;MDH2;DLAT;UCP2;ACADM;PFKL;MRPL15;ELOVL6;ALDOA;CPT2;QDPR;TST;YWHAG;NDUFAB1;AK2;PREB;DNAJC15;CD36;SDHB;SAMM50;COQ3;ADIPOR2;CYC1;GBE1;PEMT;PEX14;GPD2;ARAF;HADH;RTN3;COX6A1;TALDO1;RIOK3;PLIN2;DLD;ABCB8;REEP5;IMMT;NDUFB7;ECH1;COX7B;RREB1;STAT5A;ATL2;PRDX3;IDH1;CDKN2C;ATP1B3;BCKDHA;CAVIN2;ESYT1;ACLY;UQCR11;SOD1;ACOX1;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,37/200,0.9999998575343464,1.0,0.42516820614519374,6.057187069632494e-08,EIF3J;LYN;FLNA;IL1B;JAK2;EIF5A;IL7;UBE2N;AKT1;PTPN6;ABI1;ELF4;MAP3K7;FYB1;STAT1;GALNT1;MRPL3;CSF1;TIMP1;TAP1;NME1;SRGN;IFNGR1;IL2RG;F2R;ABCE1;EIF3A;BRCA1;EIF4G3;LCP2;CD7;TRAF2;TGFB1;CCND2;RIPK2;NCK1;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,42/101,0.07384975563881997,0.2307804863713124,1.379453594643468,3.5944733781010885,SORD;ELOVL5;PA2G4;SRP19;SLC26A2;GSR;PDLIM5;CENPN;AKT1;TNFAIP8;UBE2I;SAT1;RAB4A;TMEM50A;ACTN1;XRCC5;GNAI3;LMAN1;B4GALT1;FADS1;APPBP2;SLC38A2;CAMKK2;SPCS3;VAPA;NGLY1;NCOA4;RRP12;STK39;MAP7;CDK6;HOMER2;INSIG1;MYL12A;XRCC6;HMGCR;FKBP5;ADRM1;ABCC4;ACSL3;ABHD2;SMS
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,4/36,0.9996850435870791,1.0,0.26311847538923233,8.288390427566227e-05,CCND2;LRPAP1;S100A4;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,49/200,0.9991454539666189,1.0,0.613367868240932,0.0005243751620900939,RSU1;NF1;PIK3CB;PKD1;TIAL1;SKAP2;PBX2;VCL;ARPC2;ADAM9;AKT2;ACTN4;TAOK2;KCNH2;MPZL1;VASP;ACTN1;ICAM2;ACTB;B4GALT1;STX4;EXOC4;FYB1;EPB41L2;ICAM4;RAC2;FBN1;DHX16;PTEN;LIMA1;TSPAN4;RASA1;MYH10;MYL12B;CTNNA1;DLG1;INSIG1;NECTIN1;HADH;CDK8;ITGB1;IKBKG;INPPL1;PFN1;CAP1;MSN;YWHAH;TUBG1;HRAS
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,10/44,0.9664690710241313,1.0,0.5802681183680005,0.019790613916377285,FLOT2;BRCA1;LYN;ADAM10;AKAP7;ADIPOR2;B4GALT1;DCBLD2;IL2RG;NCOA6
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,40/161,0.9967134901059804,1.0,0.6287438788292905,0.002069776014315496,HMGB2;PDCD4;IL1B;WEE1;ROCK1;GSR;MADD;CDK2;PPP3R1;SOD1;CASP3;SAT1;GPX4;DNAJC3;TSPO;CD38;CTNNB1;SQSTM1;TIMP1;TAP1;SOD2;TOP2A;BID;DNM1L;IFNGR1;ETF1;SLC20A1;TIMP3;BCL2L1;F2R;BRCA1;PSEN1;CASP2;CASP6;DNAJA1;CCND2;CREBBP;LMNA;DAP3;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,21/112,0.999923329730539,1.0,0.4422875256867461,3.3911603796159244e-05,NEDD4;ABCD3;FADS2;ISOC1;HACL1;KLF1;SLC27A2;PEX7;FADS1;IDH1;SLC27A5;CYP7B1;PXMP2;IDH2;SLC29A1;PHYH;ACSL5;SLC35B2;GNPAT;SOD1;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,22/74,0.8301705124442127,1.0,0.8185236970252158,0.15234703768603244,TP53INP1;FDPS;TMEM97;ATXN2;SREBF2;FADS2;CYP51A1;ECH1;CTNNB1;PDK3;ACAT2;CHKA;PMVK;FASN;GUSB;NSDHL;ATF5;PCYT2;HMGCR;FABP5;STX5;NIBAN1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,20/138,0.9999999718697088,1.0,0.32226076148462907,9.065289192823614e-09,APOC1;DUSP14;USP11;SIRT2;ADAM9;PLEK;ARF4;GP1BA;GNB2;PREP;TIMP1;RABIF;GP9;FBN1;TIMP3;P2RY1;FURIN;APOC2;CPQ;WDR1
