,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,7/200,0.8397280578816564,0.9994051471374382,0.7743195197295565,0.13525595026249174,CHCHD10;TKT;APLP2;STOM;MGST3;PIM3;ALDH2
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,18/200,0.0054923570555727675,0.03687725451598858,2.149202427237382,11.185304339858073,HLA-DMA;HLA-DQA1;CAPG;HLA-E;PTPRC;GBP2;HLA-DRA;HLA-DOA;CD74;BCL3;WAS;NPM1;HDAC9;IL18;HLA-DMB;LTB;IL16;SPI1
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,5/101,0.5186826352265593,0.929571703408289,1.154746139703519,0.7580482024924119,DBI;KRT8;GUCY1A1;SELENOP;INPP4B
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,1/36,0.8244383165719392,0.9994051471374382,0.8519584661252184,0.16447309764556137,APP
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,14/200,0.0855810746653889,0.3094085007133291,1.6125134918700603,3.9640275828449836,MDK;SORBS3;ZYX;MYL9;PTPRC;MMP2;ACTG1;NEGR1;PECAM1;CD34;EVL;CD99;JUP;CLDN15
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,3/44,0.3420127724491269,0.7654571573861413,1.7147212930345461,1.8397368149017306,CROCC;APP;HSPB1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,24/161,3.019971407140226e-07,9.746481693221087e-06,3.94587297633873,59.238792355324996,DPYD;CD69;CASP1;SPTAN1;PMAIP1;CD44;IFITM3;JUN;RHOB;TIMP2;GNA15;BTG2;HSPB1;EMP1;ATF3;KRT18;ANXA1;MMP2;GSN;CASP4;APP;CDKN1B;IL18;GADD45B
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,3/112,0.9042794755660247,0.9994051471374382,0.6391908720675844,0.06431334779488225,OPTN;HSD17B11;GSTK1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,6/74,0.13277784589393174,0.40022161883026625,1.9453737917978775,3.927861189296867,PNRC1;ATF3;ANXA5;ETHE1;ACTG1;GSTM2
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,9/138,0.1991903005494974,0.5201080069903543,1.5041395826205952,2.4269211348731035,CFH;SPARC;ANXA1;MMP2;GSN;ISCU;LTA4H;SERPING1;PECAM1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,13/200,0.14476101106626652,0.40022161883026625,1.4852093023255815,2.870421089936373,ANXA5;CFH;TNFAIP3;CTSD;CASP4;CASP1;TIMP2;ZEB1;LTA4H;SERPING1;SPOCK2;WAS;PSMB9
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,3/150,0.9757043394236543,0.9994051471374382,0.4700870361887311,0.011562105322049366,GMPR2;MPG;NME3
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,2/200,0.9994051471374382,0.9994051471374382,0.24514543674133016,0.00014586885434490733,NAP1L1;CDKN1B
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,13/200,0.14476101106626652,0.40022161883026625,1.4852093023255815,2.870421089936373,CAPG;GLIPR1;RHOB;SPARC;TNFAIP3;MYL9;CD44;MMP2;JUN;AREG;DPYSL3;PRSS2;GADD45B
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,15/200,0.04736422874776681,0.222611875114504,1.742499630523671,5.3144287182873295,SYNGR1;SLC37A1;BHLHE40;PMAIP1;ABLIM1;KRT18;CD44;MPPED2;SVIL;KLF10;AREG;NRIP1;KRT8;XBP1;NBL1
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,7/200,0.8397280578816564,0.9994051471374382,0.7743195197295565,0.13525595026249174,MDK;CD44;AREG;NRIP1;XBP1;NBL1;ZFP36
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,6/158,0.761661660618985,0.9994051471374382,0.8559666407751114,0.23303934618717204,ERP29;HSD17B11;PCBD1;PRDX6;PSME1;APEX1
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,2/200,0.9994051471374382,0.9994051471374382,0.24514543674133016,0.00014586885434490733,BCL3;CDKN1B
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,8/200,0.7326896726741774,0.9994051471374382,0.8867872681474697,0.27582013346516115,PYGL;AKR1A1;PKM;DDIT4;CD44;ENO1;RBCK1;CXCR4
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,6/200,0.9166825876590434,0.9994051471374382,0.6641301630243158,0.05777534523661233,YPEL5;OPTN;HEBP1;MGST3;GYPC;BTG2
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,16/200,0.024577685607101923,0.13526610601811828,1.8752320594072083,6.949453124323911,PNRC1;BHLHE40;JUN;ATF3;TNFAIP3;DDIT4;ENO1;PLAC8;ZFP36;KLF6;DUSP1;SLC2A5;IDS;CDKN1B;CXCR4;RORA
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,21/199,0.00034881522299975407,0.004098578870247111,2.5975899793879815,20.679331282188354,HOPX;SELL;KLF6;LTB;CD79B;GBP4;CD44;GADD45B;PRKCH;IFITM3;SERPINB6;RORA;BHLHE40;RHOB;RHOH;NFKBIZ;XBP1;SOCS2;EMP1;CD81;CAPG
