,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,8/200,0.4964128675608528,0.864126102791114,1.114415991531979,0.7804782354594239,TKT;ATP5PO;CAVIN1;UBC;CMBL;TALDO1;LTC4S;ALDH2
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,11/200,0.1389239815564898,0.4080891958221888,1.5621317238065533,3.083379946509785,HLA-DMA;HLA-DQA1;EIF3D;IL1B;HLA-DRA;TGFB1;CD74;WAS;NPM1;IL18;HLA-E
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,3/101,0.7476880874027552,0.9996484077791595,0.8898369154336322,0.25873733124971005,KRT8;GUCY1A1;INPP4B
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,2/36,0.4012226397038302,0.7857276694200009,1.8317351898069092,1.6728116366132653,PTK2;S100A4
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,9/200,0.35190890614986503,0.7518053904110753,1.260240011201621,1.3161731506417473,MDK;ITGA9;ICAM4;MMP2;RAC2;CD34;PTK2;JUP;MYL12B
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,1/44,0.8204778721516024,0.9996484077791595,0.8645542093817956,0.17106790413419778,HSPB1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,18/161,3.0835534623436564e-05,0.0014492701273015186,3.513605164718632,36.49526454750103,CLU;JUN;RHOB;CASP4;IL1B;MMP2;GSN;TSPO;TXNIP;SOD2;VDAC2;PTK2;BTG2;IFITM3;IL18;SQSTM1;BNIP3L;HSPB1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,3/112,0.8076796024613749,0.9996484077791595,0.7983095307490528,0.17051079752503204,OPTN;ALDH1A1;HSD17B11
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,4/74,0.3110159717131389,0.7308875335258763,1.6191684559828226,1.8910446702371246,GSTM2;PNRC1;CLU;TM7SF2
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,8/138,0.15431895736796927,0.42664652919379736,1.66918891651353,3.119269524381823,CLU;CFH;MMP2;GSN;ISCU;CSRP1;LTA4H;SERPING1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,10/200,0.23016090885575807,0.6009757064567016,1.4094488188976377,2.0704473492873037,CLU;CFH;CASP4;LIPA;CSRP1;PIM1;LTA4H;SERPING1;WAS;HSPA1A
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,10/150,0.05858689722419299,0.2503258335942791,1.9347568208778174,5.489377576683156,NME3;VPS28;VPS37B;EIF1B;GMPR2;SUPT4H1;MPG;POLD4;POLR1D;APRT
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6/200,0.7829835741115023,0.9996484077791595,0.8325785733045755,0.2036849872832675,JUN;RHOB;EMP3;MMP2;VIM;TGFB1
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,4/200,0.9521764994555663,0.9996484077791595,0.5632747391273899,0.027603201302425908,KRT8;NBL1;KLF10;NRIP1
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,5/200,0.8868172899456135,0.9996484077791595,0.6963997639189455,0.08364896604317704,MDK;CKB;NRIP1;NBL1;ZFP36
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,7/158,0.39666458603583904,0.7857276694200009,1.2542796335708337,1.1597875076247464,ERP29;UROD;HSD17B11;PCBD1;PRDX6;LTC4S;ALDH1A1
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,1/200,0.9996484077791595,0.9996484077791595,0.18146718146718147,6.381366819385406e-05,TGFB1
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,2/200,0.9967257646293164,0.9996484077791595,0.3058817262398502,0.0010031719755717575,TALDO1;AKR1A1
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,1/36,0.7543567862704942,0.9996484077791595,1.0614135262022586,0.299201680109995,ADGRG1
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,11/200,0.1389239815564898,0.4080891958221888,1.5621317238065533,3.083379946509785,YPEL5;OPTN;CLIC2;ICAM4;UROD;HEBP1;LRP10;NFE2;BTG2;BNIP3L;LMO2
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,12/200,0.07749946360629616,0.3035395657913266,1.718380854094348,4.394731993657503,PNRC1;JUN;CAVIN1;PPP1R15A;PIM1;DUSP1;S100A4;IDS;BTG1;CDKN1C;BNIP3L;ZFP36
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,11/199,0.1355456330692293,0.4080891958221888,1.5708087219599833,3.139177852215546,HOPX;RHOB;RHOH;NFKBIZ;PIM1;GUCY1B1;SOCS2;CD81;IFITM3;CDKN1C;SERPINB6
