,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,41/200,0.3546855261146808,0.9999999999997639,1.0933074340845284,1.1332390930837277,CHCHD10;MRPL15;ELOVL6;QDPR;PLIN2;UQCR10;VEGFB;COQ9;NDUFAB1;SCP2;PGM1;NMT1;DDT;DRAM2;AK2;ECH1;COX7B;CMBL;JAGN1;STAT5A;MAP4K3;PRDX3;ACAA2;SAMM50;ADIPOR2;IDH3G;LIPE;PEMT;COX8A;CAVIN2;UQCRC1;ECHS1;TANK;CMPK1;HADH;PHYH;RAB34;NDUFA5;ETFB;TALDO1;UCP2
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,36/200,0.7079895163428671,0.9999999999997639,0.9252268370846952,0.31950487610310546,EIF3J;HLA-DQA1;HCLS1;PSMB10;ACVR2A;APBB1;HLA-DRA;HLA-DOA;CD74;EIF5A;HLA-DMB;HLA-E;EIF3D;CD96;TAP2;CTSS;MAP4K1;GALNT1;MRPL3;GLMN;TAP1;HLA-DMA;PTPRC;NME1;NPM1;DEGS1;F2R;ABCE1;BRCA1;CD47;CCND2;UBE2D1;HLA-A;NCF4;CAPG;B2M
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,16/101,0.8447307748825542,0.9999999999997639,0.8036864312680435,0.13561188810162153,SPCS3;ANKH;DBI;TMEM50A;ELOVL5;XRCC5;XRCC6;PA2G4;ADRM1;STK39;APPBP2;FADS1;HSD17B14;CENPN;B2M;PLPP1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.9799265089185865,0.9999999999997639,0.43483768103104653,0.008817508492038655,CCND2;PTK2;FSTL1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,25/200,0.9965022144048428,0.9999999999997639,0.5958061844716324,0.002087655507414396,NF1;ACTG1;TIAL1;GAMT;ARPC2;ADAM9;MAP3K20;SGCE;ICAM2;TRO;PECAM1;EPB41L2;MDK;ITGA9;SORBS3;PTPRC;RAC2;JUP;MYH10;MYL12B;HADH;RRAS;PTK2;TUBG1;AKT3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,5/44,0.9452305478626308,0.9999999999997639,0.5799064751993614,0.032664052928855256,CROCC;BRCA1;GSTM3;AKAP7;ADIPOR2
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,25/161,0.9110173182293257,0.9999999999997639,0.7749161259216104,0.07221704661504205,DPYD;HMGB2;ANKH;WEE1;ENO2;MGMT;EBP;DAP;DDIT3;CDK2;GSTM1;TAP1;IGF2R;TXNIP;TOP2A;BID;TIMP3;TNFSF10;BNIP3L;BCL2L1;F2R;BRCA1;BAX;CCND2;PTK2
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,20/112,0.6873963690023243,0.9999999999997639,0.9255488074385713,0.3469365993233629,PEX19;ALDH1A1;SCP2;SLC23A2;FADS2;SLC27A2;ABCA5;FADS1;CYP7B1;LONP2;OPTN;PEX16;PXMP2;LIPE;IDH2;PHYH;HSD17B11;ACSL5;ATXN1;PFKM
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,14/74,0.578559305349976,0.9999999999997639,1.0029221311679082,0.5488132536057448,PLSCR1;ANXA5;ALCAM;FDPS;ACAT2;ACTG1;ECH1;TM7SF2;EBP;FABP5;GSTM2;TMEM97;SREBF2;FADS2
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,10/138,0.999984451990433,0.9999999999997639,0.3336453625243627,5.1875616167625564e-06,MSRB2;ISCU;CAPN2;USP11;PECAM1;ADAM9;PEF1;TIMP3;CPQ;RAC1
