,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,19/200,0.23188258435804263,0.5164657560701859,1.2612928789765652,1.8434099868712523,DGAT1;CD151;DNAJC15;ALDOA;ATP1B3;LTC4S;NDUFB7;RREB1;ESRRA;CAT;RMDN3;ALDH2;UQCR11;ANGPT1;UBQLN1;SLC19A1;GRPEL1;PFKL;AGPAT3
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,23/200,0.04210047552072711,0.1473516643225449,1.575064563033052,4.989326099319553,MAP3K7;CSK;IFNAR2;PRKCB;IL18;FYB1;GCNT1;AKT1;WAS;INHBA;SPI1;ELF4;ITGAL;CD7;NCF4;LYN;TPD52;TGFB1;STAB1;GBP2;TIMP1;IKBKB;ITGB2
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,13/101,0.05358322749064724,0.17503854313611433,1.801094474424261,5.270937524080608,MAF;HPGD;ZMIZ1;B4GALT1;SAT1;TPD52;SELENOP;INPP4B;NCOA4;IDI1;PTK2B;AKT1;ABHD2
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.5512763245699309,0.9321884954804078,1.2144574659359226,0.7232326159358486,S100A4;TIMP1;FGFR1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,30/200,0.0003993263459858972,0.009783495476654481,2.1790241762301705,17.05245827821979,EVL;ACTN4;CD34;FYB1;VASP;TSPAN4;MYL9;PFN1;ADAM15;ACTB;GNAI2;YWHAH;RHOF;B4GALT1;CD99;NRXN2;NECTIN2;VCL;ARPC2;SKAP2;ARHGEF6;CNN2;MSN;PTEN;MAP4K2;GNAI1;SHC1;ZYX;FSCN1;MYH9
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,3/44,0.6886785253284217,0.9490544086812767,0.9783866962771259,0.3649193532609392,LYN;B4GALT1;ADAM10
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,21/161,0.014742379556558473,0.09029707478392066,1.8266909364389923,7.70320859807943,CD44;IL18;TSPO;SAT1;BID;GADD45B;ATF3;CASP3;BCAP31;IRF1;CFLAR;BIK;GNA15;RHOB;CDKN1A;KRT18;PMAIP1;PLCB2;TIMP1;PPP3R1;TIMP2
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,5/112,0.9494255373298149,0.9999474473507276,0.5871397046341877,0.030471479045679598,PRDX5;ABCD3;CAT;IDI1;GSTK1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,10/74,0.06454930506384321,0.19768224675801985,1.9165891472868217,5.2520789328779545,ETHE1;GNAI1;ANTXR2;ATF3;NIBAN1;CHKA;STX5;IDI1;ATXN2;TP53INP1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,4/138,0.9963418287978373,0.9999474473507276,0.3802048668041103,0.0013934047079050696,GP9;PLEK;TIMP1;CFD
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,20/200,0.16193113528842015,0.4408125349518104,1.337738681778774,2.4354658073628417,FCER1G;HSPA5;RHOG;PFN1;GNAI2;WAS;CASP3;IRF1;PLEK;CTSC;LYN;PLA2G4A;CTSD;SPOCK2;PRKCD;GP9;TIMP1;DOCK4;DUSP5;TIMP2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,10/150,0.7614776735274218,0.9819054211274649,0.8630288651640965,0.2351705553618329,TARBP2;GTF3C5;VPS28;ADA;PDE4B;MPG;RALA;BCAP31;SDCBP;PNP
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,4/200,0.9999474473507276,0.9999474473507276,0.2561085369512317,1.3459535788294434e-05,JPT1;CDKN1A;GSPT1;MYC
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,19/200,0.23188258435804263,0.5164657560701859,1.2612928789765652,1.8434099868712523,ANPEP;CD44;SAT1;MYL9;NT5E;GADD45B;INHBA;LOXL1;IGFBP2;RHOB;TPM4;TGFB1;LOX;LGALS1;TIMP1;CTHRC1;PRSS2;CXCL8;ID2
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,21/200,0.10809554249135829,0.3115695048280327,1.4154982147960773,3.149115201463055,FKBP4;PPIF;BAG1;CD44;NCOR2;BCL2;TIPARP;ABHD2;KDM4B;IGF1R;B4GALT1;MED13L;TMEM164;KRT18;FOXC1;PMAIP1;SLC7A5;SYNGR1;ELF1;NBL1;MYC
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,16/200,0.5216123011525546,0.9321884954804078,1.039583563256447,0.6765928827446476,TPSAB1;CKB;FKBP4;PPIF;SLC7A5;BAG1;CD44;NCOR2;TSPAN13;ID2;FOXC1;BCL2;NBL1;DUSP2;ZFP36;ABHD2
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,12/158,0.6046496768911109,0.9321884954804078,0.9896847962645534,0.4979163938715753,HPGD;LGALS1;EPHX1;ALDOA;YWHAH;LTC4S;NTHL1;APEX1;IDI1;ACADVL;D2HGDH;MIF
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,13/200,0.8123685371379097,0.9999474473507276,0.8288071748878924,0.17222710753762893,JPT1;KIF5B;SLC7A5;SFPQ;HSPA8;SLC38A1;CCNT1;CUL4A;TGFB1;FOXN3;GSPT1;MYC;PML
