,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,12/200,0.8551490798523296,0.9986691500465733,0.7862826828344069,0.1230370918537408,STAT5A;ARL4A;CHCHD10;CAVIN1;EPHX2;CAVIN2;RAB34;GPHN;VEGFB;CMPK1;DNAJB9;MGLL
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,20/200,0.1324322976919021,0.7357349871772338,1.3834492987545532,2.796896931594778,HLA-E;HLA-DRA;SRGN;HLA-DMA;HLA-DOA;CD74;EIF4G3;HCLS1;APBB1;EIF3D;CCND2;HLA-DMB;NME1;PTPRC;MAP4K1;STAT4;NPM1;HLA-DQA1;LCP2;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,8/101,0.5192138679141571,0.9986691500465733,1.0910470409711683,0.7151152220417815,ELL2;HSD17B14;TSC22D1;FADS1;IQGAP2;XRCC6;DNAJB9;XRCC5
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,2/36,0.7767047132940201,0.9986691500465733,0.8668653750620964,0.21905257647926563,CCND2;PTK2
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,18/200,0.27399819619373467,0.9986691500465733,1.2264325680108046,1.5877810018209335,SORBS3;CLDN15;AKT3;RAC2;JUP;PECAM1;PTPRC;MMP2;ITGA9;MYH10;MDK;ICAM2;SYMPK;MAP3K20;RRAS;CTNNA1;PTK2;NEGR1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,2/44,0.8631951609999879,0.9986691500465733,0.7022880687297274,0.1033167376779585,HSPB1;GSTM3
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,19/161,0.03831696258303119,0.3831696258303119,1.6779806659505907,5.473342366974004,CDKN1B;PPT1;HSPB1;TIMP3;ENO2;MMP2;CLU;DPYD;PTK2;CCND2;BNIP3L;SOD2;BAX;MGMT;JUN;DDIT3;EMP1;HMGB2;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,6/112,0.8719231117657839,0.9986691500465733,0.7256743072815981,0.09945659085022263,PFKM;FADS1;EPHX2;ALDH1A1;HSD17B11;OPTN
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,5/74,0.6831638591847817,0.9986691500465733,0.9469032292962622,0.3607895771281534,PNRC1;CLU;GSTM2;PLSCR1;ANXA5
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,14/138,0.1720397299164084,0.860198649582042,1.4125311136353762,2.4860969112773312,CFH;ISCU;CTSB;SERPING1;PECAM1;PEF1;MMP2;CLU;RAC1;USP11;CSRP1;CAPN2;TIMP3;CPQ
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,17/200,0.3679336749604906,0.9986691500465733,1.149919021284012,1.1497495095849988,CFH;ANXA5;HSPA1A;CTSB;SERPING1;CD46;L3MBTL4;CLU;PIM1;PLSCR1;LCP2;LIPA;CD59;CSRP1;DOCK10;CPQ;GNG2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,25/150,0.00015089377362283434,0.0037723443405708584,2.550406374501992,22.440858521972704,NME3;RNMT;NELFE;USP11;EIF1B;DUT;POLR2C;HCLS1;POLR3GL;SF3A3;NME1;GTF2H5;POLR2K;NUDT21;IMPDH2;POLR2G;TAF9;APRT;EDF1;AK3;POLR2I;VPS37B;ARL6IP1;HPRT1;GTF2B
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,21/200,0.08592117042527106,0.7160097535439255,1.4640061254934058,3.5931468720835644,CDKN1B;PRPS1;SRSF1;RBBP7;RAD51C;STMN1;DUT;DEK;SMC4;LUC7L3;NME1;NUDT21;RAN;ANP32E;NAP1L1;TUBB;SNRPB;PSIP1;XRCC6;HNRNPD;HMGB2
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14/200,0.6853188032779514,0.9986691500465733,0.928049028098338,0.3506829467686994,EMP3;JUN;SERPINE2;ENO2;MMP2;DST;TPM1;CD59;AREG;ABI3BP;PLOD2;VIM;TIMP3;SNTB1
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,12/200,0.8551490798523296,0.9986691500465733,0.7862826828344069,0.1230370918537408,SVIL;ABLIM1;XBP1;AMFR;FHL2;CHPT1;TPBG;DEPTOR;KLF10;MPPED2;NRIP1;AREG
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,9/200,0.9762268611918528,0.9986691500465733,0.582388497442684,0.014012430220123068,SNX10;AMFR;XBP1;TPBG;CHPT1;MDK;NRIP1;AREG;HPRT1
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,13/158,0.44143216218743264,0.9986691500465733,1.1158324464282878,0.9124506971943108,SDHA;BLVRA;ENO2;PRDX6;HSP90AA1;UROD;PCBD1;PSME1;ALDH1A1;HSD17B11;MGLL;LDHA;ACSM3
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,15/200,0.580799142974782,0.9986691500465733,1.0007522096157462,0.5437590043806821,CDC27;CDKN1B;SMC4;KPNB1;HMGN2;MEIS1;STMN1;SAP30;EWSR1;SRSF1;CBX1;HNRNPD;MAP3K20;RASAL2;CHMP1A
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,14/200,0.6853188032779514,0.9986691500465733,0.928049028098338,0.3506829467686994,TPI1;AK3;PLOD2;LDHA;MPI;ENO2;TPBG;STMN1;GOT2;SAP30;PRPS1;PKM;AKR1A1;PAM
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,1/36,0.9445081336555754,0.9986691500465733,0.5038402779231107,0.028764735471096474,ADGRG1
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,23/200,0.03153654510590594,0.3831696258303119,1.6293557849481628,5.632044637889042,CDC27;PDZK1IP1;BLVRA;SNCA;TCEA1;XPO7;HTATIP2;LMO2;TAL1;ATP6V0A1;CAST;ELL2;YPEL5;HBD;CTSB;TRIM58;BNIP3L;MBOAT2;ARL2BP;HEBP1;UROD;OPTN;TFDP2
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,20/200,0.1324322976919021,0.7357349871772338,1.3834492987545532,2.796896931594778,TPI1;CDKN1B;SAP30;PAM;RORA;ENO2;IDS;PNRC1;GCNT2;TPBG;DUSP1;GAPDH;LDHA;BNIP3L;CAVIN1;WSB1;JUN;DDIT3;NEDD4L;PIM1
22,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,15/199,0.572669505284862,0.9986691500465733,1.006436839562194,0.5610347020145935,RORA;GUCY1B1;CCND2;ARL4A;XBP1;SELP;PIM1;EMP1;ABCB1;PLSCR1;GSTO1;SCN9A;SWAP70;SOCS2;GBP4
23,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL6_JAK_STAT3_SIGNALING,5/87,0.8103941487645443,0.9986691500465733,0.7950877192982456,0.16715490590013277,JUN;STAT3;LEPR;PIM1;TNFRSF1A
24,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INFLAMMATORY_RESPONSE,6/200,0.9986691500465733,0.9986691500465733,0.38847724179646154,0.0005173492526765145,CD70;TPBG;BST2;LCP2;EREG;EMP3
25,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INTERFERON_ALPHA_RESPONSE,5/97,0.8776133619275991,0.9986691500465733,0.7073440357650884,0.09234315881002066,CD74;BST2;PSME1;PLSCR1;GBP4
26,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INTERFERON_GAMMA_RESPONSE,20/200,0.1324322976919021,0.7357349871772338,1.3834492987545532,2.796896931594778,SELP;PSME1;PLSCR1;CFH;HLA-DMA;CD74;P2RY14;ARL4A;HLA-DRB1;VAMP5;SOD2;BST2;STAT4;SERPING1;STAT3;HLA-DQA1;PIM1;LCP2;CIITA;GBP4
27,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_KRAS_SIGNALING_DN,7/200,0.9959639037252856,0.9986691500465733,0.4520400145422135,0.0018281688382058357,THRB;OXT;PRKN;NUDT11;PLAG1;PDK2;NR4A2
28,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_KRAS_SIGNALING_UP,12/200,0.8551490798523296,0.9986691500465733,0.7862826828344069,0.1230370918537408,CFH;PRKG2;GNG11;MAP4K1;CCND2;MYCN;CD37;JUP;PECAM1;EMP1;ABCB1;EREG
29,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MITOTIC_SPINDLE,11/199,0.9095413375492798,0.9986691500465733,0.7211645090400965,0.06837709119602976,CDC27;EZR;RASAL2;CDC42BPA;SMC4;TUBA4A;RABGAP1;MYH10;LATS1;DST;CD2AP
30,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MTORC1_SIGNALING,16/200,0.4724039737758553,0.9986691500465733,1.0747006536939396,0.8059403555006934,TPI1;PRDX1;SERP1;XBP1;FADS1;DDIT3;SSR1;TUBA4A;PHGDH;ATP5MC1;M6PR;GAPDH;HPRT1;PLOD2;TCEA1;LDHA
