,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,51/200,0.24605274745274586,0.9463567209720994,1.142527696757802,1.6020630138806162,MRPL15;RIOK3;ELOVL6;ALDOA;QDPR;PLIN2;UQCR10;NDUFAB1;CS;PGM1;IMMT;NDUFB7;GPX4;DDT;DRAM2;AK2;NDUFS3;ECH1;COX7B;JAGN1;GRPEL1;DNAJC15;MAP4K3;ACAA2;CD302;PTCD3;SAMM50;ATP1B3;ADIPOR2;DHCR7;IFNGR1;LIPE;COX8A;ACO2;SLC1A5;UQCRC1;ECHS1;CCNG2;CAVIN2;ESYT1;SLC5A6;ARAF;PHYH;HADH;RTN3;RAB34;SLC19A1;UQCR11;ETFB;TALDO1;PFKL
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,45/200,0.6314968503266198,0.9999999999998828,0.9627003053920736,0.44251706047213724,EIF3J;HLA-DQA1;LYN;HCLS1;PSMB10;ACVR2A;HLA-DRA;HLA-DOA;EIF5A;HLA-DMB;HLA-E;PTPN6;SPI1;CD96;TAP2;GBP2;CTSS;ELF4;MAP3K7;WAS;STAT1;GALNT1;FYB1;MRPL3;GLMN;IRF7;CSK;TAP1;HLA-DMA;NME1;IFNGR1;DEGS1;IL2RG;HIF1A;IL27RA;ITGB2;BRCA1;CD7;TGFB1;CD47;UBE2D1;HLA-A;NCF4;CAPG;B2M
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,27/101,0.2342935447813791,0.9463567209720994,1.2225607387616826,1.774156285733031,PTK2B;DBI;ELOVL5;PA2G4;PLPP1;CENPN;PDLIM5;ITGAV;IDI1;INPP4B;UBE2I;TMEM50A;GNAI3;APPBP2;SLC38A2;SPCS3;NGLY1;STK39;MAP7;HOMER2;HPGD;HERC3;XRCC6;ADRM1;SMS;SEC24D;B2M
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.995076234749301,0.9999999999998828,0.3420807510359749,0.0016884855878685455,FSTL1;PTK2;ITGAV
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,34/200,0.9892188183545192,0.9999999999998828,0.6718218471893079,0.007282360514650297,ADAM15;RSU1;ACTG1;TIAL1;SKAP2;PBX2;ARPC2;EVL;GNAI1;MAP3K20;FSCN1;VASP;ACTB;PECAM1;FYB1;EPB41L2;ARHGEF6;RAC2;DHX16;PTEN;MYL12B;MAP4K2;HADH;IKBKG;PFN1;CDK8;CERCAM;INPPL1;THBS3;YWHAH;GNAI2;PTK2;TUBG1;AKT3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,6/44,0.9624253595046621,0.9999999999998828,0.5535898305735664,0.021201806491956247,CROCC;BRCA1;LYN;ADAM10;ADIPOR2;IL2RG
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,26/161,0.9906653038535205,0.9999999999998828,0.6350926405191654,0.0059562401235618515,HMGB2;WEE1;MGMT;EBP;DAP;CDK2;PPP3R1;PMAIP1;GPX4;DNAJC3;CD38;GSTM1;NEDD9;TAP1;TXNIP;TOP2A;BID;IFNGR1;TNFSF10;BCL2L1;BRCA1;BAX;PAK1;PTK2;DAP3;SPTAN1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,18/112,0.9774541635871478,0.9999999999998828,0.6386599638469963,0.01456392498030531,PEX16;IDH2;SLC29A1;PEX19;PHYH;CYP7B1;HSD17B11;PXMP2;ACSL5;PRDX5;ABCA5;LIPE;ATXN1;GSTK1;PEX13;SLC23A2;SLC27A5;IDI1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,16/74,0.6762403442292491,0.9999999999998828,0.9284246531633291,0.36320597013414985,FDPS;ACAT2;CHKA;ACTG1;ETHE1;ECH1;TM7SF2;EBP;DHCR7;FABP5;STX5;TMEM97;SREBF2;GNAI1;NIBAN1;IDI1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,6/138,0.9999999999062135,0.9999999999998828,0.15630899132391643,1.465967854475232e-11,MSRB2;RABIF;GP9;PECAM1;SIRT2;F12
