,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,33/200,0.002288642000035502,0.019072016666962517,1.864118372379778,11.333460636348757,DECR1;ARL4A;PDCD4;ABCA1;DNAJB9;CD151;DLD;YWHAG;PIM3;SLC66A3;GPHN;ANGPT1;ACADS;RNF11;UBQLN1;APLP2;CAVIN1;CYC1;SSPN;EPHX2;CMPK1;MDH2;SQOR;UBC;STOM;UQCRQ;MGST3;GADD45A;COX6A1;SCARB1;LTC4S;DGAT1;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,22/200,0.34767886545584153,0.599446319751451,1.140506622817194,1.204917904117762,IL1B;CD74;STAT4;BCAT1;UBE2N;GCNT1;EIF3D;ST8SIA4;BCL3;TIMP1;PTPRC;CD40;SRGN;NPM1;CCND3;TPD52;EIF4G3;LCP2;CFP;RIPK2;CD4;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,16/101,0.040976636945450486,0.12805199045453278,1.763791134641337,5.634877380860595,BMPR1B;TNFAIP8;ZMIZ1;TPD52;PMEPA1;ELL2;FKBP5;DNAJB9;KRT8;GUCY1A1;CDK6;SELENOP;CCND3;CAMKK2;TSC22D1;IQGAP2
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,3/36,0.7126689695400739,0.9630661750541539,0.9388590914543242,0.3180274806817688,S100A4;APP;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,17/200,0.7973070250514757,0.9998842709653885,0.8515228795562753,0.192883086937373,MDK;VWF;ITGB1;PTPRC;SYK;MMP2;NEGR1;MYH9;NECTIN2;CD99;CD34;LIMA1;RASA1;RHOF;ACTN4;CLDN15;CTNNA1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,7/44,0.14406770131709637,0.32865953766415545,1.812050984936269,3.510797940526015,FLOT2;EPHB4;MAL;PLAUR;APP;GATA3;HSPB1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,34/161,1.4034207669392097e-05,0.0001754275958674012,2.5550352650330836,28.549996765263746,DPYD;CLU;CD69;PDCD4;IL1B;CASP1;DDIT3;CD44;TSPO;PPT1;IFITM3;SQSTM1;TIMP1;JUN;RHOB;SOD2;GNA15;DNM1L;BTG2;HSPB1;EMP1;ATF3;KRT18;ANXA1;MMP2;CASP4;GADD45A;CDKN1A;APP;CDKN1B;MCL1;LMNA;DIABLO;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,9/112,0.8019286251929281,0.9998842709653885,0.8213853880199985,0.1813090548520539,EPHX2;ISOC1;ABCA1;HSD17B4;PEX1;ALDH9A1;PNPLA8;ALDH1A1;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,11/74,0.11538922340251755,0.28847305850629384,1.6451719850808122,3.552657288727692,NFIL3;FDFT1;CLU;ANXA5;ATF3;PNRC1;CYP51A1;CD9;GSTM2;PLAUR;S100A11
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,17/138,0.21274494346183895,0.4254898869236779,1.3072311800399319,2.0231510804715493,DUSP6;VWF;CLU;CTSB;CFH;CD9;ANXA1;MMP2;GNB2;CAPN2;CSRP1;LTA4H;SERPING1;PLEK;MAFF;WDR1;TIMP1
