,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,79/200,1.698800412813125e-08,2.8313340213552085e-07,2.383209054867402,42.63741737321811,PDCD4;UQCR10;APOE;LPCAT3;SCP2;ESRRA;G3BP2;BCL6;ACO2;SLC1A5;UQCRC1;ECHS1;FZD4;AIFM1;MIGA2;UQCRQ;SDHC;SORBS1;NMT1;GPX4;AGPAT3;MGLL;RMDN3;GRPEL1;ACADS;RNF11;LIPE;SLC25A1;SLC5A6;DLAT;UCP2;PFKL;DGAT1;SLC27A1;ELOVL6;ALDOA;QDPR;TST;ITSN1;NDUFAB1;PREB;CD36;SAMM50;CAVIN1;ADIPOR2;IDH3G;FAH;TANK;EPHX2;ARAF;CMPK1;ENPP2;RTN3;UBC;COX6A1;TALDO1;ARL4A;RIOK3;PLIN2;CD151;ABCB8;REEP5;VEGFB;CRAT;IMMT;NDUFB7;PHLDB1;COX7B;STAT5A;PRDX3;CDKN2C;CAVIN2;STOM;SCARB1;ADCY6;PTGER3;SOD1;ACOX1;GHITM
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,36/200,0.9479863845760201,0.9999990221415972,0.7612670379303631,0.040663184717080074,LYN;HCLS1;FLNA;STAT4;ACHE;CDKN2A;EIF5A;UBE2N;AKT1;FCGR2B;PTPN6;SPI1;NCR1;CD80;MAP3K7;STAT1;STAB1;IRF7;TIMP1;CSK;PTPRC;CD40;PRKCB;SRGN;CCL5;HDAC9;DEGS1;IL2RG;CD4;CCND3;IL4R;CD79A;TGFB1;CD47;NCF4;B2M
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,23/101,0.4989395135987549,0.9999990221415972,1.0400325954998253,0.7231038847295551,SRF;ANKH;SRP19;CCND1;GSR;PDLIM5;AKT1;SAT1;TMEM50A;ACTN1;ELL2;LMAN1;NGLY1;NCOA4;RRP12;MAP7;CCND3;MYL12A;ADRM1;ABCC4;ABHD2;SMS;B2M
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,5/36,0.9300881787773683,0.9999990221415972,0.6038173342120036,0.04376219352572647,PTK2;S100A4;TNFRSF21;POSTN;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,40/200,0.8165440138546542,0.9999990221415972,0.8705003800921164,0.17642819664769047,RSU1;PIK3CB;MVD;ACTG1;SHC1;PBX2;KCNH2;NEXN;MAP3K20;CRAT;CDH1;ACTN1;VASP;ICAM2;ACTB;STX4;ITGB4;ICAM4;ICAM5;PTPRC;RAC2;DHX16;LIMA1;RHOF;MYH10;MYL12B;SYMPK;CTNNA1;IKBKG;RRAS;ITGB1;PFN1;MAPK14;INPPL1;MSN;YWHAH;GNAI2;PTK2;PIK3R3;TUBG1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,9/44,0.6769379978892298,0.9999990221415972,0.9281494422013294,0.3621412598239536,FLOT2;LYN;GSTM3;MAL;ADIPOR2;IL2RG;GATA3;HSPB1;PKHD1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,41/161,0.19121474870662505,0.6829098168093751,1.2040195301199763,1.9918795148914454,CLU;PDCD4;ANKH;CASP9;MGMT;ROCK1;RHOT2;PPP2R5B;CCND1;GSR;TNFRSF12A;SOD1;SAT1;GPX4;PLCB2;DNAJC3;ADD1;TSPO;CASP8;SQSTM1;TIMP1;JUN;LEF1;RHOB;TXNIP;TIMP3;BNIP3L;HSPB1;CTH;BCL2L1;ATF3;BAX;CASP4;CDKN1A;CASP6;HMOX1;DNAJA1;PTK2;CFLAR;DAP3;BCAP31
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,23/112,0.7153387236665381,0.9999990221415972,0.9091908922502443,0.3045781388815258,ABCD1;SLC22A18;EFHC1;FADS2;ALDH1A1;SCP2;MLYCD;PEX7;PECR;SLC27A5;CYP7B1;PEX16;PAOX;PEX26;LIPE;EPHX2;GCLM;ACSL5;PRDX5;SLC35B2;PNPLA8;SOD1;SLCO1A2
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,17/74,0.49461943385004425,0.9999990221415972,1.0573994269082376,0.7443739138869361,FASN;CLU;ANXA5;ATF3;TP53INP1;MVD;ACAT2;ACTG1;ETHE1;LDLR;PMVK;TM7SF2;PCYT2;STX5;TNFRSF12A;ATXN2;FADS2
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,23/138,0.9621275120116517,0.9999990221415972,0.6989996948221491,0.02698718169149038,CLU;CASP9;DUSP14;USP11;PROS1;MMP14;ARF4;CAPN5;SERPINE1;GP1BA;F8;TIMP1;CTSB;MSRB2;RABIF;GP9;CRIP2;TIMP3;P2RY1;CFH;CPQ;WDR1;S100A13
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,51/200,0.1571061347023912,0.6042543642399661,1.2065194902858911,2.2330669140103954,CA2;KYNU;CLU;LYN;ANXA5;CASP9;EHD1;RHOG;PIK3CA;MMP14;GCA;GP1BA;FDX1;SERPINE1;CR2;CALM3;ADRA2B;CALM1;USP14;F8;STX4;ITGAM;GATA3;CD36;IRF7;ATOX1;TIMP1;RCE1;CTSB;PPP2CB;RABIF;GP9;MSRB1;PIM1;CCL5;HSPA1A;XPNPEP1;FCER1G;CD55;PRKCD;CR1;CFH;PFN1;CASP4;CTSL;ZFPM2;PPP4C;HSPA5;GNAI2;CPQ;S100A13
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,51/150,0.000592895501846649,0.005928955018466489,1.8406529689869466,13.676957886010369,GTF2A2;HCLS1;SURF1;NME3;COX17;ELL;DGUOK;EIF1B;USP11;RAD52;POLR2A;POLR2J;ITPA;BRF2;GTF2B;SNAPC5;ERCC1;POLR2K;GPX4;TAF10;POLR2H;POLE4;TAF12;GUK1;MPG;NCBP2;POLD4;RBX1;VPS37B;NME4;POLR2F;MPC2;EDF1;APRT;ERCC2;DAD1;TARBP2;PNP;NELFCD;POLR2G;MRPL40;GTF2H5;NUDT21;ARL6IP1;NUDT9;ZWINT;ADRM1;POLR3GL;ADCY6;BCAP31;SEC61A1
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,27/200,0.9995668209365132,0.9999990221415972,0.5371760947457342,0.00023274385117141866,NCAPD2;CHEK2;EED;CDKN2A;NOP56;TRIP13;NAA38;GSPT1;EZH2;POLE4;TK1;DNMT1;CDKN2C;TBRG4;CDCA3;JPT1;CENPM;SPC24;CKS1B;UBE2S;ANP32E;ILF3;CCNE1;NUDT21;CDKN1A;DDX39A;TUBG1
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,31/200,0.9947346945170492,0.9999990221415972,0.6332676257182401,0.0033431566163531173,COLGALT1;FUCA1;FLNA;TPM1;SERPINH1;MMP14;TNFRSF12A;CALU;TPM4;SERPINE1;FERMT2;SAT1;CTHRC1;PLOD2;TIMP1;JUN;RHOB;EMP3;ID2;PPIB;IGFBP3;TIMP3;POSTN;EFEMP2;PMP22;TGM2;ITGB1;TGFB1;PLOD1;SERPINE2;GPX7
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,32/200,0.9910739401367313,0.9999990221415972,0.6581452207061282,0.005901019420993145,RBBP8;ELF1;ABAT;TMEM164;FHL2;FOS;AQP3;DLC1;TIPARP;CCND1;ITPK1;GAB2;SIAH2;UGCG;BLVRB;SLC2A1;AFF1;FKBP4;FARP1;NADSYN1;RRP12;MYBBP1A;KAZN;AMFR;FASN;ALDH3B1;TGM2;RHOBTB3;MAST4;ABHD2;SCARB1;ENDOD1
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,31/200,0.9947346945170492,0.9999990221415972,0.6332676257182401,0.0033431566163531173,RBBP8;CA2;PDCD4;ATP2B4;TST;FOS;CCND1;ITPK1;PTPN6;RABEP1;GALE;NMU;CDH1;PRKAR2B;SIAH2;BLVRB;SLC2A8;AFF1;FKBP4;FARP1;IGSF1;ID2;AMFR;JAK1;ALDH3B1;DCXR;SCARB1;ABHD2;PTGER3;ZFP36;COX6C
