,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,41/200,0.8106197573571827,0.9999963346974021,0.8746604243001432,0.18364037140240969,CHCHD10;TKT;ABCA1;DHRS7;YWHAG;BAZ2A;PIM3;SLC66A3;CS;PGM1;GPHN;DDT;ECH1;CMBL;POR;RREB1;SULT1A1;JAGN1;ANGPT1;MAP4K3;ATL2;ACAA2;SDHB;CD302;APLP2;ATP1B3;DHRS7B;GBE1;PEMT;PEX14;GPD2;PFKFB3;ESYT1;HADH;RAB34;PHYH;UQCR11;SLC19A1;MGST3;ETFB;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,45/200,0.5712009213124853,0.9999963346974021,0.9889756545705098,0.5538404644233017,ETS1;HLA-DQA1;IL1B;APBB1;IFNGR2;HLA-DRA;CD74;JAK2;HLA-DMB;HLA-E;IL7;GCNT1;EIF3D;NLRP3;ST8SIA4;CTSS;ABI1;BCL3;MAP4K1;ELF4;WAS;GALNT1;TAP1;HLA-DMA;IFNAR2;NPM1;FAS;HIF1A;F2R;ABCE1;CD40LG;IL27RA;ITGB2;TAPBP;TPD52;EIF4G3;EIF3A;BRCA1;LY75;CCND2;UBE2D1;HLA-A;IL18;CAPG;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,34/101,0.007724711239647702,0.06437259366373085,1.7543829395872852,8.532144649787266,SORD;ELOVL5;PA2G4;SGK1;HMGCS1;PLPP1;INPP4B;TNFAIP8;UBE2I;RAB4A;XRCC5;MERTK;SLC38A2;IQGAP2;ZMIZ1;UBE2J1;PMEPA1;SPCS3;VAPA;KRT8;STK39;GUCY1A1;ARID5B;CDK6;SELENOP;TSC22D1;HOMER2;HPGD;TPD52;XRCC6;ZBTB10;DHCR24;MAF;SCD
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,4/36,0.9779271824294389,0.9999963346974021,0.4658226870971477,0.010397193731882333,CCND2;LRPAP1;APP;VAV2
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,43/200,0.701225853885277,0.9999963346974021,0.9309710307099341,0.33042513112423083,NF1;PKD1;SKAP2;GAMT;VCL;CNN2;ARPC2;EVL;ADAM9;CTNND1;NRXN2;ACTN4;NLGN2;GNAI1;VAV2;SGCE;FSCN1;GTF2F1;PECAM1;EPB41L2;MDK;ITGA9;SORBS3;ARHGEF6;JAM3;SYK;CDH4;NEGR1;NECTIN2;FBN1;CD99;RASA1;JUP;SIRPA;MAP4K2;VWF;DLG1;NECTIN1;HADH;CDK8;CAP1;CD34;AKT3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,6/44,0.956505212241834,0.9999963346974021,0.5681181563534504,0.025263669491664018,BRCA1;ADAM10;AKAP7;APP;DCBLD2;NCOA6
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,47/161,0.03318371196279847,0.20739819976749044,1.4229235888006264,4.846045355359872,DPYD;IL1B;EBP;BTG3;DAP;DDIT3;DIABLO;CDK2;PPP3R1;PMAIP1;CASP3;CD44;PPT1;GADD45B;CTNNB1;RARA;GSTM1;CYLD;NEDD9;TAP1;IGF2R;TIMP2;SOD2;GNA15;BID;DNM1L;TNFSF10;SLC20A1;FAS;F2R;BIRC3;BIK;BRCA1;KRT18;ANXA1;GSN;VDAC2;CASP2;CCND2;APP;CREBBP;CDKN1B;MCL1;IL18;SC5D;SPTAN1;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,21/112,0.8768072901382403,0.9999963346974021,0.790079135948139,0.10387016203762589,NEDD4;ABCA1;RXRA;CYP39A1;AMACR;SLC23A2;ISOC1;KLF1;ABCA2;SLC27A2;ACSL1;HSD3B7;PXMP2;ALDH9A1;IDH2;PHYH;HSD17B11;DHCR24;ATXN1;APOA1;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,23/74,0.06167459613565136,0.23720998513712063,1.5561244506244878,4.335180909413771,EBP;HMGCS1;TMEM97;GNAI1;SCD;SQLE;CYP51A1;ABCA2;ECH1;CTNNB1;S100A11;FDFT1;PDK3;CHKA;ANTXR2;FBXO6;GUSB;PNRC1;ALCAM;ATF5;FABP5;SC5D;NIBAN1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,19/138,0.9975538491339107,0.9999963346974021,0.5429078112444236,0.0013296613526485558,APOC1;SIRT2;ADAM9;PLEK;KLF7;FYN;CFD;LTA4H;PECAM1;CTSH;FBN1;RAC1;VWF;SPARC;ANXA1;GSN;CAPN2;SERPING1;APOA1
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,39/200,0.8918575936158343,0.9999963346974021,0.8199794245639794,0.0938456673651102,CTSD;APOC1;PLA2G4A;DOCK10;JAK2;PLEK;CEBPB;ADAM9;PRCP;KIF2A;PSMB9;RNF4;GNB4;SH2B3;FYN;CASP3;PIK3R5;SIRT6;AKAP10;CTSS;CD59;LTA4H;WAS;PIK3CG;CTSC;TIMP2;ZEB1;CTSH;PRDM4;CBLB;GPD2;LAP3;CD40LG;USP15;LIPA;SERPING1;DYRK2;GRB2;CD46
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,36/150,0.3936245077729919,0.8557054516804171,1.0809343031323784,1.0078175829235834,UPF3B;RFC3;SUPT5H;POLA2;RFC5;AK3;PRIM1;ALYREF;POLD1;RFC2;ERCC5;GTF2F1;ADA;HPRT1;FEN1;REV3L;POLB;POLR1C;AK1;SSRP1;POM121;UMPS;RAE1;DCTN4;POLR2D;POLR3C;DUT;TAF6;DDB2;POLA1;NFX1;RFC4;SUPT4H1;SF3A3;TMED2;GTF3C5
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,76/200,5.227610477249455e-07,1.3069026193123637e-05,2.1670522001472627,31.34454936826795,RAD21;TACC3;RAD1;RFC3;POLE;PHF5A;POLA2;NUP205;BUB1B;PLK4;STMN1;PA2G4;MCM2;HELLS;MCM4;CCP110;HMGB3;POLD1;TMPO;RFC2;LBR;MCM6;RNASEH2A;NUP107;IPO7;CBX5;MMS22L;DEK;RFC1;KIF22;DCTPP1;PRKDC;SMC3;CDK4;USP1;PNN;MCM5;MCM7;SPC25;CTCF;PMS2;SNRPB;AURKA;PAICS;PSMC3IP;RAD51C;SSRP1;ORC2;PRIM2;DSCC1;ORC6;SRSF2;SMC4;BRCA2;NAP1L1;HMGA1;RAD51AP1;CDK1;PRPS1;MYC;PDS5B;MCM3;BRCA1;DUT;TIMELESS;ASF1B;XRCC6;PSIP1;SHMT1;TUBB;CDKN1B;LMNB1;BARD1;MKI67;KPNA2;E2F8
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,27/200,0.9997484080374971,0.9999963346974021,0.5228837981732037,0.00013156991260373133,GREM1;VIM;SNTB1;SDC4;CD44;WIPF1;PTX3;CD59;GADD45B;QSOX1;MCM7;CDH2;PMEPA1;BASP1;AREG;NOTCH2;FBN1;ITGA5;DST;FAS;ELN;MATN2;IGFBP2;SPARC;COL5A1;CAPG;ANPEP
