,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,22/200,0.9907057161619384,0.9999999999893092,0.623801759509774,0.005824901884691725,ALDOA;PIM3;IFNGR1;ABCA1;MGLL;RREB1;TALDO1;RNF11;ACO2;BCKDHA;ALDH2;PFKFB3;BCL6;ARL4A;G3BP2;ANGPT1;UBC;DDT;BAZ2A;NABP1;DHRS7;CD302
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,62/200,1.5679825468949064e-07,1.9207786199462603e-06,2.3950633741318192,37.52658549973875,FAS;CSK;PRF1;TRAT1;HLA-E;HLA-DRA;IFNGR1;PRKCB;IL18;IRF7;PTPN6;CD3D;SRGN;UBE2D1;CCND3;IL2RG;ZAP70;HLA-DMA;LY86;WAS;LCK;GPR65;CD74;SPI1;HCLS1;ELF4;BCL3;ITGAL;CDKN2A;CD7;CD79A;HLA-DMB;LTB;NCF4;NLRP3;LYN;PTPRC;ABI1;HLA-A;CAPG;B2M;TGFB1;ICAM1;TLR2;CTSS;TIMP1;CD96;HDAC9;LY75;STAT4;ETS1;CD47;PSMB10;STAT1;CFP;CD3E;HIF1A;DEGS1;IFNGR2;TAPBP;ITGB2;CCL5
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,28/101,0.0029018947354088297,0.009502671147179335,1.9938117182356814,11.648628432443845,SLC38A2;RRP12;SAT1;CCND3;PLPP1;CDK6;PIAS1;NDRG1;B4GALT1;HERC3;ADRM1;MYL12A;GUCY1A1;PTK2B;UBE2J1;IQGAP2;INSIG1;B2M;ELOVL5;HPGD;HMGCS1;ZMIZ1;VAPA;SGK1;DBI;KRT8;IDI1;XRCC6
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,6/36,0.5614854014047082,0.9698241080686824,1.0750521195274496,0.6204872990542574,JAG1;TIMP1;NRP1;THBD;APP;LRPAP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,40/200,0.10708137674130863,0.22812988957930969,1.2881858524714207,2.878021295140548,AKT2;ACTG1;EVL;ACTN4;CERCAM;CD34;JAM3;PECAM1;ITGA9;VASP;MVD;SYK;CLDN5;ADAM15;PFN1;ACTB;GNAI2;MYL12B;YWHAH;B4GALT1;CD99;NECTIN2;CAP1;VCL;BAIAP2;ARPC2;RAC2;PTPRC;INSIG1;ICAM1;ARHGEF6;NEGR1;CNN2;MSN;PTEN;MAP4K2;GNAI1;JUP;ZYX;MYH9
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,9/44,0.29733093038469466,0.5827686235540015,1.3537147518748218,1.641933505539177,IL2RG;CRYBG1;PLAUR;SCUBE1;LYN;B4GALT1;ADAM10;APP;GHRL
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,51/161,1.0076271177749156e-06,9.59926283014721e-06,2.452619503637687,33.86555520671686,FAS;CASP8;BTG2;DNAJA1;MCL1;DAP;CYLD;RARA;PRF1;CD44;IFNGR1;IL18;TSPO;CTNNB1;SAT1;DNAJC3;NEDD9;CASP1;GADD45B;ATF3;DPYD;ROCK1;BCAP31;IRF1;HGF;IGFBP6;CASP4;BIK;GNA15;RHOB;SOD2;SATB1;TXNIP;CDKN1A;CD69;BAX;ADD1;KRT18;PMAIP1;PLCB2;SMAD7;GSN;TIMP1;JUN;DDIT3;ANXA1;EMP1;SPTAN1;APP;TIMP2;RELA
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,8/112,0.9990923034641235,0.9999999999893092,0.403070870079856,0.0003660321806984096,PNPLA8;IDH2;PRDX5;LCK;ABCA1;IDI1;ATXN1;GSTK1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,26/74,7.021085220964947e-05,0.00031275743257025673,2.821006167881329,26.98012462391121,GUSB;S100A11;CYP51A1;ACTG1;CHKA;NFIL3;PLSCR1;MVD;ALCAM;FDFT1;CTNNB1;JAG1;CXCL16;ATF3;PNRC1;TP53INP1;CD9;ETHE1;ANTXR2;LDLR;PLAUR;HMGCS1;GNAI1;SREBF2;GSTM2;IDI1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,19/138,0.8431158162620865,0.9999999999893092,0.8177473371887465,0.1395493555174673,KLF7;PECAM1;FYN;DUSP6;SPARC;DUSP14;CD9;PLEK;MAFF;APOC2;GSN;TIMP1;LAMP2;PLAU;SERPING1;ANXA1;CRIP2;THBD;FURIN
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,48/200,0.003490777156106695,0.009502671147179335,1.6464944649446493,9.315257939692,FCER1G;ITGAM;KYNU;HSPA5;XPNPEP1;IRF7;RHOG;FYN;PLSCR1;DUSP6;DOCK10;GNG2;PFN1;GNAI2;CASP1;PSMB9;WAS;LCK;IRF1;FDX1;GRB2;APOBEC3G;PLEK;CASP4;LYN;CTSD;CEBPB;PIK3CG;GNB4;SH2B3;SPOCK2;MAFF;CTSS;PRKCD;PLAUR;TIMP1;DOCK4;LAMP2;SERPING1;TNFAIP3;CALM3;PPP4C;PIM1;PIK3R5;ZEB1;DUSP5;TIMP2;CCL5
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,13/150,0.998447323804943,0.9999999999893092,0.4853971291866029,0.0007542502725054815,POLD4;GTF3C5;RNMT;ADA;TAF13;PDE4B;MPG;RALA;BCAM;HCLS1;ADRM1;ERCC1;BCAP31
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,5/200,0.9999999999893092,0.9999999999893092,0.13527654672888073,1.4462120157854831e-12,JPT1;PHF5A;CDKN1A;XRCC6;CDKN2A
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,32/200,0.6135621908189623,0.9698241080686824,0.9710666447020767,0.47434046778781697,FAS;ITGA5;EDIL3;ANPEP;CD44;ELN;AREG;VIM;SAT1;WIPF1;NT5E;SPARC;GADD45B;GLIPR1;ECM1;IGFBP2;RHOB;TPM4;PVR;CAPG;TGFB1;PLAUR;LGALS1;TIMP1;JUN;CTHRC1;QSOX1;PRSS2;CCN2;TNFAIP3;CXCL8;ID2
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,34/200,0.45919395095084903,0.8333519850589484,1.046823396064177,0.8147244418411557,SVIL;FKBP4;RARA;CBFA2T3;CD44;KLF10;NCOR2;BHLHE40;RRP12;BCL2;AREG;TIPARP;FDFT1;SLC24A3;SH3BP5;ADD3;ABLIM1;B4GALT1;MREG;XBP1;MED13L;KLF4;NXT1;KRT18;ELOVL5;PMAIP1;FOS;GAB2;RAB31;SLC7A5;KRT8;SLC37A1;ELF1;NBL1
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,32/200,0.6135621908189623,0.9698241080686824,0.9710666447020767,0.47434046778781697,SNX10;FKBP4;LLGL2;IDH2;CD44;NCOR2;PTPN6;AREG;BCL2;FDFT1;DUSP2;ZFP36;SLC24A3;ADD3;IMPA2;TSPAN13;CD9;XBP1;KLF4;NXT1;ELOVL5;TPSAB1;FOS;ST14;RAB31;SGK1;SLC7A5;JAK1;DNAJC1;ID2;ATP2B4;NBL1
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,20/158,0.9298919292799264,0.9999999999893092,0.7388133975698931,0.05370205899255257,GABARAPL1;ALDOA;UBE2L6;PSME1;ACADVL;PTS;YWHAH;ACO2;LDHA;ERP29;RAP1GDS1;ELOVL5;CPT1A;HPGD;HMGCS1;LGALS1;S100A10;IDI1;MGLL;MIF
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,13/200,0.999995628747734,0.9999999999893092,0.3509052631578947,1.533898779277554e-06,JPT1;KIF5B;PAFAH1B1;SLC7A5;NUP50;HSPA8;HIF1A;SLC38A1;TGFB1;ARID4A;BCL3;TLE3;FOXN3
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,27/200,0.9024550927961954,0.9999999999893092,0.7911457033288707,0.08120030626962238,GUSB;FKBP4;ALDOA;HSPA5;CD44;PKM;TALDO1;NT5E;CXCR4;PFKP;B4GALT1;DDIT4;ENO1;LDHA;CHST12;ERO1A;PGK1;BIK;SLC16A3;PGAM1;AKR1A1;HK2;QSOX1;TXN;G6PD;MIF;NDST3
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,4/36,0.8691562159478219,0.9999999999893092,0.6961458499920038,0.09762220655600344,NRP1;TLE3;CDK6;MYH9
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,16/200,0.9998981656754384,0.9999999999893092,0.4380790319531102,4.461375396783745e-05,YPEL5;BTG2;SEC14L1;RNF19A;MAP2K3;TSPAN5;LAMP2;NR3C1;GYPC;CDR2;KLF3;BCAM;ADD1;TMEM9B;FOXJ2;CCND3
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,56/200,2.1007008569791392e-05,0.00010293434199197781,2.0531331805225714,22.11358799541759,JMJD6;ALDOA;HSPA5;KLF7;KLF6;XPNPEP1;BHLHE40;NFIL3;BCL2;NAGK;TIPARP;CSRP2;ZFP36;FOSL2;RORA;CXCR4;SLC2A5;NDRG1;PFKP;IDS;PNRC1;ATF3;PRDX5;DUSP1;DDIT4;ENO1;GAPDH;PPP1R15A;AMPD3;SLC2A3;BTG1;LDHA;PFKFB3;ERO1A;PGK1;HEXA;KLHL24;CDKN1A;MAFF;WSB1;HK2;FOS;PLAUR;ANXA2;JUN;NR3C1;DDIT3;CCN2;TNFAIP3;ETS1;SLC6A6;PIM1;TPST2;MIF;MYH9;CDKN1C
