,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,100/200,2.852574414842407e-05,0.00012966247340192758,1.8172332547963648,19.016807338020502,RIOK3;STAT5A;SDHB;APLP2;SOD1;SLC25A10;CRAT;DECR1;DLAT;COQ5;SUCLG1;GHITM;IDH3A;CPT2;CAVIN1;MCCC1;BCL2L13;CYC1;REEP5;UQCR10;MAP4K3;ABCB8;ADIPOR2;CDKN2C;PTCD3;STOM;UCK1;LPCAT3;MRPL15;COQ3;PDCD4;NDUFB7;GPX4;IMMT;RTN3;ECHS1;SORBS1;QDPR;EPHX2;CAT;PRDX3;DHRS7B;PLIN2;ITSN1;ECH1;ACLY;ELOVL6;HIBCH;REEP6;SLC25A1;PTGER3;MIGA2;NDUFAB1;ACOX1;ACADS;PREB;CS;PHYH;PEMT;GPAM;ETFB;TKT;AK2;COQ9;SULT1A1;DBT;VEGFB;NDUFS3;COX7B;NDUFA5;PEX14;DLD;UQCRC1;SLC19A1;APOE;HADH;AGPAT3;CD151;DNAJC15;IDH1;GPD2;NMT1;ACADM;ACAA2;ATP5PO;CD36;UQCRQ;AIFM1;TST;SDHC;UBQLN1;CMBL;CAVIN2;ESYT1;GPHN;UCP2;GRPEL1;PFKL;JAGN1;SCARB1
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,32/200,0.9999999999680633,0.9999999999999969,0.3267198887550749,1.0434347075348252e-11,MAP3K7;EIF5A;UBE2N;JAK2;ABCE1;MRPL3;CD4;AKT1;EIF3J;BCAT1;EIF4G3;EIF3A;APBB1;EIF3D;RIPK2;NCK1;BRCA1;CCND2;NME1;TPD52;F2R;CD40LG;GLMN;CD40;TRAF2;CSF1;IL7;NPM1;HLA-DQA1;IL1B;DYRK3;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,33/101,0.7991390617448788,0.9999999999999969,0.8604464191262033,0.19292955734768918,SMS;UBE2I;ANKH;ELK4;FADS1;SELENOP;NCOA4;CENPN;XRCC5;CAMKK2;AKT1;ABCC4;PDLIM5;SCD;ACTN1;TNFAIP8;ACSL3;UAP1;FKBP5;LMAN1;ELL2;PGM3;PA2G4;GPD1L;TPD52;MAF;TSC22D1;SORD;ZBTB10;GSR;STK39;MAP7;RAB4A
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,5/36,0.999296993468535,0.9999999999999969,0.3058455481739253,0.00021508703064090535,S100A4;CCND2;TNFRSF21;FSTL1;VEGFA
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,43/200,0.9999984510073171,0.9999999999999969,0.4731496488384657,7.329059115997343e-07,PIK3R3;ADAM9;FBN1;ITGB1;ICAM5;DHX16;LIMA1;CDK8;ITGB4;GTF2F1;CRAT;TSPAN4;DLG1;NECTIN1;ACTN1;MYH10;CTNNA1;MAP3K20;TAOK2;PIK3CB;MPZL1;TIAL1;RSU1;EPB41L2;PKD1;RRAS;GAMT;HRAS;TSC1;EXOC4;NF2;LDLRAP1;NLGN2;KCNH2;CDH1;ICAM2;STX4;HADH;SHC1;RASA1;PBX2;ICAM4;TUBG1
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,10/44,0.9814098724279663,0.9999999999999969,0.5342265395388628,0.010024812215577087,BRCA1;GSTM3;AKAP7;FLOT2;ADIPOR2;HSPB1;MAL;EPHB4;NCOA6;DCBLD2
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,42/161,0.9978467986665748,0.9999999999999969,0.6176325880023259,0.0013313211281865641,PEA15;IGF2R;ANKH;TOP2A;SOD1;PDCD4;HSPB1;PPT1;CDK2;CD38;GPX4;WEE1;TIMP3;BID;BTG3;SC5D;PSEN2;BCL2L11;ENO2;CLU;CASP3;SLC20A1;CASP9;BRCA1;BCL2L1;CCND2;DIABLO;CASP6;BNIP3L;CTH;DAP3;F2R;RHOT2;MGMT;GSR;IFITM3;CREBBP;GSTM1;IL1B;DFFA;HMGB2;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,38/112,0.722504682022874,0.9999999999999969,0.9101646951675684,0.29583208572172576,PFKM;GNPAT;IDH1;FADS1;SOD1;ACSL1;HSD17B4;RXRA;KLF1;PEX1;ISOC1;PHYH;FADS2;PEX26;EPHX2;HACL1;CAT;PXMP2;PEX19;ALDH1A1;HSD17B11;CROT;CYP7B1;PEX11A;LONP2;AMACR;PEX7;SLC35B2;SLC29A1;NEDD4;PEX6;MLYCD;ACSL5;CYP39A1;GCLM;SLC27A5;ABCA5;OPTN
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,18/74,0.9897938702857362,0.9999999999999969,0.5730871829614261,0.005879054618707718,NSDHL;SC5D;ACAT2;ANXA5;TMEM97;PCYT2;FADS2;NIBAN1;ACSS2;FASN;ATF5;SCD;CLU;PDK3;ECH1;HSD17B7;ATXN2;PMVK
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,23/138,0.9999999146912826,0.9999999999999969,0.3495660606060606,2.982103355709105e-08,ADAM9;PREP;FBN1;LTA4H;PEF1;CAPN2;GP1BA;TIMP3;CPQ;SIRT2;PROS1;ARF4;CLU;CASP9;CSRP1;ISCU;CTSB;MMP14;APOC1;GNB2;PRSS23;P2RY1;CFD
