,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,112/200,2.0776296787047376e-08,1.298518549190461e-07,2.2414680685576154,39.65034422368225,HIBCH;PDCD4;BCL2L13;UQCR10;APOE;COQ9;LPCAT3;ESRRA;GPHN;NDUFS3;SLC25A10;UBQLN1;DHRS7B;SLC1A5;UQCRC1;ECHS1;FZD4;PHYH;AIFM1;MIGA2;UQCRQ;ETFB;ANGPTL4;SDHC;DECR1;SORBS1;UCK1;NMT1;DBT;GPX4;AGPAT3;RMDN3;SULT1A1;GRPEL1;ACADS;PTCD3;IDH3A;COQ5;LIPE;SLC25A1;SLC5A6;ELMOD3;DLAT;GPAT4;UCP2;ACADM;PFKL;MRPL15;SLC27A1;ELOVL6;CPT2;QDPR;TST;GPAM;ITSN1;NDUFAB1;AK2;PREB;REEP6;SUCLG1;CMBL;JAGN1;DNAJC15;CD36;SDHB;SAMM50;COQ3;CAVIN1;ADIPOR2;CYC1;FAH;IDH3G;PEMT;TANK;EPHX2;ARAF;CMPK1;HADH;ENPP2;RTN3;COX6A1;TALDO1;ARL4A;RIOK3;PLIN2;CD151;DLD;ABCB8;REEP5;VEGFB;CRAT;IMMT;NDUFB7;PHLDB1;ECH1;COX7B;MCCC1;STAT5A;PRDX3;IDH1;CDKN2C;CAVIN2;ATP5PO;ACLY;STOM;NDUFA5;SCARB1;PTGER3;SOD1;ACOX1;GHITM;CAT
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,37/200,0.9999999985386971,0.9999999999998832,0.3745191350346742,5.472858822392186e-10,EIF3J;FLNA;IL1B;ACVR2A;DYRK3;BCAT1;ACHE;JAK2;EIF5A;IL7;UBE2N;AKT1;EIF3D;NCR1;CD80;MAP3K7;STAT1;STAB1;MRPL3;CSF1;CD40;NME1;NPM1;HDAC9;IL4R;CD79A;F2R;ABCE1;CD40LG;EIF3A;BRCA1;TPD52;TRAF2;RIPK2;NCK1;CD4;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,36/101,0.6558186747767529,0.9999999999998832,0.9437019901082525,0.3981204443707042,SRF;SORD;ANKH;SRP19;CCND1;GSR;PDLIM5;CENPN;ITGAV;AKT1;SAT1;GPD1L;TMEM50A;ACTN1;ELL2;XRCC5;LMAN1;FADS1;CAMKK2;ELK4;PGM3;NCOA4;UAP1;MAP7;SELENOP;MAK;TSC22D1;TPD52;MYL12A;FKBP5;ADRM1;ABCC4;ACSL3;ABHD2;SMS;AZGP1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,6/36,0.9980429161695553,0.9999999999998832,0.3588297479527165,0.0007029479862573438,ITGAV;PTK2;VEGFA;TNFRSF21;S100A4;POSTN
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,49/200,0.9999623078506722,0.9999999999998832,0.5400668434513816,2.0356663755981432e-05,RSU1;PIK3CB;MVD;TIAL1;SHC1;PBX2;ADAM9;LDLRAP1;TAOK2;KCNH2;MAP3K20;NEXN;MPZL1;CRAT;CDH1;ACTN1;ICAM2;NF2;STX4;EXOC4;ITGB4;ICAM4;ICAM5;RAC2;FBN1;DHX16;LIMA1;TSPAN4;RASA1;RHOF;MYH10;WASL;SYMPK;CTNNA1;DLG1;NECTIN1;HADH;RRAS;CDK8;ITGB1;TSC1;INPPL1;IKBKG;PFN1;YWHAH;PTK2;PIK3R3;TUBG1;HRAS
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,11/44,0.9691453442267646,0.9999999999998832,0.579151595781538,0.018151007323657247,FLOT2;BRCA1;GSTM3;EPHB4;MAL;ADIPOR2;DCBLD2;GATA3;HSPB1;NCOA6;PKHD1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,44/161,0.9970066446308635,0.9999999999998832,0.6321629525057981,0.00189512617829019,CLU;HMGB2;PDCD4;ANKH;IL1B;ENO2;CASP9;MGMT;WEE1;RHOT2;PPP2R5B;BTG3;CCND1;GSR;TNFRSF12A;SOD1;SAT1;GPX4;PEA15;FDXR;IFITM3;SQSTM1;DFFA;JUN;LEF1;RHOB;CDC25B;TOP2A;BID;TIMP3;BNIP3L;HSPB1;CTH;BCL2L1;F2R;BRCA1;CDKN1A;CASP6;HMOX1;DNAJA1;BCL2L11;PTK2;DAP3;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,44/112,0.3464120077942532,0.9622555772062589,1.1044821900116466,1.1708907703308609,NEDD4;PEX19;ABCD1;HSD17B4;EFHC1;CYP39A1;ALDH1A1;FADS2;ISOC1;HACL1;MLYCD;KLF1;PEX7;ABCA5;FADS1;FDXR;PECR;SLC27A5;IDH1;CYP7B1;LONP2;OPTN;PAOX;PEX16;CROT;PEX26;PXMP2;LIPE;EPHX2;SLC29A1;PEX6;GCLM;PHYH;HSD17B11;ACSL5;PEX1;PRDX5;SLC35B2;PEX11A;GNPAT;SOD1;SLCO1A2;PFKM;CAT
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,21/74,0.9563198159382742,0.9999999999998832,0.6772077292717499,0.030246051864717523,CLU;ANXA5;TP53INP1;MVD;FDPS;TMEM97;ATXN2;TNFRSF12A;FADS2;MVK;ECH1;TM7SF2;PDK3;ACSS2;ACAT2;PMVK;FASN;NSDHL;ATF5;HSD17B7;PCYT2
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,29/138,0.9999883185043824,0.9999999999998832,0.44681830199869943,5.2195365227118404e-06,CLU;APOC1;CASP9;DUSP14;USP11;PROS1;ADAM9;MMP14;GP1BA;CAPN5;SERPINE1;ARF4;GNB2;PREP;F8;CTSB;MSRB2;GP9;FBN1;TIMP3;P2RY1;CFH;ISCU;CSRP1;PEF1;CPQ;WDR1;THBS1;S100A13
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,53/200,0.9995521701361176,0.9999999999998832,0.6019841333958088,0.00026964685498268834,CA2;KYNU;CLU;ANXA5;APOC1;CASP9;ADAM9;EHD1;JAK2;PIK3CA;MMP14;GCA;GP1BA;SERPINE1;CR2;CALM3;ADRA2B;CASP10;USP16;GNB2;CD59;PREP;USP14;CALM1;F8;USP8;STX4;ITGAM;GATA3;CD36;ATOX1;RCE1;CTSB;PPP2CB;MSRB1;GP9;PIM1;HSPA1A;XPNPEP1;CD55;CR1;CD40LG;RAF1;CFH;PFN1;CTSL;ZFPM2;CSRP1;PPP4C;CPQ;BRPF3;S100A13;CD46
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,103/150,1.4520943893311178e-15,1.2100786577759315e-14,3.878054341630249,132.4967106445383,SRSF6;ELL;RAD52;POLD1;GTF2B;POLR2K;HPRT1;TAF12;NCBP2;AAAS;VPS37B;MPC2;POLR2D;POLR2G;MRPL40;POLD3;POLL;TAF6;CETN2;SF3A3;SNAPC4;CANT1;SURF1;POLR2E;COX17;LIG1;ALYREF;BRF2;ERCC1;GPX4;TAF10;SDCBP;GUK1;POLR2C;FEN1;POLD4;DDB1;NT5C;TAF1C;UMPS;NME4;NME1;RAE1;ERCC2;DAD1;PNP;POLR3C;DUT;GTF2H5;NUDT21;ERCC8;POLA1;RFC4;TYMS;TP53;GTF2A2;CSTF3;POLA2;DGUOK;SMAD5;ITPA;TSG101;POLE4;BOLA2;RBX1;SSRP1;VPS28;GMPR2;APRT;NELFCD;XPC;NFX1;ARL6IP1;POLR3GL;GTF2H1;UPF3B;RFC3;NME3;RFC5;USP11;ERCC4;RAD51;POLR1D;POLR2J;SNAPC5;DGCR8;NELFE;POLH;POLR2H;IMPDH2;NELFB;NT5C3A;POLR2F;EDF1;PCNA;TARBP2;GTF2H3;NUDT9;ZWINT;ADRM1;SUPT4H1;SAC3D1;SEC61A1
