,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,30/200,0.9694029431179546,0.9999999356691436,0.7150085350374229,0.022218832707639583,ABCA1;DHRS7;YWHAG;BAZ2A;PIM3;SLC66A3;CS;PGM1;DDT;MGLL;POR;RREB1;ANGPT1;ATL2;CD302;PPM1B;BCKDHA;GBE1;BCL6;IFNGR1;ACO2;PFKFB3;ESYT1;RAB34;NABP1;UQCR11;UBC;MGST3;LTC4S;ALDH2
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,61/200,0.00014275639334010624,0.0006488926970004829,1.8468025251818225,16.3522745803426,LY86;ETS1;LCK;HCLS1;ITGAL;PSMB10;TRAT1;ZAP70;IFNGR2;ICAM1;HLA-DRA;CD74;STAT4;GPR65;TLR2;HLA-DMB;LTB;HLA-E;PTPN6;SPI1;NLRP3;ST8SIA4;CD96;TAP2;CTSS;ABI1;BCL3;MAP4K1;ELF4;WAS;GALNT1;IL16;IRF7;TAP1;HLA-DMA;PTPRC;IL15;PRKCB;IFNAR2;IFNGR1;IL2RG;FAS;HIF1A;CD3E;IL27RA;ITGB2;INHBA;TAPBP;CD3D;LY75;CFP;CD7;TGFB1;CD47;CCND2;UBE2D1;HLA-A;IL18;CAPG;B2M;PRF1
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,37/101,4.98906423476465e-05,0.00031181651467279063,2.417638575808913,23.948347078632374,PTK2B;DBI;ELOVL5;PA2G4;SGK1;HMGCS1;PLPP1;IDI1;INPP4B;UBE2I;NDRG1;RAB4A;PIAS1;GNAI3;B4GALT1;MERTK;SLC38A2;IQGAP2;ZMIZ1;UBE2J1;PMEPA1;SPCS3;VAPA;KRT8;STK39;GUCY1A1;ARID5B;CDK6;HOMER2;HPGD;INSIG1;HERC3;XRCC6;DHCR24;MAF;B2M;SCD
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,7/36,0.5869030992274875,0.9999999356691436,1.0306877160499905,0.5492488981038952,NRP1;THBD;CCND2;APP;PRG2;LRPAP1;JAG1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,47/200,0.10495638826162519,0.26239097065406297,1.2688993562755688,2.860366081052575,ADAM15;NF1;ZYX;ACTG1;ICAM1;VCL;MYH9;CNN2;ARPC2;EVL;AKT2;NRXN2;ACTN4;BMP1;GNAI1;FSCN1;CLDN5;GTF2F1;ACTB;PECAM1;B4GALT1;EPB41L2;MDK;ITGA9;SORBS3;ARHGEF6;PTPRC;SYK;JAM3;NEGR1;MAPK11;NECTIN2;PTEN;CD99;JUP;BAIAP2;SIRPA;MYL12B;MAP4K2;VWF;INSIG1;CERCAM;CAP1;MSN;CD34;GNAI2;AKT3
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,9/44,0.5153513024802117,0.9543542638522438,1.0855406170277342,0.7196118986191699,CRYBG1;ADAM10;AKAP7;GHRL;PLAUR;B4GALT1;APP;IL2RG;SCUBE1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,51/161,0.00017901901121457166,0.000745912546727382,1.9450224858891694,16.78169008814762,DPYD;CD69;CASP1;ROCK1;EBP;DAP;DDIT3;PPP3R1;PMAIP1;CD44;TSPO;PPT1;HGF;GADD45B;SMAD7;CTNNB1;CASP8;RARA;GSTM1;CYLD;NEDD9;TAP1;TIMP2;SOD2;IGFBP6;CCNA1;GNA15;DNM1L;BTG2;IFNGR1;TNFSF10;IRF1;FAS;BIRC3;BIK;EMP1;ISG20;ATF3;KRT18;ANXA1;GSN;SATB1;CASP2;CCND2;APP;MCL1;IL18;SPTAN1;BCAP31;RELA;PRF1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,9/112,0.9998487325231149,0.9999999356691436,0.3650648952363267,5.522662270297338e-05,LCK;IDH2;ABCA1;SLC27A2;DHCR24;ALDH9A1;ATXN1;GSTK1;IDI1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,30/74,2.8339489247603562e-05,0.00023616241039669636,2.842642964950528,29.766037501372715,NFIL3;PLSCR1;ACTG1;EBP;HMGCS1;SREBF2;JAG1;GNAI1;IDI1;SCD;SQLE;CD9;CYP51A1;CTNNB1;S100A11;FDFT1;ETHE1;CHKA;PLAUR;ANTXR2;FBXO6;CXCL16;GUSB;PNRC1;ALCAM;ATF3;LDLR;FABP5;GSTM2;NIBAN1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,23/138,0.8515254417669251,0.9999999356691436,0.8197555355637061,0.13175594669455853,A2M;PLEK;CFI;BMP1;KLF7;DUSP6;FYN;CD9;CFD;PECAM1;PLAU;CRIP2;CTSH;MAFF;RAC1;THBD;VWF;FURIN;SPARC;ANXA1;GSN;SERPING1;APOC2
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,43/200,0.2921001311294259,0.6638639343850589,1.1256981142972653,1.385350088630661,LCK;PLSCR1;CTSD;TNFAIP3;CASP1;SPOCK2;DOCK10;PLEK;CEBPB;RHOG;PRCP;GMFB;KIF2A;PSMB9;GNB4;SH2B3;DUSP6;FYN;PIK3R5;DOCK4;GNAI3;CTSS;WAS;GNG2;IRF7;PIK3CG;CTSC;TIMP2;ZEB1;CTSH;PLAUR;CBLB;MAFF;FCER1G;IRF1;PRKCD;USP15;APOBEC3G;LIPA;SERPING1;DUSP5;GNAI2;GRB2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,17/150,0.9982091994083208,0.9999999356691436,0.5216473235615974,0.0009350037884519595,RFC2;PDE4B;SUPT5H;HCLS1;GTF2F1;AGO4;RNMT;POM121;ADA;BCAM;RALA;MPG;REV3L;DCTN4;TAF13;BCAP31;GTF3C5
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,14/200,0.9999999356691436,0.9999999356691436,0.30347677360686404,1.9522921377567587e-08,RFC2;TACC3;PHF5A;JPT1;XRCC6;PSIP1;SRSF2;STMN1;PA2G4;NAP1L1;STAG1;RFC1;PMS2;PDS5B
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,37/200,0.7064296689127952,0.9999999356691436,0.9264066633894692,0.3219556181547776,TNFAIP3;PVR;VIM;BMP1;TPM4;P3H1;SDC4;CD44;WIPF1;QSOX1;CXCL8;GLIPR1;LGALS1;PMEPA1;BASP1;ID2;EDIL3;AREG;IL15;PLAUR;ITGA5;CCN2;DST;ELN;FAS;LOXL1;CAPG;INHBA;IGFBP2;DAB2;SPARC;NT5E;DPYSL3;TGFB1;PRSS2;GADD45B;ANPEP
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,36/200,0.7669197125176823,0.9999999356691436,0.894876326702941,0.2374761589709582,ELOVL5;SLC24A3;ADD3;NRIP1;NBL1;KLF4;FOS;TIPARP;TGIF2;NXT1;PMAIP1;BCL2;TIAM1;CD44;KLF10;SLC27A2;MED13L;B4GALT1;DEPTOR;RARA;SLC7A5;SYNGR1;FDFT1;BHLHE40;RAB31;SVIL;NCOR2;AREG;XBP1;KRT8;CBFA2T3;SLC37A1;ABLIM1;KRT18;RETREG1;DYNLT3
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,42/200,0.3563482253748188,0.7746700551626495,1.091232347473188,1.1259846767843933,ELOVL5;SLC24A3;ADD3;NRIP1;ATP2B4;SGK1;NBL1;KLF4;FOS;NXT1;TSPAN13;PTPN6;TPSAB1;BCL2;TIAM1;CD9;CD44;DNAJC1;SLC27A2;SNX10;LSR;SLC7A5;MDK;FDFT1;RAB31;ID2;AREG;NCOR2;XBP1;CCNA1;HOMER2;IDH2;ISG20;LLGL2;JAK1;ST14;BATF;FABP5;DUSP2;IMPA2;ZFP36;DYNLT3
