,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,59/200,0.14579651248559633,0.5856597604443227,1.2036588010651257,2.3176972356226755,SDHB;COX8A;IDH1;DNAJC15;GPD2;APLP2;ATP1B3;SLC25A10;FAH;GPX4;IMMT;SLC1A5;SLC5A6;CS;RREB1;POR;YWHAG;CHCHD10;ACAA2;MDH2;PRDX3;BCKDHA;COQ5;CD36;ALDH2;DHRS7B;UQCRQ;AIFM1;UQCR11;AK2;BCL6;IDH3A;CPT2;ECH1;ACLY;NDUFS3;COX7B;DDT;CYC1;REEP5;UQCR10;SLC25A1;ATL2;MAP4K3;PEX14;DLD;COX6A1;UBQLN1;UQCRC1;GPHN;SLC19A1;SQOR;HADH;NDUFAB1;GRPEL1;CD302;SCARB1;DHRS7;MGST3
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,44/200,0.9238722969975098,0.9999999999983028,0.7989358128496454,0.06326087503007916,CD2;CCR1;EIF5A;UBE2N;JAK2;ABCE1;IFNAR2;MRPL3;CCR2;FYB1;GCNT1;CD4;AKT1;EIF3J;BCAT1;LY86;IRF8;CD86;GPR65;CD74;EIF4G3;EIF3A;BCL3;ITGAL;IL15;BRCA1;NLRP3;IGSF6;TPD52;CD40LG;TLR2;IL7;CTSS;TIMP1;HDAC9;TLR1;LY75;PSMB10;IL1B;IFNGR2;TAPBP;FGR;ITGB2;EREG
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,30/101,0.22973186989709246,0.7257930578738688,1.2160697729237055,1.7886470237100234,SMS;BMPR1B;SPCS3;UBE2I;SELENOP;CENPN;XRCC5;CAMKK2;AKT1;ABCC4;CDK6;NDRG1;ARID5B;B4GALT1;SCD;ACTN1;TNFAIP8;UAP1;FKBP5;PA2G4;IQGAP2;TPD52;DHCR24;HOMER2;TSC22D1;SORD;STK39;SGK1;DBI;RAB4A
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,4/36,0.9924540518114103,0.9999999999983028,0.3904530252356339,0.0029575109978062487,TIMP1;APP;VCAN;LRPAP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,40/200,0.9831599514667845,0.9999999999983028,0.7055121113866107,0.011982032775859389,VCAN;PIK3R3;ACTN4;ADAM9;FBN1;ITGA2;LIMA1;CDK8;FYB1;SYK;DLG1;CDH4;NF1;PFN1;ACTB;NECTIN1;CD86;MMP2;B4GALT1;ACTN1;CD99;NRXN2;LAYN;CTNNA1;CAP1;MAP3K20;VCL;NEXN;BAIAP2;MPZL1;ARPC2;EPB41L2;GAMT;NEGR1;MSN;EXOC4;SIRPA;HADH;RASA1;MYH9
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,9/44,0.8472559056427188,0.9999999999983028,0.7572519368526998,0.12551640026462468,BRCA1;CRYBG1;PLAUR;AKAP7;B4GALT1;HSPB1;APP;NCOA6;DCBLD2
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,45/161,0.3160133195470021,0.8435307294645603,1.1126008192634451,1.2816837847071398,CD2;NEFH;CDKN1B;IGF2R;DNM1L;MCL1;TOP2A;PPT1;HSPB1;CDK2;CD38;GPX4;BID;BTG3;NEDD9;CASP1;GADD45B;MMP2;DPYD;CASP3;SLC20A1;HGF;IGFBP6;BRCA1;PAK1;CASP2;FDXR;ISG20;CASP6;ETF1;DAP3;KRT18;TIMP1;EBP;TIMP2;PPP3R1;ANXA1;CREBBP;IL1B;TNFSF10;EMP1;BMF;APP;HMGB2;EREG
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,21/112,0.9740356921323067,0.9999999999983028,0.6602910329403682,0.017370494833391852,IDH1;IDH2;SLC27A2;ACSL1;HSD17B4;RXRA;KLF1;ABCD3;ISOC1;SLC23A2;PXMP2;FDXR;PNPLA8;ALDH9A1;APOA1;DHCR24;SLC29A1;ATXN1;PEX6;CYP39A1;AR
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,19/74,0.5742525029377186,0.9999999999983028,0.9968245949554361,0.5529247258293309,GUSB;S100A11;CYP51A1;TMEM97;ALCAM;FDFT1;NIBAN1;SCD;PDK3;ANXA5;FABP5;ETHE1;ANTXR2;ECH1;PLAUR;EBP;ACSS2;FASN;ATXN2
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,20/138,0.9996983276965962,0.9999999999983028,0.48153703025006345,0.00014528830091998642,ADAM9;PREP;FBN1;LTA4H;ITGA2;FYN;LRP1;CAPN2;SPARC;MMP2;CTSH;PLEK;CTSB;APOC1;APOA1;GNB2;TIMP1;ANXA1;RAC1;SH2B2
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,39/200,0.9892573571550498,0.9999999999983028,0.6829900920375781,0.0073768131868128415,ATOX1;JAK2;ADAM9;PREP;LTA4H;GPD2;S100A12;FYN;LRP1;DOCK10;GNG2;PFN1;CASP1;PSMB9;L3MBTL4;CASP3;ANXA5;CTSH;LAP3;GRB2;CD36;PLEK;S100A9;CTSC;CTSB;AKAP10;PLA2G4A;IRF2;PIK3CG;APOC1;CD40LG;SH2B3;GNB2;CTSS;PRKCD;PLAUR;TIMP1;DOCK4;TIMP2
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,45/150,0.1522715377155239,0.5856597604443227,1.2329292122337496,2.3204836418876704,BOLA2;RFC2;LIG1;GPX4;GTF2H3;SAC3D1;TYMS;RFC4;CSTF3;AK1;SUPT5H;POLE4;ALYREF;POLR2J;DUT;TMED2;REV3L;SSRP1;SMAD5;PCNA;AGO4;SF3A3;ZWINT;RFC3;CMPK2;RAD51;POLD1;FEN1;TAF6;RFC5;AK3;POLD3;POLR2F;ADA;POM121;PDE4B;TP53;NT5C;COX17;PRIM1;UMPS;POLA1;HPRT1;CANT1;POLA2
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_E2F_TARGETS,149/200,7.691666227691862e-49,3.845833113845931e-47,9.325259819897294,1033.1131965835968,MCM4;CBX5;LIG1;BRCA2;DLGAP5;KIF2C;DUT;STMN1;MELK;IPO7;MYBL2;CDK4;RACGAP1;PTTG1;SSRP1;PSMC3IP;POLE;DCTPP1;ATAD2;AURKB;RFC3;DEPDC1;GINS1;RAN;KIF22;PLK1;CENPE;RAD1;SMC3;SLBP;XPO1;TP53;LMNB1;CDKN1B;HMGA1;LYAR;GINS3;PAICS;CDC20;EZH2;RBBP7;NOLC1;POLE4;USP1;POLD2;CIT;DDX39A;TACC3;UBE2T;MCM2;TK1;CTCF;RRM2;ASF1A;BRCA1;SMC4;CCNB2;STAG1;PLK4;MKI67;ANP32E;NUP205;SUV39H1;ASF1B;TUBB;ORC6;SNRPB;BIRC5;HNRNPD;HMGB2;SMC1A;POLA2;MCM7;SPAG5;HMGB3;WDR90;PRPS1;PRIM2;CKS2;MXD3;UNG;SMC6;CDK1;ORC2;SRSF2;KIF4A;CDCA8;EXOSC8;HELLS;PDS5B;RAD51AP1;JPT1;PRDX4;AK2;E2F8;NUP153;SYNCRIP;PRKDC;SPC25;CKS1B;POLD3;BUB1B;NAP1L1;CENPM;MCM5;NUP107;NOP56;PMS2;DCK;TCF19;PSIP1;CDKN3;BARD1;MCM3;MYC;CNOT9;RFC2;TOP2A;RANBP1;MCM6;CDC25A;MMS22L;MSH2;CCP110;DEK;PCNA;AURKA;MRE11;CTPS1;EIF2S1;PA2G4;LBR;RFC1;TIMELESS;CHEK1;DNMT1;POLD1;NAA38;DIAPH3;DSCC1;TMPO;TRIP13;NCAPD2;MAD2L1;RNASEH2A;DONSON;POP7;SHMT1;NASP
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,28/200,0.9999917502608433,0.9999999999983028,0.45518169582772544,3.755145748989045e-06,MCM7;VCAN;FBN1;ANPEP;COLGALT1;ITGA2;AREG;LRP1;SNTB1;WIPF1;SPARC;GADD45B;PPIB;MMP2;FBN2;BASP1;NOTCH2;IL15;PDLIM4;IGFBP2;PLAUR;TIMP1;DAB2;PFN2;QSOX1;GPX7;PLOD3;ID2
