,names,scores,logfoldchanges,pvals,pvals_adj
0,ADT.CD305,14.341565,2.3935907,1.2031117920756734e-46,1.6362320372229157e-44
1,ADT.CD162,11.785427,1.7809936,4.640635943845966e-32,3.155632441815257e-30
2,ADT.CD48,11.236492,5.535588,2.698957313889709e-29,1.2235273156300014e-27
3,ADT.CD371,10.978911,6.319486,4.827051136889908e-28,1.87565415604865e-26
4,ADT.CD95,10.807262,1.8118858,3.180191253447449e-27,1.0812650261721326e-25
5,ADT.CD33,9.3438635,2.6972237,9.288151085242096e-21,1.804555067989893e-19
6,ADT.CD38,8.911214,1.686003,5.047679404275867e-19,9.153125319753572e-18
7,ADT.CD15,6.841593,1.6042378,7.831752615580014e-12,8.875986297657349e-11
8,ADT.CD84,5.4282136,1.0580055,5.692090121695617e-08,4.691662160912751e-07
9,ADT.CD45RA,5.1999183,1.5476207,1.9937622203469334e-07,1.5063981220399053e-06
10,ADT.CD46,4.7875757,0.96240914,1.6880800047242963e-06,1.0932327649643062e-05
11,ADT.CD13,4.725372,1.2860271,2.2969480320673435e-06,1.4529531737728313e-05
12,ADT.CD25,4.573602,1.0549104,4.794093562306245e-06,2.8347683672767363e-05
13,ADT.C3AR,3.870333,0.48095635,0.00010868681054848638,0.0005097036632618672
14,ADT.CD115,3.6890647,0.46670353,0.000225079947736637,0.0009957758117412983
15,ADT.CD193,3.5582438,0.50015354,0.00037334269705538615,0.0015386244484706824
16,ADT.CD66a.c.e,3.5167744,0.62751895,0.0004368248426765499,0.0017733784657913666
17,ADT.CD126,3.4295604,0.49864691,0.0006045596987314189,0.002316489479292403
18,ADT.CD99,3.4269953,0.5313878,0.0006102995078755422,0.002316489479292403
19,ADT.CD55,3.3667152,0.70956,0.0007606922546084649,0.002834360181554828
20,ADT.CD275,3.2474372,0.27469143,0.0011644935294778764,0.004113535584649122
21,ADT.HLA.DR,3.0884,1.2322439,0.0020123740303969865,0.006928680205923801
22,ADT.CD205,3.0610387,0.5384021,0.002205705346661862,0.0074068130159509445
23,ADT.MR1,3.0379527,0.36335596,0.0023819132323639703,0.007900980478085365
24,ADT.CD229,2.9977658,0.8260141,0.0027196649634007976,0.008702927882882553
25,ADT.TCRBV13.1,2.9096968,0.36316246,0.0036177941574672165,0.011056629335180706
26,ADT.CD257,2.8006794,0.42828974,0.005099514374504036,0.014153754182296916
