,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2025,DNA Metabolic Process (GO:0006259),141/302,1.749098681019158e-36,7.648808532096779e-33,0,0,4.767351989223389,392.5149810107881,SMARCB1;MRE11;NUDT1;PARK7;TTF2;TRIM28;ZNF83;RUVBL2;CHEK1;RUVBL1;PCLAF;SMARCAD1;KPNA2;NUDT15;GEN1;WDHD1;USP3;RECQL;CHD1L;INIP;NEIL3;MSH2;MSH3;TIMELESS;UBE2V2;DNA2;ASF1A;INO80C;BLM;SET;RNASEH2A;PRKDC;PDS5B;RAD51AP1;ORC4;BRIP1;ORC6;NTHL1;RAD21;ORC3;HLTF;BARD1;ZRANB3;ACD;XRCC6;UBE2B;XRCC5;FANCL;XRCC2;XRCC3;FANCA;FANCC;CDC6;UBE2A;FANCG;FAM111B;ISG20;FAM111A;POLA1;POLA2;TDP1;UBE2T;CDK2;CDK1;NABP2;UBE2N;RAD18;TOP2A;MUS81;BTG2;FEN1;MCM7;MCM8;OGG1;HMGB2;HMGB3;MCM10;BRCA1;HMGB1;PTMS;SUMO1;EXO1;POLK;TOPBP1;POLE;POLH;RFC5;RMI2;RFC3;RFC4;PARP1;PARP2;RMI1;RFC2;ACTL6A;TERF1;SMC1A;UCHL5;DDB2;RAD51C;NSMCE4A;MCM3;MCM4;RBMS1;DNASE2;MCM5;MCM6;TOP1;DCTPP1;PRIM2;PRIM1;PNKP;TYMS;RECQL4;POLD3;TBRG1;CDC45;POLD1;POLD2;RBBP8;RAD54L;NT5M;MUTYH;TCF7L2;DUT;RRM1;MCRS1;PTGES3;CNBP;DONSON;GTF2H1;NOC3L;GTF2H3;GTF2H4;HNRNPAB;TICRR;RAD51;ERCC3;ERCC1;POLE2;RAN
1,GO_Biological_Process_2025,"mRNA Splicing, via Spliceosome (GO:0000398)",109/211,2.131466797421001e-33,4.6604521525610186e-30,0,0,5.777299589308044,434.6175688017491,GEMIN2;EIF4A3;HNRNPU;HNRNPR;WDR83;PNN;SNIP1;SNRPD3;SCAF11;CDC40;SRRM1;WDR77;DHX40;PRPF4;ILF3;DDX39A;DDX39B;HNRNPUL1;HNRNPUL2;CLNS1A;SNRPG;PPIE;SNRNP27;SRSF3;PPIH;SNRPE;SRSF4;GEMIN7;SRSF5;GEMIN8;SNRNP200;SNRPC;SRSF7;SNRPA;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;DHX9;CWF19L2;C9ORF78;HTATSF1;PRPF8;HSPA8;PRPF38A;MAGOHB;LSM5;LSM4;LSM3;LSM2;SMU1;HNRNPM;LSM8;HNRNPK;SNW1;LSM6;HNRNPF;RNPS1;DDX46;PRPF19;USP39;COIL;SART3;RSRC1;BCAS2;CTNNBL1;PRMT5;PRMT7;PRPF40A;PLRG1;SFPQ;FRG1;SNRPA1;HNRNPH3;SLU7;RBM22;SF3B4;SF3B2;SF3B3;SF3B6;SRSF1;WBP4;LIN9;PUF60;U2AF2;TRA2B;RALY;HNRNPA1;SF3B1;SRSF10;SF3A3;SF3A1;HNRNPA3;PPIL1;SF3A2;CDC5L;XAB2;SNRNP40;PHF5A;MFAP1;HNRNPA2B1;RBM42;PRPF31;BUD13;PPIL3;RBMX
2,GO_Biological_Process_2025,DNA Repair (GO:0006281),136/302,3.7067904938968674e-33,5.4032649432703344e-30,0,0,4.451173734782369,332.3920292096301,MRE11;NUDT1;NUCKS1;PARK7;TTF2;KAT5;TRIM28;EME1;ZNF83;CHEK2;HMCES;CHEK1;WDHD1;ZGRF1;USP3;RECQL;WRNIP1;CHD1L;INIP;TRAIP;NEIL3;MSH2;FANCD2;MSH3;TIMELESS;UBE2V2;DNA2;UBE2V1;TP53;ASF1A;RHNO1;BLM;RNASEH2B;RNASEH2A;PRKDC;CDCA5;BRCC3;PDS5B;RAD51AP1;BRIP1;NTHL1;RAD21;HLTF;BARD1;ZRANB3;FANCI;XRCC6;XRCC4;UBE2B;XRCC5;FANCL;XRCC2;PLK1;XRCC3;FANCA;HMGA1;XRCC1;HMGA2;FANCC;FANCB;UBE2A;FANCE;FANCG;FAM111A;POLA1;PPP5C;TDP2;TDP1;UBE2T;CDK1;NABP2;UBE2N;RAD18;MUS81;BTG2;FEN1;OGG1;BRCA1;HMGB1;BRCA2;BABAM1;SUMO1;EXO1;POLK;TOPBP1;POLE;POLH;PRMT6;RFC5;RMI2;RFC3;RFC4;PARP1;DTX3L;PARP2;RFC2;RAD23A;PARP9;SMC1A;DDB2;WDR33;RNF168;RAD51C;NSMCE4A;PCNA;PNKP;RNF8;UNG;PRIMPOL;RECQL4;POLD3;POLD1;NSD2;RBBP8;PMS2;RAD54L;ASCC2;PMS1;MUTYH;CDKN2D;MGME1;RRM1;CENPX;GTF2H1;GTF2H3;MLH1;GTF2H4;REC8;TICRR;MAD2L2;RAD51;ERCC3;RFWD3;ERCC1;POLE2;TRIP13
3,GO_Biological_Process_2025,mRNA Processing (GO:0006397),110/226,1.0426945058484011e-30,1.1399257685187643e-27,0,0,5.124006164016437,353.73958064333243,TCERG1;GEMIN2;EIF4A3;HNRNPU;HNRNPR;WDR83;PNN;SNIP1;SNRPD3;SCAF11;CDC40;SRRM1;DHX40;PRPF4;DDX39A;DDX39B;SNRPG;PPIE;SNRNP27;PPIH;SNRPE;SRSF4;GEMIN7;SRSF5;SNRNP200;SNRPC;CBLL1;SRSF7;SNRPA;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;CSTF2;CWF19L2;C9ORF78;HTATSF1;PRPF8;ZC3H13;HSPA8;PRPF38A;CPSF3;MAGOHB;LSM5;LSM4;LSM3;LSM2;SMU1;HNRNPM;LSM8;HNRNPK;SNW1;LSM6;SON;HNRNPF;PAF1;RNPS1;DDX46;PRPF19;USP39;CDC73;SART3;RSRC1;BCAS2;CTNNBL1;NSUN2;PRPF40A;PLRG1;SFPQ;FRG1;SNRPA1;HNRNPH3;SLU7;RBM22;SF3B4;SF3B2;SF3B3;SF3B6;SRSF1;WBP4;U2AF2;TRA2B;LEO1;RALY;HNRNPA1;SF3B1;SRSF10;HNRNPA0;SF3A3;SF3A1;HNRNPA3;PPIL1;SF3A2;WTAP;CDC5L;NUDT21;XAB2;SNRNP40;PHF5A;MFAP1;HNRNPA2B1;RBM42;PRPF31;BUD13;PPIL3;RBMX;TRMT61B
4,GO_Biological_Process_2025,"RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)",91/171,2.255727825641495e-29,1.9728595563060516e-26,0,0,6.122071129707113,403.82096430446006,DDX46;EIF4A3;HNRNPU;HNRNPR;WDR83;PRPF19;USP39;PNN;SART3;RSRC1;SNIP1;SNRPD3;BCAS2;CTNNBL1;PRPF40A;PLRG1;CDC40;SRRM1;DHX40;PRPF4;DDX39A;DDX39B;FRG1;SNRPG;PPIE;SNRNP27;PPIH;SNRPE;SRSF4;SNRPA1;GEMIN7;SRSF5;HNRNPH3;SNRNP200;SNRPC;SLU7;SNRPA;SF1;SNRPB;RBM22;ZCCHC8;SF3B4;DDX5;SF3B2;SF3B3;DHX8;RBM8A;SF3B6;SRSF1;WBP4;CWF19L2;C9ORF78;HTATSF1;PRPF8;U2AF2;TRA2B;RALY;HNRNPA1;SF3B1;SRSF10;SF3A3;HSPA8;HNRNPA3;PPIL1;SF3A1;PRPF38A;SF3A2;CDC5L;LSM5;MAGOHB;LSM4;LSM3;LSM2;SMU1;HNRNPM;LSM8;XAB2;SNRNP40;HNRNPK;LSM6;SNW1;PHF5A;MFAP1;HNRNPF;HNRNPA2B1;RBM42;RNPS1;BUD13;PRPF31;PPIL3;RBMX
5,GO_Biological_Process_2025,Mitotic Sister Chromatid Segregation (GO:0000070),73/120,8.096189064421504e-29,5.900772463119208e-26,0,0,8.327591489361701,538.6583822737008,NCAPG2;BCCIP;KIF14;KIF11;SMC3;SMC4;KIF15;PPP1CC;CDC23;CHEK2;CHMP1B;CHMP1A;NUP62;NUSAP1;ZNF207;KNTC1;SPDL1;CEP55;DLGAP5;OFD1;NUDC;SPICE1;KIF23;TEX14;KNL1;KIF22;SMC1A;TUBG1;KNSTRN;RHOA;EML4;PSRC1;ESPL1;KIF2A;INCENP;KIFC1;BIRC5;KIF2C;KPNB1;CHMP5;DCTN2;UHRF1;CDCA5;MIS12;VPS4A;CDCA8;NCAPG;ABRAXAS2;SKA3;NCAPH;SKA1;AURKB;SKA2;CCNB1;CEP192;SPAG5;NCAPH2;PLK1;NDC80;ZWINT;MZT1;RAB11A;TPX2;CENPE;KIF18A;KIF18B;PRC1;CHMP2B;CENPK;NCAPD2;CCDC66;NCAPD3;RAN
6,GO_Biological_Process_2025,DNA Damage Response (GO:0006974),160/421,2.166293769003637e-28,1.353314664550415e-25,0,0,3.3377474089376205,212.61238993575415,MDC1;MRE11;NUDT1;SMC6;PARK7;TTF2;RASSF1;KAT5;TRIM28;ZNF83;HMCES;CHEK2;CHEK1;PCLAF;FBXO5;WDHD1;DDX11;USP3;RECQL;VRK1;CDPF1;PPP4R3A;CHD1L;VRK2;ATAD3A;WDR76;INIP;NRBP1;PIAS1;RBX1;TRAIP;MSH2;MSH3;DDIT3;TIMELESS;TP53;HDGFL2;ASF1A;BLM;PRKDC;STXBP4;HTRA2;BRCC3;PDS5B;RAD51AP1;BRIP1;OARD1;STK38;HLTF;BARD1;ZRANB3;CBX5;NEK4;UBE2B;FANCL;XRCC5;CBX3;XRCC2;XRCC3;CBX1;FANCA;NFATC2;FANCC;UBE2A;FANCG;FAM111A;POLA1;TDP1;UBE2T;BCL3;CDK2;CDK1;NABP2;UBA1;RAD18;TOP2A;MUS81;BTG2;FEN1;MCM7;MCM8;OGG1;SUV39H1;CGAS;ASH2L;MCM10;BRCA1;BABAM1;PIDD1;UFL1;ING3;PAXX;SUMO1;EXO1;MLST8;DGCR8;CASP2;IKBKG;POLK;TOPBP1;POLH;RFC5;VAV3;RMI2;SHPRH;RFC3;RFC4;DTX3L;PARP1;RFC2;NCOA6;PARP2;CIP2A;BAZ1B;REXO2;SMC1A;ZDHHC16;MASTL;GNL1;TOPORS;DDB2;RNF168;NSMCE4A;RAD51C;CRY1;DTL;PPP1R15A;HDAC3;SPINDOC;UHRF1;PNKP;RNF8;RECQL4;BCLAF1;POLD1;E2F1;RBBP8;RAD54L;APBB1;LDLR;BRD4;MAPK3;MUTYH;RRM1;SLF2;USP21;GTF2H1;GTF2H3;GTF2H4;BATF;PPP1CA;TICRR;MAD2L2;RAD51;ERCC3;RFWD3;ERCC1;POLE2;SHLD1;BAX
7,GO_Biological_Process_2025,Double-Strand Break Repair (GO:0006302),81/176,5.283128491051185e-21,2.8878901114208537e-18,0,0,4.570072438073046,213.3756242230145,MUS81;FEN1;MRE11;MCM8;ZMYND8;HMGB2;NUCKS1;SMC6;BRCA1;HMGB1;BRCA2;PRPF19;BABAM1;EME1;KAT5;PAXX;SFR1;ZNF83;CHEK2;POGZ;REV3L;SMARCAD1;POLK;TOPBP1;CYREN;GEN1;RMI2;DTX3L;PARP1;ZGRF1;PARP2;RMI1;RECQL;PARP9;INIP;RNF168;MORF4L1;MMS22L;SFPQ;NSMCE4A;RAD51C;UBE2V2;DNA2;BLM;PSMD14;PRKDC;UHRF1;CDCA5;PNKP;RNF8;BRCC3;HTATSF1;RAD54B;RAD51AP1;RECQL4;BRIP1;PPP4C;RAD21;NSD2;RBBP8;XRCC6;SLF2;XRCC4;XRCC5;XRCC2;PLK1;XRCC3;XRCC1;REC8;MAD2L2;POLA1;PPP5C;RAD51;TDP2;TDP1;ERCC1;RFWD3;NABP2;UBE2N;AUNIP;TRIP13
8,GO_Biological_Process_2025,Mitotic Spindle Organization (GO:0007052),53/90,2.2237685651638822e-20,1.0805044372735176e-17,0,0,7.635844111201822,345.54102458037084,GPSM2;INTS13;BCCIP;ILK;KIF11;SMC3;KIF15;CHEK2;NUF2;STMN1;ZNF207;RCC1;DLGAP5;OFD1;SUN2;NUDC;MAP1S;SPICE1;KIF23;SMC1A;TUBG1;CKAP5;RHOA;KIF2A;INCENP;KIFC1;BIRC5;KPNB1;DCTN6;DCTN2;UHRF1;CDCA8;ABRAXAS2;TTK;WDR62;AURKB;AURKA;CCNB1;CEP192;PCNT;STIL;PLK1;MZT1;NDC80;RAB11A;CENPE;TPX2;CENPH;PRC1;KIF4A;CCDC66;RAN;SPC25
9,GO_Biological_Process_2025,DNA Replication (GO:0006260),46/73,1.4534930306720922e-19,6.356125023129059e-17,0,0,9.067141379958638,393.2885913202628,FEN1;BLM;RNASEH2A;SET;MCM7;MCM8;PNKP;PTMS;POLD3;RECQL4;TBRG1;CHRAC1;ORC3;POLD1;CHEK1;POLD2;PCLAF;MCMBP;NT5M;POLE;SLC19A1;RFC5;WDHD1;RFC3;DUT;RFC4;RFC2;WDR18;RECQL;DONSON;WRNIP1;TICRR;FAM111B;FAM111A;POLA1;POLA2;POLE2;CDK2;CDK1;MCM4;RBMS1;CDK2AP1;MCM5;DNA2;MCM6;TOP1
