,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,45/200,0.6772027776172279,0.9999999999996664,0.9424432434536,0.3673497939788261,UQCR10;CCNG2;ATP1B3;CAVIN2;PRDX3;UCP2;ESYT1;DLD;ALDH2;PEX14;MRPL15;LPCAT3;NDUFA5;SAMM50;UQCRC1;ANGPT1;DRAM2;ACADM;ETFB;COX6A1;DECR1;SLC25A1;SOD1;IMMT;ELOVL6;COX8A;UBC;MGST3;ACAA2;DHRS7B;SDHC;PLIN2;SLC1A5;CAVIN1;DDT;PFKL;ACO2;GHITM;VEGFB;CDKN2C;STOM;SLC19A1;CYC1;ABCB8;HADH
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,34/200,0.9921945781708819,0.9999999999996664,0.6577924557974433,0.005154490351514065,TGFB1;CD7;PTPRC;LCP2;EIF5A;PSMB10;CSK;DEGS1;IL1B;ETS1;HDAC9;TAP1;CCND3;UBE2N;CD47;IL2RG;TAP2;BCL3;IKBKB;PRKCB;ABCE1;TRAF2;F2R;B2M;GBP2;NME1;NCF4;IFNAR2;AKT1;TIMP1;CAPG;APBB1;ITGB2;BRCA1
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,35/101,0.007461093670320849,0.04663183543950531,1.7496874988269475,8.570062576701805,SLC26A2;INSIG1;UBE2I;IDI1;ELOVL5;RAB4A;XRCC5;XRCC6;PDLIM5;ARID5B;TMEM50A;CCND3;GNAI3;DHCR24;HMGCS1;SMS;DBI;HMGCR;ADRM1;CENPN;SELENOP;GUCY1A1;INPP4B;KRT8;B2M;FKBP5;ZMIZ1;CDK6;IQGAP2;PIAS1;MYL12A;FADS1;AKT1;PA2G4;TSC22D1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,1/36,0.9999417221881263,0.9999999999996664,0.13520718711107788,7.879808625668253e-06,TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,38/200,0.9545651046165033,0.9999999999996664,0.7560895188937252,0.03515773170143064,PECAM1;INSIG1;MYH10;HRAS;IKBKG;JUP;SORBS3;CD34;PTPRC;PFN1;YWHAH;NEXN;MAP3K20;SHC1;JAM3;CNN2;RSU1;CAP1;GNAI2;ARHGEF6;MAP4K2;CTNND1;CDH4;ARPC2;NECTIN2;MYL12B;ICAM4;FSCN1;CD99;ACTB;EVL;TUBG1;RAC2;CTNNA1;MDK;GNAI1;ITGA9;HADH
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_SURFACE,4/44,0.996611534094351,0.9999999999996664,0.3560398170567662,0.0012084773815975818,AKAP7;IL2RG;NCOA6;BRCA1
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,42/161,0.25415063956239803,0.9076808555799929,1.1549190001072847,1.5820405210711834,BTG2;PEA15;KRT18;WEE1;ADD1;SOD2;EBP;IL1B;TAP1;CD69;DNAJA1;IRF1;DAP;ENO2;BAX;VDAC2;BTG3;HMGB2;GSTM1;CASP2;SOD1;CDK2;CDC25B;IFITM3;PMAIP1;BNIP3L;ISG20;RHOT2;CASP8;SPTAN1;F2R;CASP3;PPT1;RELA;DPYD;CDKN1B;SLC20A1;TOP2A;TIMP1;DDIT3;ATF3;BRCA1
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,13/112,0.9996403335846358,0.9999999999996664,0.4307639811171146,0.0001549592054381484,SLC27A5;GNPAT;PXMP2;IDI1;SOD1;IDH2;CYP7B1;FADS2;FADS1;DHCR24;ISOC1;HACL1;SLC29A1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,18/74,0.4891669603310071,0.9999999999996664,1.0584930989091192,0.7568769887907265,CD9;SREBF2;GNAI1;IDI1;TMEM97;HMGCR;GUSB;FDFT1;PMVK;SQLE;FADS2;FDPS;ANXA5;EBP;ACAT2;ATF3;LDLR;HMGCS1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,14/138,0.9999888026100545,0.9999999999996664,0.367280368417435,4.112604529752006e-06,CD9;PECAM1;CPQ;CSRP1;GNB2;PEF1;SERPING1;SIRT2;TIMP1;RAC1;ISCU;WDR1;RABIF;USP11
