,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2025,Defense Response to Gram-negative Bacterium (GO:0050829),8/87,1.3293879733591836e-05,0.0108217439097134,0,0,8.231404958677686,92.42391712279232,PYCARD;CTSG;ROMO1;RNASE3;AZU1;RNASE2;LYZ;ELANE
1,GO_Biological_Process_2025,ERAD Pathway (GO:0036503),8/91,1.852273576909006e-05,0.0108217439097134,0,0,7.833117594344319,85.35365688714842,PRKN;HSPA5;CANX;ERLIN1;MAN1A1;SEC61B;CALR;HSP90B1
2,GO_Biological_Process_2025,Defense Response to Bacterium (GO:0042742),12/221,2.333256934338964e-05,0.0108217439097134,0,0,4.714165091874071,50.279683692183184,PYCARD;CTSG;ROMO1;HLA-A;RNASE3;AZU1;FAU;RNASE2;LYZ;LYST;MPO;ELANE
3,GO_Biological_Process_2025,Regulation of Apoptotic Process (GO:0042981),23/704,2.7553771889785984e-05,0.0108217439097134,0,0,2.837153188819241,29.788324256646003,PRKN;HSPA5;CITED2;ACTN1;NME2;HSPB1;AZU1;RNASE3;MPO;HSP90B1;HIGD2A;PYCARD;MYDGF;PRDX5;CCND2;MYC;APEX1;RACK1;FLNA;EMILIN2;MNDA;CALR;CTSD
4,GO_Biological_Process_2025,Response to Endoplasmic Reticulum Stress (GO:0034976),11/196,3.781289911581199e-05,0.0118808129021881,0,0,4.867465792151985,49.564724016372914,PRKN;SERP1;HSPA5;CANX;ERLIN1;ATP2A3;MAN1A1;CALR;SEC61B;P4HB;HSP90B1
5,GO_Biological_Process_2025,Positive Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),5/35,7.005596954061262e-05,0.018342988024717,0,0,13.414965986394558,128.33046320467062,DOCK5;FLNA;CALR;P4HB;RREB1
6,GO_Biological_Process_2025,Oxidative Phosphorylation (GO:0006119),6/60,0.00010224697413065189,0.0228715740833724,0,0,8.969034608378871,82.40856049287096,NDUFB9;UQCRB;CHCHD10;ATP5F1D;ATP5F1E;ATP5ME
7,GO_Biological_Process_2025,Regulation of Phagocytosis (GO:0050764),6/62,0.00012296553097638615,0.0228715740833724,0,0,8.647833723653395,77.86169173347925,PYCARD;RACK1;CYBA;PRTN3;AZU1;CALR
8,GO_Biological_Process_2025,Energy Derivation by Oxidation of Organic Compounds (GO:0015980),5/40,0.00013495501305153202,0.0228715740833724,0,0,11.495626822157435,102.43257682151452,UQCRB;COX4I1;UQCR11;COX7C;COX6B1
9,GO_Biological_Process_2025,Aerobic Electron Transport Chain (GO:0019646),6/64,0.00014688143087821244,0.0228715740833724,0,0,8.348784624081402,73.68541205788097,NDUFB9;UQCRB;COX4I1;UQCR11;COX7C;COX6B1
10,GO_Biological_Process_2025,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),6/65,0.00016014469440935484,0.0228715740833724,0,0,8.206863017504862,71.72332793336369,NDUFB9;UQCRB;COX4I1;UQCR11;COX7C;COX6B1
11,GO_Biological_Process_2025,ATP Biosynthetic Process (GO:0006754),4/24,0.00020799507588759527,0.0267255070023164,0,0,16.040650406504064,135.99257242449335,ATP5MC2;ATP5F1D;ATP5F1E;ATP5ME
12,GO_Biological_Process_2025,Defense Response to Gram-positive Bacterium (GO:0050830),7/98,0.0002306948055331701,0.0267255070023164,0,0,6.223171889838556,52.115423456461926,CTSG;ROMO1;HLA-A;RNASE3;FAU;RNASE2;LYZ
13,GO_Biological_Process_2025,Establishment of Protein Localization to Mitochondrion (GO:0072655),5/45,0.00023816492554578635,0.0267255070023164,0,0,10.056122448979592,83.8936757753732,PAM16;TIMM13;TOMM7;TSPO;ROMO1
14,GO_Biological_Process_2025,Negative Regulation of Apoptotic Process (GO:0043066),16/475,0.0003365591117310899,0.0336209705801908,0,0,2.873731448894848,22.980473909837663,PRKN;GRN;HSPA5;CITED2;NME2;HSPB1;AZU1;RNASE3;MPO;HSP90B1;HIGD2A;MYDGF;PRDX5;CCND2;MYC;FLNA
15,GO_Biological_Process_2025,Negative Regulation of Programmed Cell Death (GO:0043069),14/382,0.0003424159957244131,0.0336209705801908,0,0,3.1244012527634486,24.931110425584087,HSPA5;CITED2;NME2;HSPB1;AZU1;RNASE3;MPO;HSP90B1;HIGD2A;MYDGF;PRDX5;CCND2;MYC;FLNA
16,GO_Biological_Process_2025,Post-Translational Protein Targeting to Endoplasmic Reticulum Membrane (GO:0006620),3/12,0.0003905560161877159,0.0360919706724059,0,0,26.64102564102564,209.0771481677417,HSPA5;SEC61G;SEC61B
17,GO_Biological_Process_2025,Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),5/52,0.000471902256570215,0.0399209009908208,0,0,8.555362570560138,65.52328621799688,DOCK5;FLNA;CALR;P4HB;RREB1
18,GO_Biological_Process_2025,Formation of Cytoplasmic Translation Initiation Complex (GO:0001732),3/13,0.0005030451781781706,0.0399209009908208,0,0,23.975708502024293,182.091443975185,EIF3K;EIF3H;EIF3E
19,GO_Biological_Process_2025,Antibacterial Humoral Response (GO:0019731),5/53,0.0005158055652148288,0.0399209009908208,0,0,8.376700680272108,63.40978693056395,CTSG;HLA-A;RNASE3;FAU;RNASE2
20,GO_Biological_Process_2025,Antimicrobial Humoral Response (GO:0019730),8/147,0.0005336339406793369,0.0399209009908208,0,0,4.664010940008324,35.14705577976929,PRTN3;CTSG;ROMO1;HLA-A;RNASE3;AZU1;FAU;LYZ
21,GO_Biological_Process_2025,Negative Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032435),4/32,0.000650809703136587,0.046473729255799,0,0,11.452961672473869,84.03373863741156,HSP90AB1;EIF3H;FHIT;OGT
22,GO_Biological_Process_2025,Cellular Respiration (GO:0045333),6/85,0.0006890612000544573,0.0470658758819805,0,0,6.122950819672131,44.57618695430742,NDUFB9;UQCRB;COX4I1;UQCR11;COX7C;COX6B1
23,GO_Biological_Process_2025,Proton Motive Force-Driven ATP Synthesis (GO:0015986),5/59,0.0008468351675868665,0.0554324186782902,0,0,7.443688586545729,52.656686480305616,NDUFB9;ATP5MC2;ATP5F1D;ATP5F1E;ATP5ME
24,GO_Biological_Process_2025,Protein Targeting to Mitochondrion (GO:0006626),5/60,0.0009145253088739544,0.0574687704096393,0,0,7.307977736549165,51.134690596189856,PAM16;TIMM13;TOMM7;TSPO;ROMO1
25,GO_Biological_Process_2025,Positive Regulation of Collagen Biosynthetic Process (GO:0032967),3/16,0.0009580407352818792,0.0578877690433781,0,0,18.4400498287138,128.1697839298215,PRDX5;RGCC;RUNX1
26,GO_Biological_Process_2025,Cytoplasmic Translational Initiation (GO:0002183),4/36,0.0010251861648835,0.0596506468530392,0,0,10.019308943089433,68.96171174472018,EIF3K;EIF3H;EIF3E;MIF4GD
27,GO_Biological_Process_2025,Positive Regulation of Collagen Metabolic Process (GO:0010714),3/17,0.0011526424458988,0.0646714743752554,0,0,17.122035858877965,115.8425270781132,PRDX5;RGCC;RUNX1
28,GO_Biological_Process_2025,MHC Class I Protein Complex Assembly (GO:0002397),2/5,0.0015180521410465,0.0769309649543258,0,0,53.083333333333336,344.52820496474425,CALR;HLA-A
29,GO_Biological_Process_2025,NADPH Oxidation (GO:0070995),2/5,0.0015180521410465,0.0769309649543258,0,0,53.083333333333336,344.52820496474425,PRDX5;KCNAB2
30,GO_Biological_Process_2025,Peptide Antigen Assembly With MHC Class I Protein Complex (GO:0002502),2/5,0.0015180521410465,0.0769309649543258,0,0,53.083333333333336,344.52820496474425,CALR;HLA-A
31,GO_Biological_Process_2025,Regulation of Translational Initiation (GO:0006446),5/69,0.0017184021961088,0.0843628078152181,0,0,6.277423469387755,39.96434003671223,LARP1;HSPB1;EIF3H;EIF3E;MIF4GD
32,GO_Biological_Process_2025,Regulation of Collagen Biosynthetic Process (GO:0032965),3/20,0.0018796380491125,0.0865320015873303,0,0,14.098356751607524,88.4908181353615,PRDX5;RGCC;RUNX1
33,GO_Biological_Process_2025,Negative Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),4/43,0.0020060696319491,0.0865320015873303,0,0,8.218052949760267,51.04707590465461,HSP90AB1;EIF3H;FHIT;OGT
34,GO_Biological_Process_2025,Innate Immune Response in Mucosa (GO:0002227),3/21,0.0021728033715181,0.0865320015873303,0,0,13.314439946018894,81.6406449687571,RNASE3;FAU;RNASE2
35,GO_Biological_Process_2025,Positive Regulation of Response to Biotic Stimulus (GO:0002833),4/44,0.0021852910055902,0.0865320015873303,0,0,8.012195121951219,49.08275760133892,GRN;EMILIN2;CYBA;EREG
36,GO_Biological_Process_2025,Positive Regulation of Cell-Substrate Adhesion (GO:0010811),5/73,0.0022059161755245,0.0865320015873303,0,0,5.906962785114046,36.1306015653926,DOCK5;FLNA;CALR;P4HB;RREB1
37,GO_Biological_Process_2025,Negative Regulation of Granulocyte Differentiation (GO:0030853),2/6,0.0022583144908214,0.0865320015873303,0,0,39.810483870967744,242.5707141271066,INPP5D;RUNX1
38,GO_Biological_Process_2025,Negative Regulation of Neutrophil Activation (GO:1902564),2/6,0.0022583144908214,0.0865320015873303,0,0,39.810483870967744,242.5707141271066,GRN;CLEC12A
