,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
0,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ADIPOGENESIS,4/200,0.7839941678327426,0.9300016237772455,0.8290076335877863,0.2017420730122112,ALDOA;TKT;DHRS7;GADD45A
1,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,15/200,0.00021143706535153956,0.002325807718866935,3.3616639889527704,28.44499942239722,IL18;TGFB1;CD74;GBP2;CTSS;PTPRC;EIF3D;LCP2;NPM1;HLA-E;HLA-DMA;TIMP1;HLA-DRA;IL1B;HLA-DQA1
2,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANDROGEN_RESPONSE,1/101,0.9354451067936107,0.9870267652663406,0.5386702849389416,0.035946983351838456,TSC22D1
3,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ANGIOGENESIS,2/36,0.24641949872439523,0.6377916437572583,2.6798936776153406,3.753780447052731,S100A4;TIMP1
4,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APICAL_JUNCTION,9/200,0.08119767642741034,0.274822904831235,1.8816564454429534,4.724592174511094,CLDN15;JUP;CD34;PTPRC;ZYX;ACTG1;CD99;MSN;MMP2
5,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_APOPTOSIS,14/161,7.188133250775618e-05,0.0010542595434470906,3.9528234807771807,37.711888536470354,IL18;KRT18;SQSTM1;IFITM3;GNA15;TXNIP;TSPO;GADD45A;TIMP1;CD44;CASP4;ISG20;MMP2;IL1B
6,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_BILE_ACID_METABOLISM,2/112,0.8031832205348939,0.9300016237772455,0.8216917939496927,0.1800921798214215,GSTK1;HSD17B11
7,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_CHOLESTEROL_HOMEOSTASIS,3/74,0.3116284222444548,0.7216658199345269,1.810326237639013,2.1107385717713045,ETHE1;ACTG1;PNRC1
8,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COAGULATION,3/138,0.7146230812956604,0.9300016237772455,0.940699318887462,0.31607500342379047,LTA4H;MMP2;TIMP1
9,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_COMPLEMENT,6/200,0.43688311734318974,0.8009523817958479,1.232269771661878,1.0204297646810123,CTSS;LCP2;TIMP1;CTSD;CASP4;LTA4H
10,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_DNA_REPAIR,7/150,0.10100071053970165,0.31743080455334804,1.969118419168536,4.5144554857666614,IMPDH2;POLR1D;APRT;SUPT4H1;NME3;POLD4;MPG
11,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5/200,0.6169474361830571,0.9102950191319464,1.0278003968208458,0.49639824927653775,TGFB1;CD44;GADD45A;TIMP1;MMP2
12,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_EARLY,3/200,0.906219457132867,0.9870267652663406,0.6357107009423967,0.06260083307339907,CD44;KLF10;KRT18
13,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_ESTROGEN_RESPONSE_LATE,3/200,0.906219457132867,0.9870267652663406,0.6357107009423967,0.06260083307339907,CD44;ISG20;ZFP36
14,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_FATTY_ACID_METABOLISM,4/158,0.6079567920435417,0.9102950191319464,1.065242718446602,0.5301195996915563,ALDOA;ERP29;HSD17B11;APEX1
15,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_G2M_CHECKPOINT,1/200,0.9958744050910173,0.9958744050910173,0.2649155355922273,0.001095194906828557,TGFB1
16,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_GLYCOLYSIS,4/200,0.7839941678327426,0.9300016237772455,0.8290076335877863,0.2017420730122112,CD44;G6PD;ISG20;ALDOA
17,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEDGEHOG_SIGNALING,1/36,0.6206556948626907,0.9102950191319464,1.548747027620267,0.7387194792538657,ETS2
18,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HEME_METABOLISM,5/200,0.6169474361830571,0.9102950191319464,1.0278003968208458,0.49639824927653775,HEBP1;NFE2;GYPC;LMO2;YPEL5
19,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_HYPOXIA,6/200,0.43688311734318974,0.8009523817958479,1.232269771661878,1.0204297646810123,ZFP36;CDKN1C;ALDOA;S100A4;ISG20;PNRC1
20,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,6/199,0.43209974451391997,0.8009523817958479,1.2389420884632922,1.0395948535351953,SELL;CDKN1C;CD44;HOPX;IFITM3;AHNAK
21,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_IL6_JAK_STAT3_SIGNALING,5/87,0.07930761756519777,0.274822904831235,2.503139013452915,6.344008319072238,TGFB1;STAT3;CD44;CSF3R;IL1B
22,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INFLAMMATORY_RESPONSE,10/200,0.0377083033122103,0.2175172669073332,2.110790728623711,6.918908078893506,IL18;SELL;LCP2;IFITM1;BST2;GNA15;TIMP1;CSF3R;NFKBIA;IL1B
23,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INTERFERON_ALPHA_RESPONSE,11/97,4.042485109319826e-05,0.0008893467240503617,5.2706626852587455,53.31837072363894,CD74;GBP2;SELL;SP110;IFITM1;IFITM2;BST2;TXNIP;HLA-C;IFITM3;ISG20
24,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_INTERFERON_GAMMA_RESPONSE,18/200,3.67667095943897e-06,0.00016177352221531468,4.205562895487101,52.62632326085131,LYSMD2;HLA-DRB1;CD74;MVP;LCP2;SP110;VAMP5;IFITM2;STAT3;IFITM3;HLA-B;TXNIP;NFKBIA;BST2;HLA-DMA;CASP4;ISG20;HLA-DQA1
25,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_KRAS_SIGNALING_UP,10/200,0.0377083033122103,0.2175172669073332,2.110790728623711,6.918908078893506,JUP;CTSS;GYPC;LAT2;MYCN;IL1B;CD37;TFPI;ADAM8;LAPTM5
26,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MITOTIC_SPINDLE,1/199,0.9957567916701665,0.9958744050910173,0.26631554843141747,0.0011324366384811563,BIN1
27,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MTORC1_SIGNALING,5/200,0.6169474361830571,0.9102950191319464,1.0278003968208458,0.49639824927653775,SQSTM1;SERP1;ALDOA;G6PD;LTA4H
28,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MYC_TARGETS_V1,8/200,0.15815348119766642,0.4639168781798215,1.6589981447124305,3.05950665618716,RACK1;PABPC1;IMPDH2;EIF3D;NPM1;APEX1;HSP90AB1;RSL1D1
29,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MYC_TARGETS_V2,1/58,0.791054160918439,0.9300016237772455,0.9512140033879164,0.22295394884973765,NPM1
30,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_MYOGENESIS,5/200,0.6169474361830571,0.9102950191319464,1.0278003968208458,0.49639824927653775,LSP1;TGFB1;BIN1;EIF4A2;SCHIP1
31,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_OXIDATIVE_PHOSPHORYLATION,6/200,0.43688311734318974,0.8009523817958479,1.232269771661878,1.0204297646810123,ATP5MC2;ATP6V1G1;COX7A2L;UQCRB;COX7C;UQCRC2
32,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_P53_PATHWAY,9/200,0.08119767642741034,0.274822904831235,1.8816564454429534,4.724592174511094,TGFB1;RACK1;CTSF;HINT1;TXNIP;GADD45A;CTSD;S100A4;TSC22D1
33,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_PANCREAS_BETA_CELLS,1/40,0.6595591805842966,0.9300016237772455,1.3905967450271248,0.5787435251700311,LMO2
34,h.all.v2024.1.Hs.symbols.gmt,HALLMARK_PEROXISOME,6/104,0.056223288206758044,0.2473824681097354,2.4905942072260374,7.168986705733626,PABPC1;MVP;FIS1;HSD17B11;TSPO;GSTK1
