,names,scores,logfoldchanges,pvals,pvals_adj,14_mean_expr,14_frac_expr,23_mean_expr,23_frac_expr,chromosome
0,AZU1,18.54897,5.102424,8.31309219134644e-77,4.176616243279133e-73,3.794544,0.9883720930232558,0.81756973,0.5245901639344263,chr19
1,CST7,17.409632,3.6612792,6.973175854526379e-68,1.5297002232260253e-64,2.0198593,0.9651162790697675,0.41653916,0.48633879781420764,chr20
2,ELANE,17.147804,5.843678,6.527180753660208e-66,1.1633883795805113e-62,2.5601213,0.9050387596899225,0.18885641,0.13114754098360656,chr19
3,PRTN3,17.024242,6.3397136,5.4291205753814395e-65,9.107509445219289e-62,2.9745283,0.9011627906976745,0.20653348,0.18579234972677597,chr19
4,SRGN,16.632248,2.5619197,4.0703141908924635e-62,5.04683565634223e-59,2.6134644,0.998062015503876,1.1447461,0.9617486338797814,chr10
5,MPO,15.929003,5.328113,3.986633313702156e-57,3.9203727186261405e-54,2.9308164,0.8856589147286822,0.36580572,0.36065573770491804,chr17
6,FNDC3B,14.478414,2.2281299,1.6588213936038424e-47,1.0751424659725995e-44,1.3061361,0.939922480620155,0.45396468,0.6666666666666666,chr3
7,CFD,13.701882,3.74843,9.892583776648922e-43,5.037798288258463e-40,1.1907398,0.7848837209302325,0.15730669,0.14754098360655737,chr19
8,PRSS57,12.574049,0.75611836,2.9331016543600952e-36,9.09197749772187e-34,2.4008029,0.9961240310077519,1.9372797,1.0,chr19
9,GPI,12.468381,0.9397917,1.1105995622195733e-35,3.265162712925546e-33,1.5989062,0.9786821705426356,1.1177367,0.9672131147540983,chr19
10,LYST,12.235102,2.3744426,2.0185141851597133e-34,5.64352818944948e-32,0.86638355,0.7945736434108527,0.23570856,0.4644808743169399,chr1
11,PLPPR3,11.417667,2.4715235,3.4127119772943856e-30,7.429291615914602e-28,0.5980619,0.7286821705426356,0.13766627,0.25136612021857924,chr19
12,CALR,11.408294,0.8595924,3.801132323454152e-30,8.21217360608072e-28,2.4286711,0.9922480620155039,1.9021921,1.0,chr19
13,SERPINB1,10.888263,0.9437983,1.3111741876134932e-27,2.4280562001533505e-25,1.5951568,0.9767441860465116,1.1127099,0.9453551912568307,chr6
14,RAB32,10.6647835,1.0047477,1.4874453299813864e-26,2.5400578395454594e-24,1.3859023,0.9534883720930233,0.9140038,0.9180327868852459,chr6
15,NKG7,10.62388,1.5539491,2.307651323407283e-26,3.8940591976881e-24,0.9034567,0.8527131782945736,0.40546992,0.6612021857923497,chr19
16,MS4A3,10.3439455,2.7985768,4.457966578980664e-25,7.062905049965032e-23,0.62072015,0.6356589147286822,0.116578266,0.15846994535519127,chr11
17,CTSG,10.028859,3.7503994,1.1382389736679564e-23,1.623014952553139e-21,0.58843005,0.5755813953488372,0.057825398,0.13114754098360656,chr14
18,CAT,9.967504,0.7791132,2.1147691417405492e-23,3.000447083788905e-21,1.7974533,0.9593023255813954,1.3695514,0.994535519125683,chr11
19,PLAC8,9.930009,0.87911624,3.0822842746198845e-23,4.308852105078915e-21,1.4049454,0.9651162790697675,0.9828439,0.9453551912568307,chr4
20,NDUFB9,9.577853,0.8734998,9.908258920227493e-22,1.2339027418648368e-19,1.4548812,0.9612403100775194,1.0269239,0.9617486338797814,chr8
21,CLEC11A,9.55655,0.66586965,1.2174808215156975e-21,1.496556813275201e-19,2.3635254,0.998062015503876,1.9556953,1.0,chr19
22,RNASE3,9.538442,3.6682985,1.44995261770693e-21,1.76708327999001e-19,0.5721056,0.5484496124031008,0.058949824,0.1092896174863388,chr14
23,TSPO,9.451095,0.80715483,3.3530509511889874e-21,3.887085651463721e-19,1.263343,0.9554263565891473,0.8961071,0.9617486338797814,chr22
24,GYPC,9.333283,0.76067525,1.0264068650848334e-20,1.1345376348251658e-18,1.9382486,0.9651162790697675,1.5062503,0.9836065573770492,chr2
25,FTL,9.259572,0.36467126,2.052536813734011e-20,2.2172062444722167e-18,3.0565643,0.998062015503876,2.8172314,1.0,chr19
26,PPIB,9.064854,0.6991531,1.247721337742247e-19,1.2753590361911612e-17,1.8073506,0.9806201550387597,1.4201504,0.994535519125683,chr15
27,P4HB,8.78918,0.8612639,1.5065630065720124e-18,1.4564123329295136e-16,1.3101144,0.9476744186046512,0.9122431,0.9453551912568307,chr17
